Gene	oncogene_p_value	oncogene_q_value	tsg_p_value	tsg_q_value
SETD2	0.986989921	0.989902191	0	0
IDH1	0	0	0.809773904	0.946505906
PBRM1	0.986989921	0.989902191	0	0
KANSL1	0.986989921	0.989902191	0	0
PTEN	0.296366113	0.859483554	1.09E-05	0.004545455
MAP3K1	0.741242168	0.971474473	0	0
SMAD4	0.236289839	0.835021178	1.63E-05	0.006122449
NF1	0.952122038	0.98197449	0	0
BRAF	0	0	0.838267502	0.946505906
CTNNB1	0	0	0.251876873	0.930786542
CDH1	0.805290112	0.980179045	0	0
NOTCH1	0.78385726	0.977027027	0	0
PIK3CA	0	0	0.627518387	0.937424468
RAC1	0	0	0.604990466	0.937424468
BAP1	0.902789431	0.980384111	0	0
ARID1A	0.994110597	0.994489863	0	0
KDM5C	0.902789431	0.980384111	0	0
APC	0.986989921	0.989902191	0	0
RUNX1	0.805290112	0.980179045	0	0
ATRX	0.92063198	0.980384111	0	0
FUBP1	0.952122038	0.98197449	0	0
SF3B1	0	0	0.72621629	0.941296519
TGFBR2	0.8259003	0.980384111	0	0
STAG2	0.937226914	0.980384111	0	0
KMT2C	0.986989921	0.989902191	0	0
VHL	0.183159902	0.808343352	4.90E-05	0.016071429
GIGYF2	0.965284664	0.982248586	0	0
RB1	0.977504767	0.985396529	0	0
EP300	0.133892672	0.767280674	0.000130755	0.036923077
MYD88	0	0	0.604990466	0.937424468
TP53	0.223187142	0.829625984	4.90E-05	0.016071429
KDM6A	0.986989921	0.989902191	0	0
RBM10	0.741242168	0.971474473	5.45E-06	0.002941176
DNMT3A	0.026325252	0.634954008	0.000757287	0.115833333
ATM	0.243154454	0.83704051	4.90E-05	0.016071429
CTCF	0.865360937	0.980384111	0	0
FGFR2	0	0	0.72621629	0.941296519
KMT2D	0.977504767	0.985396529	0	0
NFE2L2	0	0	0.527256878	0.934650967
HLA-A	0.92063198	0.980384111	0	0
FAT1	0.977504767	0.985396529	0	0
MGA	0.865360937	0.980384111	5.45E-06	0.002941176
NF2	0.986989921	0.989902191	0	0
NSD1	0.865360937	0.980384111	5.45E-06	0.002941176
U2AF1	0	0	0.527256878	0.934650967
RHOA	0	0	0.494693544	0.934070569
DHX15	0.547997821	0.92841979	1.09E-05	0.004545455
AKT1	0	0	0.390411332	0.930786542
BRE	0.865360937	0.980384111	5.45E-06	0.002941176
EGFR	0	0	0.222429856	0.930786542
CDK4	0	0	0.437624625	0.930786542
EPHA2	0.471255789	0.912244252	1.63E-05	0.006122449
KRAS	0	0	0.584015255	0.937424468
MAP2K4	0.865360937	0.980384111	5.45E-06	0.002941176
TARDBP	0	0	0.527256878	0.934650967
CDKN2A	0.658567148	0.955799794	1.09E-05	0.004545455
HSP90AB1	0.58233179	0.934572003	1.09E-05	0.004545455
STK11	0.977504767	0.985396529	5.45E-06	0.002941176
CASP8	0.60049033	0.938681656	1.09E-05	0.004545455
PIK3R1	0.058142196	0.697766433	0.00051757	0.09047619
CREBBP	0.162778534	0.789587738	0.000179788	0.046478873
SPOP	0	0	0.308281122	0.930786542
GPS2	0.977504767	0.985396529	5.45E-06	0.002941176
WAC	0.678539907	0.958193568	1.09E-05	0.004545455
TRAF3	0.741242168	0.971474473	1.09E-05	0.004545455
NRAS	0	0	0.809773904	0.946505906
ARHGAP35	0.977504767	0.985396529	5.45E-06	0.002941176
RASA1	0.638670662	0.953926276	1.63E-05	0.006122449
ARID2	0.977504767	0.985396529	5.45E-06	0.002941176
BCOR	0.22961046	0.829625984	0.000157995	0.043939394
KMT2B	0.8259003	0.980384111	1.09E-05	0.004545455
NCOR1	0.457455734	0.910299219	4.90E-05	0.016071429
MAP2K1	0	0	0.510721874	0.934650967
RPL5	0.902789431	0.980384111	1.09E-05	0.004545455
CCAR1	0.720828112	0.971474473	1.63E-05	0.006122449
HRAS	0	0	0.401808771	0.930786542
B2M	0.158398257	0.788126864	0.000294198	0.065060241
RHEB	0	0	0.674639063	0.938319315
KAT8	0	0	0.527256878	0.934650967
ERBB2	0	0	0.324412966	0.930786542
POLA2	0.865360937	0.980384111	1.63E-05	0.006122449
SMARCA4	0.012928357	0.551193059	0.002680469	0.255897436
NAA15	0.741242168	0.971474473	3.27E-05	0.012
RNF111	0.58233179	0.934572003	4.90E-05	0.016071429
CDKN1B	0.952122038	0.98197449	1.09E-05	0.004545455
CIC	0.070111686	0.718136161	0.00069191	0.109482759
MAPK1	0	0	0.464461999	0.932939374
FBXW7	0.001432852	0.246788991	0.014175974	0.579510022
TRIP12	0.250046309	0.838895997	0.000223372	0.053947368
DDX3X	8.72E-05	0.032653061	0.076665759	0.897747184
USP28	0.531609916	0.927449862	9.26E-05	0.027868852
ARID4B	0.658567148	0.955799794	7.08E-05	0.022033898
SOS1	0	0	0.584015255	0.937424468
ARID1B	0.678539907	0.958193568	7.63E-05	0.023333333
PSIP1	0.762413511	0.973841336	4.90E-05	0.016071429
TTR	0	0	0.544903296	0.934650967
CHD8	0.720828112	0.971474473	7.08E-05	0.022033898
DNM1L	0.28828657	0.855675938	0.000256061	0.06025641
ERBB3	0	0	0.316311632	0.930786542
AMOT	0.430847181	0.905449966	0.000168891	0.046268657
SMAD3	0	0	0.390411332	0.930786542
PRPF40A	0.110798148	0.755460624	0.00063198	0.105454545
SENP3	0.547997821	0.92841979	0.000130755	0.036923077
JAK1	0.216763825	0.821536238	0.000381367	0.072727273
FGFR3	8.72E-05	0.032653061	0.102882048	0.914036786
USP9X	0.485982021	0.916396137	0.000179788	0.046478873
CBFB	0.965284664	0.982248586	6.54E-05	0.021052632
VPS33B	0.515587034	0.922108545	0.000179788	0.046478873
KMT2A	0.296366113	0.859483554	0.000359575	0.072727273
AMBRA1	0.322789431	0.870127088	0.000348679	0.072727273
CHD4	0.000157995	0.052631579	0.081340234	0.901570048
TNRC6B	0.547997821	0.92841979	0.000190684	0.047945205
XPO1	1.63E-05	0.008571429	0.251876873	0.930786542
AJUBA	0.88426042	0.980384111	0.000130755	0.036923077
BRCA1	0.296366113	0.859483554	0.000392264	0.072727273
BRCA2	0.61928085	0.95263996	0.000179788	0.046478873
UBE2D3	0.564728957	0.931237086	0.000196132	0.048648649
COPS4	0.547997821	0.92841979	0.00020158	0.049333333
MYO1B	0.515587034	0.922108545	0.000245165	0.058441558
DIS3	1.09E-05	0.006451613	0.308281122	0.930786542
ALK	1.09E-05	0.006451613	0.35977118	0.930786542
PTPN11	1.09E-05	0.006451613	0.401808771	0.930786542
CDKN1A	0.92063198	0.980384111	0.000130755	0.036923077
JAK2	0.264821575	0.845062587	0.000506674	0.089423077
ZC3H13	0.699013893	0.967820774	0.000190684	0.047945205
IWS1	0.471255789	0.912244252	0.000326886	0.070588235
PPP2R1A	1.63E-05	0.008571429	0.264521929	0.930786542
GNPTAB	0.22961046	0.829625984	0.000610188	0.102752294
SMARCB1	0.564728957	0.931237086	0.000294198	0.065060241
MTOR	8.17E-05	0.032653061	0.190324162	0.930786542
RPL11	0.406140016	0.901087876	0.000392264	0.072727273
RNF43	0.500550259	0.920048067	0.000381367	0.072727273
MAX	0.000566603	0.142465753	0.053331517	0.841617523
DDX5	0.515587034	0.922108545	0.000381367	0.072727273
KEAP1	0.002555162	0.316891892	0.021792427	0.672268908
SOX9	0.678539907	0.958193568	0.000299646	0.06547619
HNRNPA1	3.81E-05	0.019444444	0.27110869	0.930786542
MEN1	0.531609916	0.927449862	0.000381367	0.072727273
DICER1	0.000163443	0.052631579	0.122484337	0.925947282
CTDNEP1	0.805290112	0.980179045	0.000266957	0.062025316
