Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Focal adhesion	18/199	1.380849367402471E-9	4.253016051599611E-7	0	0	6.0101170303343965	122.60979541652591	PDGFRB;JUN;SHC1;CAV1;PDGFB;TNC;PIK3R2;ACTB;ARHGAP35;VEGFA;CDC42;COL2A1;CCND2;RAPGEF1;FLNB;FYN;FLNC;SOS1
Renal cell carcinoma	10/69	7.97123297452208E-8	1.2275698780764003E-5	0	0	9.629736626703261	157.39651943923917	CDC42;JUN;PRCC;RAPGEF1;PDGFB;ARNT;PIK3R2;SOS1;ETS1;VEGFA
PI3K-Akt signaling pathway	20/354	4.688849655680787E-7	4.813885646498941E-5	0	0	3.7539651256639828	54.706189817592765	PDGFRB;YWHAE;NTRK1;HSP90AA1;PHLPP1;HSP90AB1;PDGFB;TNC;PIK3R2;PPP2R5C;FOXO3;YWHAZ;VEGFA;COL2A1;CCND2;GNB1;SOS1;YWHAG;MCL1;BCL2L1
Viral carcinogenesis	14/201	2.3099072717107897E-6	1.778628599217308E-4	0	0	4.628022677311119	60.06388141317982	YWHAE;JUN;GSN;PIK3R2;HLA-A;YWHAZ;SND1;HDAC7;CDC42;CCND2;PKM;REL;HIST1H2BD;YWHAG
Ras signaling pathway	14/232	1.2089310084143128E-5	7.447015011832166E-4	0	0	4.00962309542903	45.40171996778834	PDGFRB;NTRK1;SHC1;PDGFB;PIK3R2;RASAL2;ETS1;VEGFA;CDC42;GNB1;REL;SOS1;CALM2;BCL2L1
Neurotrophin signaling pathway	10/119	1.2868588306384E-5	6.605875330610453E-4	0	0	5.583628800357353	62.87568737863222	YWHAE;CDC42;NTRK1;JUN;SHC1;RAPGEF1;PIK3R2;FOXO3;SOS1;CALM2
Bacterial invasion of epithelial cells	8/74	1.5275840220367788E-5	6.721369696961827E-4	0	0	7.183262997216486	79.65691333878792	CDC42;SEPT9;SHC1;CAV1;PIK3R2;WASL;WASF2;ACTB
Pathways in cancer	22/530	1.9124124287150957E-5	7.362787850553118E-4	0	0	2.7581019244029337	29.96556375610324	PDGFRB;NTRK1;JUN;HSP90AA1;HSP90AB1;CTBP2;TPM3;ZBTB16;PDGFB;ARNT;PIK3R2;ETS1;GNAI2;VEGFA;CDC42;CCND2;SUFU;GNB1;FAS;SOS1;CALM2;BCL2L1
T cell receptor signaling pathway	9/101	2.185744072823489E-5	7.480101938107051E-4	0	0	5.920857866517549	63.53654315231574	CDC42;JUN;PPP3CB;PTPRC;CD28;NFATC2;PIK3R2;FYN;SOS1
Salmonella infection	8/86	4.6019960889205065E-5	0.001417414795387516	0	0	6.180947230163023	61.725629750274784	CDC42;JUN;MYH9;FLNB;WASL;FLNC;WASF2;ACTB
Fluid shear stress and atherosclerosis	10/139	4.948616955216491E-5	0.0013856127474606175	0	0	4.780228972967805	47.39031683556721	JUN;HSP90AA1;HSP90AB1;CAV1;PDGFB;PIK3R2;ARHGEF2;CALM2;ACTB;VEGFA
Apoptosis	10/143	6.293964865377331E-5	0.001615450982113515	0	0	4.646516274423252	44.94730501398253	NTRK1;DAXX;JUN;LMNA;DAB2IP;FAS;PIK3R2;ACTB;MCL1;BCL2L1
Regulation of actin cytoskeleton	12/214	1.0239572571428718E-4	0.0024259910400000343	0	0	3.7258980966870556	34.228579826627	PDGFRB;CDC42;GSN;PDGFB;MSN;MYH9;PIK3R2;WASL;SOS1;WASF2;ACTB;ARHGAP35
Adherens junction	7/72	1.0408064467090288E-4	0.0022897741827598633	0	0	6.459948320413437	59.23995174279804	CDC42;PTPN1;CSNK2A1;FYN;WASL;WASF2;ACTB
Choline metabolism in cancer	8/99	1.2546142854125337E-4	0.002576141332713736	0	0	5.369307694889091	48.23524112316537	PDGFRB;JUN;PDGFB;PIK3R2;WASL;SOS1;DGKZ;WASF2
MAPK signaling pathway	14/295	1.6379112150830116E-4	0.0031529790890347975	0	0	3.1533307055577455	27.48732705166852	PDGFRB;NTRK1;DAXX;JUN;PDGFB;CACNA1D;VEGFA;CDC42;PPP3CB;FAS;FLNB;FLNC;SOS1;MAP3K12
Pathogenic Escherichia coli infection	6/55	1.7245893300496062E-4	0.003124550080325169	0	0	7.248565388100272	62.81136637418813	CDC42;FYN;WASL;ARHGEF2;YWHAZ;ACTB
cGMP-PKG signaling pathway	10/166	2.1625386290124733E-4	0.0037003438763102323	0	0	4.002721850858584	33.779200052774584	PPP3CB;MEF2B;NFATC2;ATP2A2;CACNA1D;MRVI1;ATP1A1;CALM2;MEF2D;GNAI2
Estrogen signaling pathway	9/137	2.3416354611708622E-4	0.0037959143265296077	0	0	4.3650120037830105	36.489277563999764	NCOA2;JUN;HSP90AA1;HSP90AB1;SHC1;PIK3R2;SOS1;CALM2;GNAI2
