Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Regulation of actin cytoskeleton	21/214	7.696477452273452E-7	2.3705150553002233E-4	0	0	3.4798170610459334	48.9865432011916	PDGFRB;GSN;MAP2K2;ARHGEF12;ITGB4;ROCK2;PXN;MSN;PIK3R2;WASL;SSH2;PTK2;ARHGAP35;CRKL;VAV2;PPP1CA;SLC9A1;GNA13;EZR;MYH10;WASF2
Focal adhesion	20/199	9.65727570758086E-7	1.4872204589674526E-4	0	0	3.563918885206173	49.3616453200655	PDGFRB;JUN;SHC1;ITGB4;ROCK2;PXN;ILK;PIK3R2;PTK2;ARHGAP35;CRKL;VAV2;VEGFA;PPP1CA;CCND2;RAP1A;RAPGEF1;FLNB;FLNC;BIRC3
Fc gamma R-mediated phagocytosis	13/91	1.592388013916856E-6	1.6348516942879724E-4	0	0	5.065856129685916	67.63057635716339	GSN;SYK;MYO10;PRKCD;INPPL1;PIK3R2;ASAP1;WASL;CRKL;VAV2;PTPRC;RPS6KB1;WASF2
Proteoglycans in cancer	18/201	1.6693181563645487E-5	0.0012853749804007026	0	0	3.1756113051762465	34.93334459039862	MAP2K2;ARHGEF12;SDC4;ROCK2;PXN;MSN;PIK3R2;ITPR3;PTK2;VAV2;VEGFA;PPP1CA;SLC9A1;RPS6KB1;FAS;FLNB;FLNC;EZR
Neurotrophin signaling pathway	13/119	3.161679072279701E-5	0.0019475943085242957	0	0	3.873889981524525	40.140559313582855	YWHAE;JUN;MAP2K2;SHC1;PRKCD;PIK3R2;FOXO3;CRKL;RAP1A;RPS6KA2;RAPGEF1;CALM2;MAP3K5
Spliceosome	13/134	1.090548287752073E-4	0.005598147877127309	0	0	3.4402455806076007	31.387630257475497	RBM17;HNRNPA3;CCDC12;EIF4A3;DDX42;CRNKL1;SNRNP70;TRA2B;SNRPD3;SRSF6;SNRPC;SRSF7;BCAS2
Renal cell carcinoma	9/69	1.3298005738627172E-4	0.005851122524995956	0	0	4.6253469010175765	41.28266135730545	FLCN;JUN;MAP2K2;RAP1A;SLC2A1;RAPGEF1;PIK3R2;CRKL;VEGFA
B cell receptor signaling pathway	9/71	1.662557984882004E-4	0.006400848241795715	0	0	4.495055439017081	39.11589601848378	JUN;MAP2K2;SYK;CD81;INPPL1;NFATC3;PIK3R2;BCL10;VAV2
Human cytomegalovirus infection	17/225	2.3199181960702482E-4	0.007939275604329294	0	0	2.6792750197005515	22.422339417333475	MAP2K2;ARHGEF12;ROCK2;PXN;HLA-B;NFATC3;PIK3R2;ITPR3;PTK2;CRKL;GNAI2;VEGFA;GNA13;RPS6KB1;GNB1;FAS;CALM2
Protein processing in endoplasmic reticulum	14/165	2.5026613309327383E-4	0.007708196899272835	0	0	3.0088115194498175	24.952030826388157	XBP1;SEC24B;HSPA5;EDEM1;UBE2D3;RRBP1;HERPUD1;DNAJA1;SEC61A1;MAN1A1;SEC62;SEC24C;MAP3K5;SEC31A
RNA transport	14/165	2.5026613309327383E-4	0.007007451726611668	0	0	3.0088115194498175	24.952030826388157	RANBP2;NUP210;NUP155;EIF4A3;NUP153;CASC3;EIF2S2;FXR1;XPOT;NUP85;EIF3I;NUP62;RAE1;EIF4E
Leukocyte transendothelial migration	11/112	3.2635429745205626E-4	0.00837642696793611	0	0	3.482776089159068	27.958078967873178	RAP1A;ROCK2;PXN;MSN;PIK3R2;EZR;ARHGAP35;PTK2;RAPGEF3;VAV2;GNAI2
Insulin signaling pathway	12/137	5.107430915625724E-4	0.012100682477020949	0	0	3.1060723714862557	23.542922349502998	PTPN1;MAP2K2;RPS6KB1;SHC1;INPPL1;RAPGEF1;IRS2;PIK3R2;CALM2;EIF4E;CRKL;PPP1CA
Pathways in cancer	29/530	5.606070081936962E-4	0.012333354180261316	0	0	1.9403184798608324	14.52617570749063	CTBP2;ROCK2;LEF1;LRP5;SLC2A1;PIK3R2;CRKL;GNAI2;GNA13;CCND2;PDGFRB;ZBTB17;JUN;MAP2K2;ARHGEF12;DAPK1;TPM3;ZBTB16;NCOA4;PTK2;VEGFA;RPS6KB1;TRAF3;GNB1;CCDC6;FAS;CALM2;BCL2L1;BIRC3
Viral carcinogenesis	15/201	6.045266651383571E-4	0.012412947524174267	0	0	2.6463427543135385	19.61221757652697	YWHAE;GTF2A1;JUN;GSN;SYK;PXN;HLA-B;PIK3R2;YWHAZ;CCND2;PKM;TRAF3;REL;HIST1H2BD;YWHAG
C-type lectin receptor signaling pathway	10/104	7.132598058064971E-4	0.01373025126177507	0	0	3.4097108565193675	24.705621999118183	JUN;ARHGEF12;SYK;PRKCD;BCL3;NFATC3;ITPR3;PIK3R2;BCL10;CALM2
Transcriptional misregulation in cancer	14/186	8.359480340804191E-4	0.015145411440986419	0	0	2.669106993060322	18.91581207542797	ZBTB17;TAF15;LDB1;FUS;ZBTB16;KLF3;PTK2;CCND2;MYCN;BCL6;REL;TCF3;BCL2L1;BIRC3
Chemokine signaling pathway	14/190	0.0010278455910150606	0.01758758011292437	0	0	2.6129152668906306	17.977615634813308	SHC1;ROCK2;PRKCD;PXN;PIK3R2;WASL;FOXO3;PTK2;CRKL;VAV2;GNAI2;RAP1A;GNB1;CCR7
Human immunodeficiency virus 1 infection	15/212	0.0010435210490560612	0.016916025426803517	0	0	2.509032517061421	17.22489627674289	JUN;MAP2K2;PXN;HLA-B;NFATC3;PIK3R2;ITPR3;PTK2;CRKL;GNAI2;RPS6KB1;GNB1;FAS;CALM2;BCL2L1
Bacterial invasion of epithelial cells	8/74	0.0011187824909889728	0.01722925036123018	0	0	3.833620854897451	26.051425135411716	SHC1;PXN;ILK;PIK3R2;WASL;WASF2;PTK2;CRKL
Axon guidance	13/181	0.0019276506518513096	0.028272209560485876	0	0	2.546922142549273	15.921964823674408	EPHA5;ARHGEF12;UNC5B;ROCK2;NFATC3;ILK;PIK3R2;SSH2;PTK2;GNAI2;ABLIM1;PLXNB2;EPHA2
Phosphatidylinositol signaling system	9/99	0.001929501944395936	0.027013027221543105	0	0	3.2237266279819474	20.14988191253065	ITPKB;DGKD;MTMR3;ITPK1;INPPL1;ITPR3;PIK3R2;CALM2;PIK3C2B
Cellular senescence	12/160	0.001978079451857245	0.026489063964001365	0	0	2.6595744680851063	16.557523613867506	CCND2;MAP2K2;HLA-B;NFATC3;VDAC1;ITPR3;PIK3R2;NBN;FOXO3;HIPK1;CALM2;PPP1CA
Platelet activation	10/124	0.0027083245087952405	0.03475683119620559	0	0	2.8597574925646305	16.905242214970094	GNA13;RAP1A;ARHGEF12;SYK;ROCK2;ITPR3;PIK3R2;ARHGAP35;GNAI2;PPP1CA
