Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Hepatocellular carcinoma	31/168	5.189507455426953E-18	1.5983682962715017E-15	0	0	7.165973185390662	285.2049651869736	RB1;GSK3B;SMARCD1;SMARCD2;SMARCB1;SHC1;PTEN;KEAP1;PIK3R2;PIK3R1;ACTB;ARID2;SMAD2;SMAD4;PBRM1;SMARCC2;SMAD3;PRKCB;CSNK1A1;CDKN2A;HGF;AXIN1;AXIN2;ARID1A;ARID1B;TGFBR1;SMARCA4;TGFBR2;APC;SOS1;BCL2L1
Pathways in cancer	49/530	9.071028887474622E-15	1.3969384486710918E-12	0	0	3.590401172375893	116.09092099180343	RB1;GSK3B;CDKN1B;HSP90AB1;PTEN;KEAP1;ETS1;CASP8;CDH1;SUFU;EP300;HSP90AA1;PRKCB;TPM3;HGF;AXIN1;AXIN2;TGFBR1;TGFBR2;MSH2;COL4A1;SOS1;CEBPA;HDAC2;CTBP2;MAX;PIK3R2;PIK3R1;GNAI2;CDC42;GNA13;BCL2L11;RXRA;VHL;SMAD2;SMAD4;SMAD3;CDKN2A;ZBTB16;PTCH1;MLH1;VEGFA;NFKBIA;APC;GNB1;CCDC6;FAS;CALM2;BCL2L1
Cellular senescence	23/160	2.378345511931492E-11	2.4417680589163317E-9	0	0	5.58252427184466	136.55988146140504	RB1;MAP2K3;SMAD2;SMAD3;CDKN2A;HLA-B;PTEN;TSC2;RRAS2;TSC1;PIK3R2;HLA-A;PIK3R1;ETS1;ZFP36L2;TGFBR1;ZFP36L1;TGFBR2;PPP3CA;PPP3CB;CHEK2;ATM;CALM2
Adherens junction	16/72	3.2319767453483843E-11	2.4886220939182558E-9	0	0	8.629989212513484	208.46034155278443	SMAD2;PTPN1;SMAD4;SMAD3;CSNK2A1;ACTN1;WASL;PTPRF;ACTB;TGFBR1;TGFBR2;CDC42;CDH1;EP300;FYN;WASF2
Chronic myeloid leukemia	15/76	7.94519005889259E-10	4.894237076277836E-8	0	0	7.664793050587635	160.6025871876376	RB1;HDAC2;SMAD4;CDKN1B;SMAD3;CTBP2;SHC1;CDKN2A;PIK3R2;PIK3R1;TGFBR1;TGFBR2;NFKBIA;SOS1;BCL2L1
Hippo signaling pathway	21/160	9.824827302079276E-10	5.0434113484006954E-8	0	0	5.0970873786407775	105.71837508360649	SMAD2;YWHAE;YAP1;GSK3B;SMAD4;SMAD3;AXIN1;AXIN2;YWHAZ;ACTB;TGFBR1;SMAD7;TGFBR2;LATS1;APC;PPP2R1A;CDH1;NF2;TEAD1;YWHAG;TEAD3
Gastric cancer	20/149	1.6542524655169009E-9	7.278710848274365E-8	0	0	5.212745161920897	105.40127249689851	RB1;SMAD2;GSK3B;SMAD4;SMAD3;CDKN1B;SHC1;CSNK1A1;HGF;AXIN1;PIK3R2;PIK3R1;AXIN2;MLH1;TGFBR1;TGFBR2;RXRA;APC;CDH1;SOS1
Human cytomegalovirus infection	24/225	4.469544898773988E-9	1.7207747860279854E-7	0	0	4.142394822006473	79.64159687605014	RB1;GSK3B;PRKCB;CDKN2A;HLA-B;TSC2;PIK3R2;TSC1;HLA-A;PIK3R1;GNAI2;VEGFA;NFKBIA;GNA13;PPP3CA;AKAP13;PPP3CB;CASP8;GNB1;FAS;SOS1;B2M;CALM2;BCAR1
Colorectal cancer	15/86	4.809962688085846E-9	1.6460761199227115E-7	0	0	6.773538044705352	129.73070564470675	SMAD2;GSK3B;SMAD4;SMAD3;AXIN1;PIK3R2;AXIN2;PIK3R1;MLH1;TGFBR1;TGFBR2;BCL2L11;MSH2;APC;SOS1
Human papillomavirus infection	29/330	9.832976517776404E-9	3.028556767475133E-7	0	0	3.4127684613121505	62.92300092125838	RB1;GSK3B;HDAC2;CDKN1B;MAML1;PTEN;PIK3R2;PIK3R1;CDC42;CASP8;PPP2R1A;EP300;CSNK1A1;HLA-B;AXIN1;TSC2;TSC1;HLA-A;AXIN2;PPP2R5C;VEGFA;COL2A1;PKM;APC;COL4A1;FAS;ATM;ITGA5;SOS1
