Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Hepatocellular carcinoma	23/168	7.598816273715776E-17	2.3404354123044588E-14	0	0	10.178792706673748	377.7956028861315	RB1;SMAD2;GSK3B;SMAD4;PBRM1;SMARCB1;SMAD3;PRKCB;CDKN2A;HGF;PTEN;AXIN1;KEAP1;PIK3R1;AXIN2;ARID1A;ARID1B;TGFBR1;SMARCA4;TGFBR2;APC;ARID2;BRD7
Pathways in cancer	35/530	7.289734689861702E-15	1.122619142238702E-12	0	0	4.909868836361086	159.82756870507777	RB1;GSK3B;CEBPA;HDAC2;CDKN1B;MAX;PTEN;KEAP1;PIK3R1;GNA13;RXRA;BCL2L11;CASP8;CDH1;EP300;VHL;SMAD2;SMAD4;SMAD3;PRKCB;CDKN2A;DCC;HGF;PTCH1;AXIN1;AXIN2;MLH1;TGFBR1;TGFBR2;MSH6;NFKBIA;MSH2;APC;COL4A1;CCDC6
Colorectal cancer	15/86	5.356092257152534E-13	5.4989213840099345E-11	0	0	12.967925996368981	366.4135673411283	SMAD2;GSK3B;SMAD4;SMAD3;DCC;AXIN1;AXIN2;PIK3R1;MLH1;TGFBR1;TGFBR2;MSH6;BCL2L11;MSH2;APC
Gastric cancer	16/149	1.8187451139716347E-10	1.4004337377581586E-8	0	0	7.983832738704124	179.05903876236604	RB1;SMAD2;GSK3B;SMAD4;SMAD3;CDKN1B;HGF;AXIN1;PIK3R1;AXIN2;MLH1;TGFBR1;TGFBR2;RXRA;APC;CDH1
Cellular senescence	16/160	5.287325777781565E-10	3.256992679113444E-8	0	0	7.434944237918216	158.81441141962426	RB1;MAP2K3;SMAD2;SMAD3;CDKN2A;PTEN;TSC2;RRAS2;TSC1;PIK3R1;ZFP36L2;TGFBR1;ZFP36L1;TGFBR2;ATM;SLC25A5
Cell cycle	14/124	1.3155568282862765E-9	6.753191718536219E-8	0	0	8.394291881520566	171.65492351799892	RB1;SMAD2;GSK3B;SMAD4;HDAC2;SMAD3;CDKN1B;CDKN2C;CDKN2A;SMC1A;STAG2;CDC27;EP300;ATM
Hippo signaling pathway	15/160	4.539628444231204E-9	1.9974365154617298E-7	0	0	6.970260223048327	133.9016310552043	SMAD2;YAP1;GSK3B;SMAD4;SMAD3;AXIN1;AXIN2;TGFBR1;TGFBR2;LATS1;APC;PPP2R1A;CDH1;PPP2R2B;NF2
Transcriptional misregulation in cancer	16/186	4.815532056869397E-9	1.853979841894718E-7	0	0	6.3956509573490035	122.48579316741065	CEBPA;HDAC2;CDKN1B;CDKN2C;LDB1;MAX;KLF3;RUNX2;ETV6;TGFBR2;NCOR1;RXRA;SIN3A;ATM;GRIA3;MEN1
Signaling pathways regulating pluripotency of stem cells	14/139	5.92172787849217E-9	2.026546873972876E-7	0	0	7.488433045385253	141.8656499316821	SMAD2;GSK3B;SMAD4;ZFHX3;SMAD3;AXIN1;HNF1A;PIK3R1;INHBA;AXIN2;ACVR1B;ACVR2A;APC;ID3
Human papillomavirus infection	20/330	2.4064023963452326E-8	7.411719380743316E-7	0	0	4.506026810859525	79.04719113825762	RB1;ATP6V1A;GSK3B;HDAC2;CDKN1B;MAML1;UBR4;PTEN;AXIN1;TSC2;TSC1;PIK3R1;AXIN2;CASP8;APC;PPP2R1A;COL4A1;PPP2R2B;EP300;ATM
