Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Spliceosome	32/134	4.2306104557924744E-24	1.3030280203840821E-21	0	0	10.732852590977696	577.638862944652	TCERG1;RBM25;SF3B3;DHX8;SRSF1;HNRNPU;U2AF1;PRPF19;PRPF8;U2AF2;PCBP1;DHX15;SF3B1;AQR;PRPF38B;SF3A1;CDC5L;PRPF40A;THOC2;CHERP;HNRNPM;XAB2;HNRNPK;SNW1;DDX39B;SRSF2;SRSF3;ACIN1;SNRNP200;RBMX;SNRPB;RBM22
Pathways in cancer	57/530	3.2835214441352157E-23	5.056623023968232E-21	0	0	4.833580665677338	250.23708448907556	RET;ALK;GSK3B;FLT3;FLT4;PIK3CB;CCND3;MECOM;CCND1;MYC;AKT1;RAC1;PRKACA;JAK2;HRAS;PDGFRA;MAP2K1;HSP90AA1;PRKCB;MITF;TGFBR1;AR;PIK3CA;MSH3;KIT;RARA;IL6ST;MET;HDAC2;CUL2;CUL1;PIK3R3;CXCR4;EGFR;CDC42;NRAS;BCL2L11;GNA11;TPR;ERBB2;ABL1;CTNNA1;MAPK1;TCF7L2;STAT3;BRAF;MTOR;NFKBIA;RAD51;GNAQ;BCL2;GNAS;CTNNB1;KRAS;FGFR3;FGFR2;FGFR1
Central carbon metabolism in cancer	23/65	5.314030488037708E-22	5.455737967718714E-20	0	0	15.903197925669838	779.0423464882214	RET;PDGFRA;MAP2K1;FLT3;IDH1;NTRK3;PIK3R3;PIK3CB;EGFR;MTOR;NRAS;PIK3CA;MYC;KIT;ERBB2;AKT1;MAPK1;KRAS;HRAS;MET;FGFR3;FGFR2;FGFR1
Prostate cancer	26/97	3.40363502101831E-21	2.620798966184099E-19	0	0	12.046797173636048	567.758840348326	GSK3B;PIK3R3;PIK3CB;EGFR;NRAS;CCND1;ERBB2;AKT1;MAPK1;HRAS;PDGFRA;TCF7L2;MAP2K1;HSP90AA1;BRAF;MTOR;NFKBIA;AR;ZEB1;PIK3CA;BCL2;CTNNB1;KRAS;ERG;FGFR2;FGFR1
Rap1 signaling pathway	32/206	4.11521211767861E-18	2.534970664490024E-16	0	0	6.981564306752482	279.4848743094058	FLT1;FLT4;CTNND1;PIK3R3;PIK3CB;ACTB;EGFR;ACTG1;CDC42;NRAS;KDR;AKT1;MAPK1;RAC1;HRAS;MAP2K3;PDGFRA;MAP2K1;PRKCB;BRAF;PIK3CA;GNAQ;KIT;GNAS;CTNNB1;KRAS;TEK;RAPGEF6;FGFR3;MET;FGFR2;FGFR1
Colorectal cancer	22/86	1.1969665184185642E-17	6.144428127881963E-16	0	0	11.49725633655605	447.98089091775427	GSK3B;TCF7L2;MAP2K1;PIK3R3;BRAF;PIK3CB;TGFBR1;EGFR;MTOR;NRAS;BCL2L11;CCND1;PIK3CA;MSH3;MYC;BCL2;AKT1;MAPK1;CTNNB1;KRAS;RAC1;HRAS
Proteoglycans in cancer	31/201	1.7194113927295546E-17	7.56541012801004E-16	0	0	6.931633965006428	267.57468867512006	ITPR1;PIK3R3;PIK3CB;ACTB;EGFR;ACTG1;CDC42;NRAS;CCND1;ERBB3;MYC;ERBB2;KDR;AKT1;MAPK1;RAC1;PRKACA;HRAS;MAP2K1;PPP1R12A;PRKCB;STAT3;BRAF;PTPN11;ANK3;MTOR;PIK3CA;CTNNB1;KRAS;MET;FGFR1
Endometrial cancer	18/58	2.5214525534177984E-16	9.707592330658524E-15	0	0	13.94808213870593	500.9666595601691	GSK3B;TCF7L2;MAP2K1;PIK3R3;BRAF;PIK3CB;EGFR;NRAS;CCND1;PIK3CA;MYC;ERBB2;CTNNA1;AKT1;MAPK1;CTNNB1;KRAS;HRAS
Acute myeloid leukemia	18/66	3.2591685015316487E-15	1.1153598871908308E-13	0	0	12.257405515832481	408.8740056336526	TCF7L2;MAP2K1;FLT3;STAT3;PIK3R3;BRAF;PIK3CB;MTOR;NRAS;CCND1;PIK3CA;MYC;KIT;RARA;AKT1;MAPK1;KRAS;HRAS
MAPK signaling pathway	34/295	4.030830060983599E-15	1.2414956587829486E-13	0	0	5.179965720815083	171.68894890414566	FLT1;FLT3;FLT4;CACNA1C;EGFR;CDC42;RPS6KA3;NRAS;MECOM;ERBB3;MYC;ERBB2;KDR;AKT1;MAPK1;RAC1;PRKACA;MAP2K7;HRAS;MAP2K3;PDGFRA;MAP2K1;PRKCB;BRAF;TGFBR1;RASA1;KIT;KRAS;TEK;FGFR3;MET;MYD88;FGFR2;FGFR1
