gene	driver_citations	oncogene_citations	tumor_suppressor_citations	all_citations
MYC	632	2087	6	2725
RET	33	1093	8	1134
TP53	132	160	815	1107
BRAF	240	709	2	951
ERBB2	170	690	2	862
KRAS	119	715	2	836
ABL1	102	619	1	722
KIT	115	530	1	646
PTEN	109	32	461	602
MYCN	115	442	6	563
WT1	0	62	422	484
RB1	5	10	462	477
NRAS	99	295	1	395
ALK	116	233	1	350
CDKN2A	20	67	243	330
BCR	57	230	4	291
MET	18	265	2	285
APC	48	15	201	264
FOS	2	255	0	257
BRCA1	13	4	211	228
BCL2	10	196	6	212
CCND1	10	181	1	192
VHL	4	45	139	188
YAP1	22	148	18	188
AKT1	61	116	6	183
MYB	8	166	2	176
NOTCH1	36	95	40	171
RUNX3	0	20	136	156
KLF4	1	43	109	153
EWSR1	15	134	2	151
PIK3CA	59	89	1	149
KMT2A	88	58	2	148
CDH1	11	43	92	146
STAT3	15	112	13	140
HRAS	17	119	0	136
EZH2	17	82	23	122
JUN	1	120	0	121
ROS1	25	88	3	116
SRC	10	102	2	114
SHH	77	34	0	111
GLI1	5	100	1	106
BCL6	1	86	1	88
CTNNB1	9	79	0	88
PML	6	43	39	88
STK11	15	12	58	85
RASSF1	0	2	81	83
HGF	12	69	0	81
SMAD4	9	10	62	81
NF1	21	8	50	79
SOX2	2	71	3	76
MEN1	2	20	51	73
MARK2	0	72	0	72
LMO2	3	67	0	70
CDKN1A	0	36	33	69
PDGFRA	35	34	0	69
RUNX1	4	35	30	69
MITF	12	54	2	68
MTDH	2	65	1	68
FOXM1	6	56	5	67
MLLT3	49	18	0	67
MTOR	12	52	3	67
ERG	10	55	0	65
NPM1	10	53	2	65
MDM2	1	59	2	62
TAZ	11	50	1	62
EGF	12	49	0	61
CADM1	0	1	59	60
BRCA2	2	2	55	59
PDGFB	28	26	2	56
CD274	5	49	0	54
VEGFA	19	31	4	54
TERT	7	43	3	53
AR	35	12	4	51
CSF1R	2	49	0	51
MYCL	4	47	0	51
FHIT	0	23	27	50
KLF6	0	1	49	50
SYK	5	11	33	49
PTPN11	6	29	12	47
PTTG1	0	47	0	47
NF2	6	6	34	46
NTRK1	2	42	2	46
WWOX	1	3	42	46
FGFR1	16	29	0	45
TCL1A	3	41	1	45
ARID1A	7	8	29	44
DLC1	0	2	42	44
FOXP1	0	32	12	44
CDK16	0	43	0	43
PTGS2	7	33	3	43
RARA	8	29	6	43
SLC3A2	3	40	0	43
BAP1	5	0	37	42
FBXW7	5	9	28	42
TAL1	6	36	0	42
CDK8	1	39	1	41
ETS1	0	40	1	41
PTGDR	1	36	4	41
TNFAIP3	0	11	30	41
TWSG1	0	4	37	41
CBL	3	34	3	40
FLT3	19	20	1	40
MAF	0	38	2	40
EGR1	0	19	20	39
JAK2	10	28	0	38
MAPK1	8	29	1	38
PDCD4	0	20	18	38
PI3	13	25	0	38
BCL2L1	1	36	0	37
CDKN1B	0	9	28	37
PTCH1	5	14	18	37
RAF1	0	37	0	37
IDH1	16	13	7	36
PRKN	1	8	27	36
SMARCB1	3	5	28	36
WNT5A	7	11	18	36
FGFR3	4	30	1	35
FOXO1	1	9	25	35
NDRG2	0	3	32	35
SIRT6	2	15	18	35
SKP2	1	33	1	35
SOX4	2	26	7	35
DEK	0	34	0	34
E2F1	4	16	14	34
IL6	10	23	1	34
SIRT1	0	18	16	34
TCF3	1	18	15	34
FOXP3	2	6	25	33
ID4	2	14	17	33
NFIB	7	20	6	33
SERPINB5	0	1	32	33
SETD2	3	3	27	33
NKX3-1	0	2	30	32
CDKN2B	0	5	26	31
RBMS3	0	23	8	31
AXL	5	22	3	30
FOXO3	2	6	22	30
MAPK8	2	23	5	30
TET1	0	15	15	30
MECOM	0	29	0	29
ZBTB7A	0	21	8	29
AURKA	1	25	2	28
CHD5	0	0	28	28
PAX6	0	6	22	28
ATM	7	7	13	27
FHL2	0	15	12	27
HPGD	0	2	25	27
MAP2K7	7	18	2	27
REL	3	24	0	27
SPARC	2	7	18	27
SPOP	7	4	16	27
TET2	7	2	18	27
TUSC3	0	9	18	27
UCHL1	0	18	9	27
FTO	0	25	1	26
KL	0	2	24	26
NKX2-1	0	25	1	26
PTPA	2	3	21	26
PTPRD	0	0	26	26
SETDB1	1	24	1	26
SOX9	5	16	5	26
ZEB1	10	12	4	26
C2ORF40	0	0	25	25
CCN2	1	15	9	25
CDK4	2	16	7	25
DDX3X	1	15	9	25
FUS	1	23	1	25
HMGA2	3	21	1	25
IKZF1	2	7	16	25
NFKB1	0	23	2	25
OTX2	2	23	0	25
STAT1	1	3	21	25
YBX1	2	23	0	25
CRNDE	0	24	0	24
DCC	0	0	24	24
EIF4E	2	20	2	24
ERBB3	9	15	0	24
ETV6	3	18	3	24
HMGA1	5	18	1	24
HOXA9	5	16	3	24
KLF5	0	12	12	24
MUC1	0	24	0	24
NCOA3	3	20	1	24
RAB25	1	8	15	24
SOCS1	0	7	17	24
WNT1	5	18	1	24
ZNF703	1	23	0	24
ATF3	0	14	9	23
CDX2	0	7	16	23
GNMT	0	4	19	23
INS	8	14	1	23
IRF8	0	5	18	23
LOX	1	8	14	23
PBX1	1	21	1	23
PCNA	0	22	1	23
PTPN12	0	5	18	23
TP63	3	16	4	23
TRIB2	0	22	1	23
CCN4	0	18	4	22
CREB1	1	19	2	22
FOXA1	3	17	2	22
KDM6A	5	5	12	22
LMO1	0	22	0	22
METTL3	1	17	4	22
PAX5	2	5	15	22
PRRT2	1	16	5	22
SIRT3	0	2	20	22
TLX1	3	18	1	22
AKT2	4	12	5	21
ATF2	1	17	3	21
DNMT3A	6	8	7	21
ESR2	1	19	1	21
FASN	1	20	0	21
IRF4	1	19	1	21
SMARCA4	5	8	8	21
TFCP2	0	19	2	21
TFF1	0	6	15	21
TWIST1	6	13	2	21
AHR	3	10	7	20
CDKN2C	0	2	18	20
DAB2IP	2	1	17	20
EPHA2	2	17	1	20
ESR1	6	5	9	20
FLCN	0	3	17	20
IRF1	0	4	16	20
KDM5B	0	17	3	20
LETMD1	0	20	0	20
MST1R	3	17	0	20
PIM1	1	19	0	20
TP73	3	0	17	20
CBX7	0	9	10	19
CDC73	0	1	18	19
CTCF	2	13	4	19
DNMT1	0	6	13	19
EML4	1	18	0	19
FOXC1	0	18	1	19
GFAP	4	10	5	19
MAP2K4	0	7	12	19
MEIS1	6	11	2	19
NR4A3	0	2	17	19
PDLIM7	3	15	1	19
PIN1	0	16	3	19
