Gene	TSG_probability	Rank_DORGE_TSG	OG_probability	Rank_DORGE_OG	pval_TSG_TUSON	qval_TSG_TUSON	pval_OG_TUSON	qval_OG_TUSON	Rank_TUSON_TSG	Rank_TUSON_OG	category_TSG	category_OG	by	pval_TSG_2020plus	qval_TSG_2020plus	pval_OG_2020plus	qval_OG_2020plus	Rank_2020plus_TSG	Rank_2020plus_OG
NR2F2	0.894569435912428	332	0.974857804211192	208	0.658315193416717	0.95838100960166	0.240512989406043	0.475523277690453	11066	10721	Other	Other	Gene	0.096268047	0.912108981	0.076169981	0.723818437	1866	1869
TNRC18	0.991079551623644	125	0.538545471951697	934	0.0713824579631151	0.311789177214916	0.0202878605426771	0.0816302908428826	4852	5285	Other	Other	Gene	0.070738218	0.882065217	0.322789431	0.870127088	1438	6609
MEIS1	0.0958998548571404	3921	0.370096298254397	1362	0.560987621940237	0.95838100960166	0.288555275343027	0.530436884255052	10128	11527	Other	Other	Gene	0.216823754	0.930786542	0.280272405	0.852427506	3939	5860
ZEB2	0.985000072092541	153	0.913512715609293	316	0.000569950331994453	0.00649816566317271	0.000230537467751118	0.00232600516113096	1863	2109	Other	Other	Gene	0.324412966	0.930786542	0.068232089	0.717296678	6014	1697
BCL6	0.99629615027067	96	0.999031916771188	103	1.44868591421367e-11	7.69826637056835e-10	5.76726593228417e-12	3.47160084042496e-10	400	354	Other	Core CGC-OG	Gene	0.064353037	0.864411557	0.074154181	0.722068966	1323	1820
IRF2BP2	0.117288786780451	3508	0.969251183502453	230	0.00027280897824781	0.00343574853279113	4.52003783256753e-05	0.000582682916964196	1686	1650	Other	Other	Gene	0.056360665	0.853547855	0.35171343	0.880723056	1193	7078
ZNF503	0.0145891316858547	9072	0.0751097692823083	3835	0.821252244635222	0.95838100960166	0.704908947577453	0.847967978092354	12944	17503	Other	Other	Gene	0.228101335	0.930786542	0.099286298	0.734246575	4139	2399
WNT5A	0.00115628566758855	16866	0.0493103767231763	4744	0.0550797810124546	0.257305633152816	0.0431336611708553	0.142303222602333	4538	6446	Other	Other	Gene	0.674639063	0.938319315	0.531609916	0.927449862	12558	10152
KDM6B	0.180172595709768	2713	0.442430288517822	1151	0.932911730536936	0.95838100960166	0.465597869230701	0.701904845803821	15051	14009	Other	Other	Gene	0.200730046	0.930786542	0.188624353	0.812228571	3674	4129
IRS1	0.162444712560879	2891	0.622690510258888	776	7.82746611963926e-09	2.74334663722686e-07	1.40867243249002e-08	4.42082486950367e-07	606	678	Other	Other	Gene	0.206036502	0.930786542	0.019073822	0.595408163	3730	578
BRD2	0.155953954280819	2969	0.910506512472288	321	0.136056169705728	0.492983681964693	0.101827988167516	0.266763289877255	5844	8112	Other	Other	Gene	0.222429856	0.930786542	0.193598475	0.812228571	4044	4230
NR2F1	0.00163230620805409	16034	0.0741036111164797	3865	0.95838100960166	0.95838100960166	0.372724433655639	0.619482486293426	18670	12738	Other	Other	Gene	0.35977118	0.930786542	0.372105693	0.886207344	6659	7430
