Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Focal adhesion	42/199	1.093607936787864E-20	3.368312445306621E-18	0	0	5.822214520880264	267.60190234367536	FLT1;SHC1;ITGB4;ROCK2;PXN;PIK3R3;ILK;PIK3R2;ARHGAP5;ACTB;EGFR;ARHGAP35;CRKL;CDC42;CCND3;CCND2;RAP1A;ERBB2;KDR;AKT1;MAPK1;FLNB;FYN;RAC1;FLNC;HRAS;PDGFRB;PDGFRA;JUN;MAP2K1;BRAF;PTK2;VAV2;VEGFA;PPP1CA;PIK3CA;COL4A1;RAPGEF1;BCL2;CTNNB1;TLN1;SOS1
Pathways in cancer	68/530	7.717540984308333E-20	1.1885013115834832E-17	0	0	3.539362394274561	155.76098961048456	RET;ALK;HSP90AB1;FLT3;SLC2A1;CRKL;CCND3;CCND2;MYC;AKT1;RAC1;PRKACA;JAK2;HRAS;PDGFRB;PDGFRA;MAP2K1;MAP2K2;DAPK1;TGFBR1;AR;SMO;PIK3CA;MSH3;TRAF3;COL4A1;KIT;RARA;IL6ST;SOS1;HDAC2;CTBP2;ROCK2;CUL1;LRP5;PIK3R3;CXCR4;PIK3R2;EGFR;GNAI2;CDC42;GNA13;NRAS;BCL2L11;RXRA;GNA11;ERBB2;ABL1;MAPK1;ZBTB17;TCF7L2;JUN;STAT3;BRAF;PTK2;VEGFA;RPS6KB1;GNAQ;GNB1;BCL2;GNAS;CTNNB1;KRAS;CALM2;FGFR3;FGFR2;BCL2L1;FGFR1
Proteoglycans in cancer	40/201	8.606724479586914E-19	8.836237132375899E-17	0	0	5.4897924172242245	228.3565507795292	SDC4;ROCK2;PXN;ITPR1;PIK3R3;PIK3R2;ITPR3;ACTB;EGFR;CDC42;NRAS;MYC;ERBB2;KDR;AKT1;MAPK1;FLNB;RAC1;FLNC;PRKACA;HRAS;MAP2K1;MAP2K2;STAT3;MSN;BRAF;PTPN11;ANK3;PTK2;VAV2;VEGFA;PPP1CA;SMO;PIK3CA;RPS6KB1;CTNNB1;KRAS;EZR;SOS1;FGFR1
Central carbon metabolism in cancer	24/65	1.7824300303514447E-18	1.3724711233706124E-16	0	0	10.185676392572946	416.27386623677523	RET;PDGFRB;PDGFRA;MAP2K1;MAP2K2;FLT3;IDH1;SLC2A1;PIK3R3;PIK3R2;EGFR;NRAS;PKM;PIK3CA;MYC;KIT;ERBB2;AKT1;MAPK1;KRAS;HRAS;FGFR3;FGFR2;FGFR1
Regulation of actin cytoskeleton	38/214	3.520935945208806E-16	2.1688965422486247E-14	0	0	4.898485336770867	174.30101402826824	NCKAP1;ITGB4;ROCK2;PXN;PIK3R3;CXCR4;PIK3R2;WASL;ACTB;EGFR;ARHGAP35;CRKL;CDC42;GNA13;NRAS;MAPK1;RAC1;HRAS;MYH10;WASF2;PDGFRB;PDGFRA;MAP2K1;GSN;MAP2K2;MSN;BRAF;SSH2;PTK2;VAV2;PPP1CA;PIK3CA;KRAS;EZR;SOS1;FGFR3;FGFR2;FGFR1
Human cytomegalovirus infection	37/225	1.0989419238717837E-14	5.64123520920849E-13	0	0	4.53639846743295	145.80820946872024	ROCK2;PXN;ITPR1;PIK3R3;CXCR4;PIK3R2;ITPR3;EGFR;CRKL;GNAI2;GNA13;NRAS;MYC;GNA11;AKT1;MAPK1;RAC1;PRKACA;HRAS;PDGFRA;MAP2K1;MAP2K2;STAT3;NFATC3;HLA-A;PTK2;VEGFA;PIK3CA;RPS6KB1;GNAQ;GNB1;GNAS;CTNNB1;KRAS;CALR;SOS1;CALM2
Rap1 signaling pathway	35/206	2.109470720166509E-14	9.28167116873264E-13	0	0	4.686976899899565	147.59175065679747	FLT1;PIK3R3;PIK3R2;ACTB;EGFR;CRKL;GNAI2;CDC42;NRAS;RAP1A;KDR;AKT1;MAPK1;RAC1;HRAS;PDGFRB;PDGFRA;MAP2K1;MAP2K2;BRAF;VAV2;VEGFA;PIK3CA;GNAQ;KIT;RAPGEF1;GNAS;CTNNB1;KRAS;TLN1;CALM2;FGFR3;RAPGEF3;FGFR2;FGFR1
Renal cell carcinoma	21/69	2.193409439580033E-14	8.444626342383128E-13	0	0	8.395802098950526	264.05413976452166	MAP2K1;JUN;MAP2K2;SLC2A1;PIK3R3;PIK3R2;PTPN11;BRAF;CRKL;VEGFA;CDC42;NRAS;RAP1A;PIK3CA;RAPGEF1;AKT1;MAPK1;KRAS;RAC1;SOS1;HRAS
Colorectal cancer	23/86	2.8444967529794003E-14	9.734499999085057E-13	0	0	7.377706495589415	230.11660567088808	TCF7L2;MAP2K1;JUN;MAP2K2;PIK3R3;PIK3R2;BRAF;TGFBR1;EGFR;NRAS;BCL2L11;PIK3CA;RPS6KB1;MSH3;MYC;BCL2;AKT1;MAPK1;CTNNB1;KRAS;RAC1;SOS1;HRAS
Spliceosome	28/134	4.141594227581972E-14	1.2756110220952473E-12	0	0	5.764282038085435	177.62698800909186	EIF4A3;DDX42;HNRNPU;U2AF1;PRPF19;PRPF8;SNRNP70;U2AF2;PCBP1;TRA2B;SF3B1;BCAS2;RBM17;SF3A1;HNRNPA3;CCDC12;CDC5L;CRNKL1;HNRNPM;HNRNPK;SNW1;DDX39B;SRSF2;SRSF6;SNRPC;SNRNP200;SRSF7;SNRPB
