Gene	Missense_entropy
NR2F2	0.096217
TNRC18	0.082228
MEIS1	0.058589
ZEB2	0.085233
BCL6	0.180427
IRF2BP2	0.122767
ZNF503	0.020555
WNT5A	0.035894
KDM6B	0.126305
IRS1	0.113894
BRD2	0.049067
NR2F1	0.167426
PLEC	0.140744
RGMB	0.364883
MLL5	0.104561
MEIS2	0.1679
ZFP36L2	0.145336
ZFP36L1	0.06724
BTG1	0.093708
TGIF1	0.105177
ACTG1	0.098696
FOSL2	0.139697
TSC22D2	0.050572
NR3C1	0.068838
PTCH1	0.228656
LMNA	0.09334
TBX3	0.137119
BAHCC1	0.054605
HIF1A	0.103577
ANXA2	0.068695
FLRT2	0.243243
LMO4	0.096772
PTEN	1.132787
SLC38A2	0.052211
SMAD7	0.244151
SSSCA1	0.0
ARHGEF2	0.122083
HS3ST3B1	0.067601
PDGFRA	1.013685
ZNF608	0.080849
ID2	0.017224
IRX5	0.08669
DUSP6	0.079856
ARID2	0.206822
NRP1	0.08587
TRIM8	0.058185
AHNAK	0.116456
ADM	0.032375
SPRY2	0.064843
FOXO3	0.109739
FN1	0.095722
KLF6	0.106831
PCDH7	0.115046
MARCKS	0.038522
BHLHE40	0.112564
CYR61	0.14274
MYC	0.486602
NFIB	0.099187
IGF2BP3	0.167071
ZNFX1	0.164776
THBS1	0.104654
CCND1	0.539737
BCL11A	0.113983
MNT	0.017748
ARID1A	0.175581
VIM	0.11377
UBC	0.074809
CHD2	0.077468
HNRNPA1	0.058934
HOXB2	0.023782
SIN3A	0.088572
LDB1	0.093406
ITGB1	0.076026
CDK6	0.129048
QKI	0.09266
GNB2L1	0.079692
RTN4	0.147131
TBX2	0.072578
OSR2	0.07156
C5ORF39	0.0
GATA6	0.053423
INHBA	0.182999
GSK3B	0.123193
HDGF	0.110574
HMGA2	0.071306
SRSF3	0.082814
EXT1	0.214596
UBE2D3	0.132663
SETD1B	0.103204
COL1A2	0.094021
ARRDC3	0.208931
TNFRSF1A	0.040744
TFAP2A	0.314557
HSPA1B	0.0
NR4A3	0.133075
FRMD6	0.091165
ARHGAP21	0.081393
ARID1B	0.105897
ZC3H12A	0.086614
TWIST1	0.041329
SKI	0.091718
PPP1R15B	0.077819
MCL1	0.062359
TWIST2	0.03625
NFE2L1	0.092782
DUSP1	0.065113
DUSP5	0.055466
EEF1A1	0.223517
RAP2B	0.128415
SOX4	0.08775
ZYX	0.062359
SATB2	0.108002
