Gene	noncoding_mutation_rate	TSG	OG	NG
NR2F2	5.69E-06	0	0	0
TNRC18	3.03E-06	0	0	0
MEIS1	3.42E-06	0	0	0
ZEB2	4.39E-06	0	0	0
BCL6	3.77E-06	0	1	0
IRF2BP2	3.10E-06	0	0	0
ZNF503	2.02E-06	0	0	1
WNT5A	3.22E-06	0	0	0
KDM6B	2.33E-06	0	0	0
IRS1	2.78E-06	0	0	0
BRD2	2.94E-06	0	0	0
NR2F1	3.04E-06	0	0	0
PLEC	3.35E-06	0	0	0
RGMB	3.57E-06	0	0	0
MLL5	3.03E-06	0	0	0
MEIS2	3.98E-06	0	0	0
ZFP36L2	1.91E-06	0	0	0
ZFP36L1	1.93E-06	0	0	0
BTG1	2.63E-06	1	0	0
TGIF1	2.19E-06	0	0	0
ACTG1	NA	0	0	0
FOSL2	1.81E-06	0	0	0
TSC22D2	2.67E-06	0	0	0
NR3C1	1.88E-06	0	0	0
PTCH1	2.18E-06	1	0	0
LMNA	2.38E-06	0	0	0
TBX3	4.77E-06	1	1	0
BAHCC1	NA	0	0	0
HIF1A	2.64E-06	0	1	0
ANXA2	2.51E-06	0	0	0
FLRT2	6.40E-06	0	0	0
LMO4	2.13E-06	0	0	0
PTEN	1.86E-06	1	0	0
SLC38A2	2.47E-06	0	0	0
SMAD7	2.04E-06	0	0	0
SSSCA1	2.03E-06	0	0	1
ARHGEF2	2.32E-06	0	0	0
HS3ST3B1	3.35E-06	0	0	0
PDGFRA	3.12E-06	0	1	0
ZNF608	2.14E-06	0	0	0
ID2	2.19E-06	0	0	0
IRX5	2.71E-06	0	0	0
DUSP6	2.47E-06	0	0	0
ARID2	2.49E-06	1	0	0
NRP1	3.07E-06	0	0	0
TRIM8	NA	0	0	0
AHNAK	2.52E-06	0	0	0
ADM	2.16E-06	0	0	0
SPRY2	3.48E-06	0	0	0
FOXO3	1.71E-06	1	1	0
FN1	2.92E-06	0	0	0
KLF6	3.45E-06	1	0	0
PCDH7	5.20E-06	0	0	0
MARCKS	3.25E-06	0	0	0
BHLHE40	2.65E-06	0	0	0
CYR61	2.54E-06	0	0	0
MYC	3.13E-06	0	1	0
NFIB	2.70E-06	0	0	0
IGF2BP3	3.23E-06	0	0	0
ZNFX1	2.49E-06	0	0	0
THBS1	2.30E-06	0	0	0
CCND1	2.85E-06	0	1	0
BCL11A	3.02E-06	0	1	0
MNT	2.13E-06	0	0	0
ARID1A	1.69E-06	1	0	0
VIM	3.52E-06	0	0	0
UBC	3.10E-06	0	0	0
CHD2	3.15E-06	1	0	0
HNRNPA1	3.62E-06	0	0	0
HOXB2	2.90E-06	0	0	0
SIN3A	2.58E-06	0	0	0
LDB1	1.68E-06	0	0	0
ITGB1	2.94E-06	0	0	0
CDK6	2.78E-06	0	1	0
QKI	4.69E-06	1	1	0
GNB2L1	1.43E-05	0	0	0
RTN4	NA	0	0	0
TBX2	2.50E-06	0	0	0
OSR2	3.47E-06	0	0	0
C5ORF39	3.47E-06	0	0	0
GATA6	2.82E-06	0	0	0
INHBA	6.32E-06	0	0	0
GSK3B	2.63E-06	0	0	0
HDGF	2.95E-06	0	0	0
HMGA2	3.17E-06	0	1	0
SRSF3	NA	0	1	0
EXT1	3.45E-06	1	0	0
UBE2D3	3.12E-06	0	0	0
SETD1B	NA	1	0	0
COL1A2	4.50E-06	0	0	0
ARRDC3	2.97E-06	0	0	0
TNFRSF1A	2.67E-06	0	0	0
TFAP2A	3.04E-06	0	0	0
HSPA1B	2.34E-06	0	0	0
NR4A3	2.90E-06	0	1	0
FRMD6	2.72E-06	0	0	0
ARHGAP21	2.80E-06	0	0	0
ARID1B	2.01E-06	1	0	0
ZC3H12A	2.90E-06	0	0	0
TWIST1	5.73E-06	0	0	0
