Gene	Cell_proliferation_rate	TSG	OG	NG
NR2F2	-1.4887907500000002	0	0	0
TNRC18	NA	0	0	0
MEIS1	-0.44060175	0	0	0
ZEB2	NA	0	0	0
BCL6	-0.93125025	0	1	0
IRF2BP2	-0.521623	0	0	0
ZNF503	NA	0	0	1
WNT5A	-1.02576525	0	0	0
KDM6B	NA	0	0	0
IRS1	-0.7666085	0	0	0
BRD2	-0.937285625	0	0	0
NR2F1	-0.9017199583335	0	0	0
PLEC	-0.168628375	0	0	0
RGMB	NA	0	0	0
MLL5	NA	0	0	0
MEIS2	-0.224887375	0	0	0
ZFP36L2	-0.605729375	0	0	0
ZFP36L1	-1.10162625	0	0	0
BTG1	0.0399435	1	0	0
TGIF1	-0.662576625	0	0	0
ACTG1	-0.192091	0	0	0
FOSL2	-0.477702125	0	0	0
TSC22D2	0.20900125	0	0	0
NR3C1	-1.234728125	0	0	0
PTCH1	-0.27523875	1	0	0
LMNA	-0.8691577500000001	0	0	0
TBX3	-0.2951165	1	1	0
BAHCC1	NA	0	0	0
HIF1A	-0.010866375000000001	0	1	0
ANXA2	-0.12456999999999999	0	0	0
FLRT2	0.42694275000000004	0	0	0
LMO4	-1.341247791665	0	0	0
PTEN	0.6833821250000001	1	0	0
SLC38A2	0.150203375	0	0	0
SMAD7	-1.1190955	0	0	0
SSSCA1	-0.338907375	0	0	1
ARHGEF2	NA	0	0	0
HS3ST3B1	-0.7282427499999999	0	0	0
PDGFRA	-0.088798	0	1	0
ZNF608	NA	0	0	0
ID2	-0.6978958749999999	0	0	0
IRX5	-0.100543125	0	0	0
DUSP6	-0.540495875	0	0	0
ARID2	NA	1	0	0
NRP1	-0.733436	0	0	0
TRIM8	0.14320349999999998	0	0	0
AHNAK	NA	0	0	0
ADM	-0.79481025	0	0	0
SPRY2	-1.089156375	0	0	0
FOXO3	-0.4932465	1	1	0
FN1	-0.18523087500000002	0	0	0
KLF6	-1.090620875	1	0	0
PCDH7	-0.030748375	0	0	0
MARCKS	-0.7693620833335	0	0	0
BHLHE40	0.360411875	0	0	0
CYR61	NA	0	0	0
MYC	-1.53897475	0	1	0
NFIB	-0.61917075	0	0	0
IGF2BP3	-1.133707625	0	0	0
ZNFX1	-1.50981475	0	0	0
THBS1	-0.609205875	0	0	0
CCND1	-0.5454617500000001	0	1	0
BCL11A	-0.16401549999999998	0	1	0
MNT	-0.238402375	0	0	0
ARID1A	-0.687278625	1	0	0
VIM	-0.6737197500000001	0	0	0
UBC	-1.1957855	0	0	0
CHD2	-0.8653075	1	0	0
HNRNPA1	-1.547288	0	0	0
HOXB2	-0.098127125	0	0	0
SIN3A	-0.429275	0	0	0
LDB1	-1.2271347499999998	0	0	0
ITGB1	-0.701713	0	0	0
CDK6	-1.209752875	0	1	0
QKI	0.077838625	1	1	0
GNB2L1	NA	0	0	0
RTN4	NA	0	0	0
TBX2	0.0033805	0	0	0
OSR2	0.5248863749999999	0	0	0
C5ORF39	NA	0	0	0
GATA6	-1.663161125	0	0	0
INHBA	-1.2735705	0	0	0
GSK3B	-0.027218375	0	0	0
HDGF	NA	0	0	0
HMGA2	-0.548724	0	1	0
SRSF3	-1.78377425	0	1	0
EXT1	-0.7483885	1	0	0
UBE2D3	-0.62826525	0	0	0
SETD1B	NA	1	0	0
COL1A2	-0.481921875	0	0	0
ARRDC3	NA	0	0	0
TNFRSF1A	-1.2400998749999999	0	0	0
TFAP2A	-0.713468875	0	0	0
HSPA1B	0.0112255	0	0	0
NR4A3	-0.669874125	0	1	0
FRMD6	NA	0	0	0
ARHGAP21	NA	0	0	0
ARID1B	-0.744773125	1	0	0
ZC3H12A	NA	0	0	0
TWIST1	-0.921507375	0	0	0
SKI	-0.5533714999999999	0	1	0
