Gene	Gene_type
MAP2K4	CGC-dual
MYPN	Other
ACVR1	CGC-OG
GATA2	Novel DORGE-Dual
RPA2	Other
ARF1	Other
ARF3	Other
XRN1	Other
APP	Other
APLP1	Other
CITED2	Other
EP300	Novel DORGE-Dual
APOB	Other
ARRB2	Other
CSF1R	CGC-OG
PRRC2A	Other
LSM1	Other
SLC4A1	Other
BCL3	Novel DORGE-Dual
ADRB1	NG
BRCA1	CGC-TSG
ARVCF	Other
PCBD1	Other
PSEN2	Other
CAPN3	Other
ITPR1	Novel DORGE-TSG
MAGI1	Other
RB1	Novel DORGE-Dual
TSG101	Other
ORC1	NG
ORC4	Other
MCM5	Other
CDC7	Other
ORC2	Other
DBF4	Other
AKAP8	Other
MCM2	Other
RPA1	Other
RPA3	Other
ORC5	NG
MCM3	Other
YWHAZ	Novel DORGE-Dual
DOCK8	Other
TRIP10	Other
CDKN3	Other
RBBP8	Other
HAND2	Other
CLTC	CGC-TSG
IGFBP3	Other
TXN	Other
ATF2	Other
CCND3	Novel DORGE-Dual
RALBP1	Other
PPIB	Other
CSRP1	Other
CSK	Other
DCN	Other
SIM2	Other
SIM1	Novel DORGE-OG
NPAS4	NG
HBEGF	Other
PCNA	Novel DORGE-TSG
TOPBP1	Other
FLNA	Other
LSM3	Other
LSM4	Other
LSM5	Other
CREBBP	CGC-dual
NUMA1	Novel DORGE-Dual
EXOSC4	Other
PLCG1	CGC-OG
KTN1	Other
KDR	Novel DORGE-Dual
PPARGC1B	Other
SMARCA4	Novel DORGE-Dual
DDX54	Novel DORGE-TSG
ESR1	CGC-dual
FGFR1	Novel DORGE-Dual
TGFB1	Other
SUMO1	Other
MPP6	Other
GABRG2	Other
SFN	Other
TGFB1I1	Other
NR3C1	Novel DORGE-Dual
GCK	Other
HSPA5	Novel DORGE-TSG
SLC2A2	Other
SLC2A4	Other
GRIK2	Other
GRIK1	Other
CCNT1	Other
RGS19	Other
HSF2	Other
LIMK1	Other
FGF7	Other
C1QBP	Other
EIF3E	CGC-TSG
HNRNPA1	Other
HNRNPM	Novel DORGE-Dual
UBAP2L	Novel DORGE-Dual
IMMT	Other
IFT88	Other
HTT	Novel DORGE-TSG
HAP1	Other
HYPK	Other
MEF2D	Novel DORGE-Dual
TCF3	CGC-dual
IGF1R	Other
YWHAE	Novel DORGE-Dual
SOCS1	Novel DORGE-Dual
PTK2	Novel DORGE-TSG
MAPK8	Other
INSR	Other
IL1A	Other
JAK2	Novel DORGE-Dual
BYSL	Other
KRT18	Other
LMNA	Novel DORGE-OG
MLLT4	CGC-OG
BNIPL	Other
BNIP2	Other
SMN1	Other
TP53BP2	Other
RTN4	Novel DORGE-OG
BCL2	Novel DORGE-Dual
NFKB1	Other
SKAP1	Other
ALOX5	Other
VAV1	Other
NCF4	Other
XRCC5	Other
MRE11A	Other
CBX5	Novel DORGE-OG
PIAS4	Other
MITF	CGC-OG
DHDDS	Other
YBX1	Novel DORGE-Dual
ATRNL1	Other
ATF7IP	Other
CHAF1A	Other
ANP32A	Other
MAP1B	Novel DORGE-TSG
MCM7	Other
NOV	Other
KMT2A	CGC-OG
NEB	Other
NGFR	Other
LSM7	Other
SNCAIP	Other
EPB41L1	Other
MAP3K8	Other
RELA	Other
NOP2	Other
ETS1	Novel DORGE-OG
PLXNA1	Other
AKT2	CGC-OG
ETS2	Other
SHANK2	Other
CTTN	Other
SNW1	Novel DORGE-TSG
NRAS	Novel DORGE-Dual
GLMN	Other
KDM5B	Novel DORGE-TSG
REL	Novel DORGE-Dual
FLT1	Novel DORGE-TSG
OPRD1	Other
MYO1C	Novel DORGE-TSG
PDE6D	Other
RAP1GDS1	CGC-OG
PAX5	CGC-dual
KALRN	Other
NRBF2	Other
PIK3R3	Novel DORGE-TSG
APOA1	Other
LSM8	Other
SNX17	Other
PKD1	Other
PKD2	Other
KCNA4	NG
PFN2	Other
HUS1	Other
PTPRB	CGC-TSG
PRKAR1A	CGC-dual
PRKAR1B	Other
FER	Other
MAPK1	Novel DORGE-Dual
HABP4	Other
NSMAF	Other
AR	Novel DORGE-Dual
ITGB2	Other
GNB2L1	Novel DORGE-TSG
PDPK1	Other
WWC1	Other
ARHGDIG	Other
CD2AP	Other
RABEP1	Other
RIN3	Other
KRIT1	Other
RGL2	NG
EXOC8	Other
BRCA2	CGC-TSG
RAD51	Other
DMC1	Other
HBP1	Other
AATF	Other
RXRA	Novel DORGE-Dual
ANK1	Other
LMO2	CGC-OG
TAL1	CGC-OG
UPF2	Novel DORGE-Dual
RPLP1	Other
RPLP2	Other
CYTH1	Novel DORGE-TSG
TOP3B	Other
SNRPA	Other
PDZK1	Other
SOX9	Novel DORGE-Dual
NR5A1	Other
CLU	Other
UNC13B	Other
CD27	Other
FKBP1A	Other
YY1	Other
FKBP2	Other
MYO7A	NG
TCAP	NG
APBB1	Other
CEBPZ	Novel DORGE-TSG
ZEB1	CGC-OG
NDN	Other
ATM	Novel DORGE-Dual
NTRK1	CGC-dual
HSH2D	NG
SRC	CGC-OG
TGFBR1	Novel DORGE-Dual
TNNC1	Other
TNFAIP3	Novel DORGE-Dual
TP53	CGC-dual
TNFRSF1A	Other
DDR2	CGC-OG
CDH1	Novel DORGE-Dual
ITGA1	Other
ITGA4	Other
FLI1	CGC-OG
VHL	Novel DORGE-Dual
XRCC1	Novel DORGE-Dual
ZNF24	Other
ZNF10	Other
COG5	Other
XPA	CGC-TSG
XPC	CGC-TSG
HCFC1	Other
AGTR2	Other
RANBP9	Other
SFPQ	CGC-TSG
BMX	Other
CITED1	Other
TBR1	NG
ID1	Other
LRP2	Other
ERBB4	CGC-dual
NCS1	Other
ARHGEF11	Other
UNC5A	Other
LRPPRC	Other
UBE3A	Other
RAB9A	Other
CTBP2	Novel DORGE-Dual
UPF3B	Other
NXF3	Other
CDC6	Other
TIMM8A	Other
SH3GL3	Other
DTNA	Other
GPHN	Other
PQBP1	Other
GATA1	CGC-dual
F8	Other
SH2D1A	Other
FMR1	Other
FXR1	Novel DORGE-TSG
MSN	Novel DORGE-Dual
ARAF	CGC-OG
MAP2K2	Novel DORGE-Dual
POLA1	Other
RPGR	Other
HTR2C	Other
SYP	Other
TAF1	Novel DORGE-TSG
BPY2	Other
SORBS1	Other
YAF2	Other
CBX3	Other
MAPK8IP3	Other
BCL2L1	Novel DORGE-Dual
BAX	CGC-TSG
ABCA1	Novel DORGE-TSG
ANKRA2	Other
TAF13	Other
PTPN12	Novel DORGE-Dual
TUFT1	NG
PDE4DIP	Other
AP1B1	Other
SPN	Other
JAK3	CGC-OG
EIF5A	Novel DORGE-Dual
PTRH2	Other
TLE1	Other
IL6ST	Novel DORGE-Dual
EPS8	Other
FASN	Other
CENPF	Other
UPF1	Other
NFU1	Other
PKN2	Other
PKP4	Other
ATXN1	Novel DORGE-Dual
PEX16	Other
ZNHIT3	Other
IARS	Novel DORGE-TSG
HTRA2	Other
DUSP10	Other
BBS4	Other
BCAR1	Novel DORGE-OG
TRAIP	Other
CSTF2	Other
CSTF1	Other
XRCC2	Other
MSC	Other
ID2	Other
TCF4	Novel DORGE-Dual
PEX12	Other
PEX13	Other
ARFIP2	Other
NCBP2	Other
PMF1	Other
EIF2AK3	Other
DLG4	Other
NCK1	Other
MINK1	Other
RECQL	Other
PIAS1	Other
MAPKAPK2	Other
S100P	Other
LY9	Other
PTBP1	Other
IFI35	Other
SYN2	Other
TTF1	Other
CDKN1B	Novel DORGE-Dual
INPPL1	Novel DORGE-TSG
NCOR2	CGC-TSG
CDKN1C	Other
UGCG	Novel DORGE-TSG
SERPINH1	Other
NEUROD1	Other
COPB1	Other
MYO6	Other
DCP1A	Other
BPTF	Other
F11R	Other
ADAM17	Other
BOK	Other
BCL2A1	Other
LSM6	Other
CADM1	Other
CSPG4	Other
RAN	Other
CDC45	Other
UBQLN1	Other
ITGA3	Other
BIN1	Other
BMPR1A	CGC-dual
HNRNPD	Novel DORGE-TSG
HECW1	Other
VPS37A	Other
KAT5	Other
MYBL2	Other
CACYBP	Other
MAD2L1	Other
PPARG	CGC-TSG
BAG1	Other
PPP1R15A	Other
GRB10	Other
PROX1	Other
EZH2	CGC-dual
KHDRBS1	Novel DORGE-TSG
RIT1	Novel DORGE-OG
MRAS	Other
PGR	Other
RAD23A	Other
RAD23B	Other
THRB	Other
HIVEP3	Other
RNF7	Other
TRIM28	Other
PEX7	Other
SP3	Novel DORGE-Dual
MCM6	Novel DORGE-TSG
RFXAP	NG
BCL2L2	Other
STAP2	Other
EXOSC6	Other
DCP2	Other
IL16	Other
RING1	Other
RAC1	Novel DORGE-Dual
RAC2	Other
TRPV1	Other
TACC1	Other
PRMT5	Novel DORGE-TSG
SIAH1	Other
PEG10	Other
ATXN7	Other
NEDD4	Other
TTF2	Other
ILK	Novel DORGE-TSG
DNM2	Novel DORGE-Dual
BLMH	Other
PPP2R5D	Other
CFTR	Other
SLBP	Other
SCAMP1	Other
IPCEF1	Other
NRIP1	Novel DORGE-TSG
HEXIM1	Other
RGS4	Other
MAP3K3	Other
SNAP23	Other
RANBP3	Novel DORGE-TSG
GOLGA2	Other
MAGOH	Other
ASIC3	NG
IL1RAP	Other
FHL2	Other
PPP1R8	Other
ARHGAP5	Novel DORGE-Dual
HNRNPAB	Other
NR1H4	Other
APBA2	Other
FYB	NG
PRKAB1	Other
PRKAB2	Other
PRKAG1	Other
RGPD5	Other
DNMT3A	Novel DORGE-Dual
RNF4	Other
PPL	Other
SAFB	Other
MAPK10	Other
MAPK11	Other
TRIP6	Other
LHX2	Other
E2F6	Other
POLE2	Other
BTG1	Novel DORGE-Dual
RNF216	Novel DORGE-OG
ENAH	Other
SLC31A1	Other
SRSF7	Novel DORGE-TSG
DUSP11	Other
NEDD9	Other
SRRM2	Novel DORGE-OG
MCL1	Novel DORGE-Dual
DAXX	CGC-dual
MVD	Other
FANCA	CGC-TSG
ARHGEF7	Other
FNBP1	Other
BIRC5	Other
TNFRSF25	Other
RIPK3	Other
MALT1	CGC-OG
C9ORF89	NG
AP1S1	Other
AP1S2	Other
VAMP4	Other
MBD2	Other
MBD3L1	Other
UBOX5	Other
HIC1	Other
PDZK1IP1	Other
DNM1L	Other
RAB27A	Other
RGS6	Other
ZNF174	Other
TACC3	Other
DIS3	Other
PLCB2	Other
RND1	Other
COPG1	Other
VPS37C	Other
GNA13	Novel DORGE-Dual
GRAP2	Other
ANAPC5	Other
ITGAE	Other
TOM1	Other
STK16	Other
NCKAP1	Novel DORGE-TSG
GADD45G	Other
