Gene	GeneID	Gene_type	DORGE-OG_score	Drug_Name	CREEDS_ID	GEO_ID	DrugBank_ID	p-value	q-value	Fold_Change	Specificity
PRKCB	5579	Novel DORGE-OG	0.919501693928796	Doxorubicin	drug:2720	GSE12972	DB00997	0.0	0.0	-0.661269	1.432254368375824E-4
PRKCB	5579	Novel DORGE-OG	0.919501693928796	Imatinib	drug:2516	GSE1922	DB00619	1.26582E-11	9.83918E-9	-2.0877	3.624501631025734E-4
PRKCB	5579	Novel DORGE-OG	0.919501693928796	Imatinib	drug:2519	GSE1922	DB00619	1.6579E-11	3.22168E-9	-1.96999	3.439972480220158E-4
PRKCB	5579	Novel DORGE-OG	0.919501693928796	Imatinib	drug:2517	GSE1922	DB00619	2.94662E-11	2.0493E-8	-2.34978	2.721829069134459E-4
PRKCB	5579	Novel DORGE-OG	0.919501693928796	Imatinib	drug:2527	GSE19567	DB00619	3.73095E-11	3.79208E-8	-2.08227	3.75234521575985E-4
PRKCB	5579	Novel DORGE-OG	0.919501693928796	Imatinib	drug:2515	GSE1922	DB00619	1.34407E-10	5.55019E-8	-2.17513	4.04040404040404E-4
PRKCB	5579	Novel DORGE-OG	0.919501693928796	Cytarabine	drug:3375	GSE6930	DB00987	1.74721E-10	9.37189E-9	-2.14801	1.591596371160274E-4
PRKCB	5579	Novel DORGE-OG	0.919501693928796	Imatinib	drug:2512	GSE1922	DB00619	2.31598E-10	7.28651E-8	-1.75678	5.665722379603399E-4
PRKCB	5579	Novel DORGE-OG	0.919501693928796	Imatinib	drug:2520	GSE1922	DB00619	1.17302E-9	1.20157E-7	-1.74938	4.578754578754579E-4
PRKCB	5579	Novel DORGE-OG	0.919501693928796	Imatinib	drug:2513	GSE1922	DB00619	1.2612E-9	8.59043E-8	-1.69478	2.955082742316785E-4
PRKCB	5579	Novel DORGE-OG	0.919501693928796	Doxorubicin	drug:3262	GSE6930	DB00997	8.70163E-9	1.79753E-6	-1.8273	2.345215759849906E-4
PRKCB	5579	Novel DORGE-OG	0.919501693928796	Puromycin,ec50,5d	drug:3270	GSE6930		9.19102E-9	2.24492E-7	-1.48531	1.931993817619784E-4
PRKCB	5579	Novel DORGE-OG	0.919501693928796	Interferongamma-1b	drug:2476	GSE5542	DB00033	1.09317E-8	3.32839E-7	-0.252558	2.321262766945218E-4
PRKCB	5579	Novel DORGE-OG	0.919501693928796	Fgfr-specificpd173074inhibitor	drug:3244	GSE52452		3.01704E-8	8.37042E-6	-0.972407	2.196354052273227E-4
PRKCB	5579	Novel DORGE-OG	0.919501693928796	Nilotinib	drug:2528	GSE19567	DB04868	8.82199E-8	3.56158E-5	-2.03245	6.688963210702341E-4
PRKCB	5579	Novel DORGE-OG	0.919501693928796	Doxorubicin	drug:3265	GSE6930	DB00997	8.98933E-8	7.50162E-6	-3.26682	1.986886548778065E-4
PRKCB	5579	Novel DORGE-OG	0.919501693928796	Imatinib	drug:2457	GSE1922	DB00619	9.7298E-8	1.13778E-5	-1.94221	6.561679790026247E-4
PRKCB	5579	Novel DORGE-OG	0.919501693928796	Cisplatin	drug:3152	GSE47856	DB00515	1.41532E-7	1.26264E-5	-2.85953	2.660281989890929E-4
PRKCB	5579	Novel DORGE-OG	0.919501693928796	Diclofenac	drug:3053	GSE54255	DB00586	4.04995E-7	4.05258E-6	-0.552888	1.710863986313088E-4
PRKCB	5579	Novel DORGE-OG	0.919501693928796	Cytarabine	drug:3424	GSE6930	DB00987	9.48453E-7	1.49207E-5	-0.809741	3.038590094196293E-4
PRKCB	5579	Novel DORGE-OG	0.919501693928796	Lmp-420	drug:3222	GSE20211		1.53422E-6	2.55759E-5	-0.398807	2.305209774089442E-4
PRKCB	5579	Novel DORGE-OG	0.919501693928796	Interferonbeta-1b	drug:3343	GSE26104	DB00068	1.38138E-5	8.85426E-5	-0.287778	1.352265043948614E-4
PRKCB	5579	Novel DORGE-OG	0.919501693928796	Cisplatin	drug:3151	GSE47856	DB00515	1.7217E-4	0.0189509	-0.62349	0.003636363636363636
PRKCB	5579	Novel DORGE-OG	0.919501693928796	Calcitriol	drug:3126	GSE52819		3.02306E-4	0.00272843	-0.384257	3.351206434316354E-4
PRKCB	5579	Novel DORGE-OG	0.919501693928796	Vx	drug:3376	GSE33606		6.2744E-4	0.00319613	-0.356405	2.715177844148792E-4
PRKCB	5579	Novel DORGE-OG	0.919501693928796	Lipopolysaccharide	drug:3484	GSE5504		6.35847E-4	0.0166461	-0.499167	6.285355122564425E-4
PRKCB	5579	Novel DORGE-OG	0.919501693928796	Arachidonicacid	drug:3119	GSE3737		0.0011501	0.0228877	-0.753102	0.001564945226917058
PRKCB	5579	Novel DORGE-OG	0.919501693928796	Naturalalphainterferon	drug:2473	GSE5542	DB05258	0.0013267	0.00397438	-0.362796	2.260397830018083E-4
PRKCB	5579	Novel DORGE-OG	0.919501693928796	Insulin	drug:3368	GSE22309		0.00164325	0.0153471	-0.107097	9.718172983479105E-4
PRKCB	5579	Novel DORGE-OG	0.919501693928796	Imatinib	drug:2764	GSE24493	DB00619	0.00311219	0.00692496	-0.507138	1.449275362318841E-4
PRKCB	5579	Novel DORGE-OG	0.919501693928796	Lipopolysaccharide	drug:3486	GSE5504		0.00315283	0.0222927	-1.29	3.757985719654265E-4
PRKCB	5579	Novel DORGE-OG	0.919501693928796	Pioglitazone	drug:2796	GSE8157	DB01132	0.00340238	0.0120609	-0.215552	1.512401693889897E-4
PRKCB	5579	Novel DORGE-OG	0.919501693928796	Interferonbeta-1a	drug:3186	GSE26104	DB00060	0.00381719	0.0179304	-0.14625	2.85143997718848E-4
PRKCB	5579	Novel DORGE-OG	0.919501693928796	Mk-886	drug:3192	GSE3202		0.00489183	0.0154574	-0.316801	2.180549498473615E-4
