Gene	Compound	Cellline	Qvalue	Fold_change	Gene_type
PRKCB	Doxorubicin	NA	0.0	-0.661269	Novel DORGE-OG
PRKCB	Imatinib	NA	9.83918E-9	-2.0877	Novel DORGE-OG
PRKCB	Cytarabine	NA	9.37189E-9	-2.14801	Novel DORGE-OG
PRKCB	Puromycin,ec50,5d	NA	2.24492E-7	-1.48531	Novel DORGE-OG
PRKCB	Interferongamma-1b	NA	3.32839E-7	-0.252558	Novel DORGE-OG
PRKCB	Fgfr-specificpd173074inhibitor	NA	8.37042E-6	-0.972407	Novel DORGE-OG
PRKCB	Nilotinib	NA	3.56158E-5	-2.03245	Novel DORGE-OG
PRKCB	Cisplatin	NA	1.26264E-5	-2.85953	Novel DORGE-OG
PRKCB	Diclofenac	NA	4.05258E-6	-0.552888	Novel DORGE-OG
PRKCB	Lmp-420	NA	2.55759E-5	-0.398807	Novel DORGE-OG
PRKCB	Interferonbeta-1b	NA	8.85426E-5	-0.287778	Novel DORGE-OG
PRKCB	Calcitriol	NA	0.00272843	-0.384257	Novel DORGE-OG
PRKCB	Vx	NA	0.00319613	-0.356405	Novel DORGE-OG
PRKCB	Lipopolysaccharide	NA	0.0166461	-0.499167	Novel DORGE-OG
PRKCB	Arachidonicacid	NA	0.0228877	-0.753102	Novel DORGE-OG
PRKCB	Naturalalphainterferon	NA	0.00397438	-0.362796	Novel DORGE-OG
PRKCB	Insulin	NA	0.0153471	-0.107097	Novel DORGE-OG
PRKCB	Pioglitazone	NA	0.0120609	-0.215552	Novel DORGE-OG
PRKCB	Interferonbeta-1a	NA	0.0179304	-0.14625	Novel DORGE-OG
PRKCB	Mk-886	NA	0.0154574	-0.316801	Novel DORGE-OG
PRKCB	Chlorpyrifos	NA	0.0197415	-0.0904088	Novel DORGE-OG
PRKCB	Puromycin,ec50,3d	NA	0.041436	-0.192493	Novel DORGE-OG
PRKCB	Adenosinetriphosphate	NA	0.0307345	-0.296006	Novel DORGE-OG
PRKCB	Puromycin,ec50,1d	NA	0.0390135	-0.074228	Novel DORGE-OG
PRKCB	Chromium	NA	0.0447998	-1.41655	Novel DORGE-OG
PRKCB	Bicalutamide	NA	0.0456168	-0.0298137	Novel DORGE-OG
TGIF1	Imatinib	NA	1.32795E-7	-1.38509	Novel DORGE-OG
TGIF1	Doxorubicin	NA	1.68474E-8	-0.019521	Novel DORGE-OG
TGIF1	Cytarabine	NA	2.52969E-7	-1.1224	Novel DORGE-OG
TGIF1	Actinomycind	NA	1.5092E-6	-1.27941	Novel DORGE-OG
TGIF1	Bexarotene	NA	2.91393E-6	-0.538705	Novel DORGE-OG
TGIF1	Puromycin,ec50,5d	NA	2.64549E-6	-1.32959	Novel DORGE-OG
