gene	frequency	observed	mean	median	pattern	pval	pvalr
Apc	32.2	759	46.8	15.0	Inactivating	0	1
Pten	23.9	563	18.4	2.0	Inactivating	0	2
Wac	20.6	484	6.7	2.0	Inactivating	0	3
Ctnnd1	15.2	358	7.9	2.0	Inactivating	0	4
Arid1a	17.0	363	5.6	2.0	Inactivating	0	5
Setd5	19.0	448	4.5	2.0	Inactivating	0	6
Pafah1b1	14.4	340	4.8	1.5	Inactivating	0	7
Rtl1	8.4	197	92.2	24.0	Activating	0	8
Smek1	13.0	306	3.6	2.0	Inactivating	0	9
Smad4	14.1	331	27.6	3.0	Inactivating	0	10
Ywhae	10.3	242	5.0	2.0	Inactivating	0	11
Hnrnpc	10.2	239	3.6	1.0	Inactivating	0	12
Pum1	21.4	457	4.5	2.0	Inactivating	0	13
Larp1	11.4	268	3.4	1.0	Inactivating	0	14
Pcbp2	9.7	229	3.2	1.0	Inactivating	0	15
Kmt2e	16.6	390	7.3	2.0	Inactivating	0	16
Ube2d2a	10.9	256	18.8	1.0	Inactivating	0	17
Ppp6r3	19.0	447	6.0	2.0	Inactivating	0	18
Picalm	18.3	430	3.7	2.0	Inactivating	0	19
Ankrd11	21.4	504	6.0	2.0	Inactivating	0	20
Brd4	15.8	372	6.3	2.0	Inactivating	0	21
Setd2	21.1	338	5.4	2.0	Inactivating	0	22
Kansl1	19.9	469	5.0	2.0	Inactivating	0	23
Csnk1d	8.2	193	5.5	2.0	Inactivating	0	24
Crebbp	20.2	475	8.0	2.0	Inactivating	0	25
Elavl1	10.2	241	4.7	2.0	Inactivating	0	26
Csnk1a1	10.3	243	7.0	2.0	Inactivating	0	27
Gsk3b	23.4	552	6.7	2.0	Inactivating	0	28
Larp4b	15.7	369	3.8	1.0	Inactivating	0	29
Ctnna1	21.7	511	4.6	2.0	Inactivating	0	30
Arhgap5	14.2	335	3.6	2.0	Inactivating	0	31
Arih1	23.1	370	3.6	2.0	Inactivating	0	32
Cltc	14.4	338	4.9	2.0	Inactivating	0	33
Ppp1r12a	20.0	470	3.1	2.0	Inactivating	0	34
Hnrnpm	10.6	249	3.6	1.0	Inactivating	0	35
Ubqln1	9.6	227	2.7	1.0	Inactivating	0	36
Raf1	12.1	286	6.7	1.0	Inactivating	0	37
Cnot1	15.8	372	4.6	2.0	Inactivating	0	38
Ewsr1	8.4	198	5.0	2.0	Inactivating	0	39
Ube2d3	9.4	222	3.8	2.0	Inactivating	0	40
