Gene	Cancer_median	Normal_median	TSG	OG	NG
NR2F2	0.86	0.228	0	0	0
TNRC18	0.179	0.8565	0	0	0
MEIS1	0.845	0.27	0	0	0
ZEB2	0.182	0.705	0	0	0
BCL6	0.847	0.052	0	1	0
IRF2BP2	?	?	0	0	0
ZNF503	0.96	0.349	0	0	1
WNT5A	0.824	0.289	0	0	0
KDM6B	0.156	0.8525	0	0	0
IRS1	0.861	0.323	0	0	0
BRD2	0.149	0.746	0	0	0
NR2F1	0.861	0.23	0	0	0
PLEC	0.115	0.611	0	0	0
RGMB	0.126	0.636	0	0	0
MLL5	0.5	0.5	0	0	0
MEIS2	0.866	0.127	0	0	0
ZFP36L2	0.862	0.099	0	0	0
ZFP36L1	0.852	0.103	0	0	0
BTG1	0.848	0.094	1	0	0
TGIF1	0.127	0.642	0	0	0
ACTG1	0.5	0.5	0	0	0
FOSL2	0.5	0.5	0	0	0
TSC22D2	0.179	0.696	0	0	0
NR3C1	0.828	0.297	0	0	0
PTCH1	0.158	0.5	1	0	0
LMNA	0.859	0.365	0	0	0
TBX3	0.855	0.172	1	1	0
BAHCC1	0.166	0.763	0	0	0
HIF1A	0.12	0.5	0	1	0
ANXA2	0.184	0.675	0	0	0
FLRT2	0.15	0.859	0	0	0
LMO4	0.183	0.666	0	0	0
PTEN	0.855	0.349	1	0	0
SLC38A2	0.855	0.332	0	0	0
SMAD7	0.8394999999999999	0.254	0	0	0
SSSCA1	0.5	0.5	0	0	1
ARHGEF2	0.158	0.71	0	0	0
HS3ST3B1	0.1815	0.705	0	0	0
PDGFRA	0.855	0.088	0	1	0
ZNF608	0.811	0.364	0	0	0
ID2	?	?	0	0	0
IRX5	0.852	0.281	0	0	0
DUSP6	0.849	0.121	0	0	0
ARID2	0.152	0.5	1	0	0
NRP1	0.157	0.773	0	0	0
TRIM8	?	?	0	0	0
AHNAK	0.837	0.123	0	0	0
ADM	0.9075	0.263	0	0	0
SPRY2	0.888	0.328	0	0	0
FOXO3	0.1465	0.5	1	1	0
FN1	0.15	0.857	0	0	0
KLF6	0.806	0.288	1	0	0
PCDH7	0.8265	0.347	0	0	0
MARCKS	0.8674999999999999	0.31	0	0	0
BHLHE40	0.1695	0.736	0	0	0
CYR61	0.833	0.219	0	0	0
MYC	0.11	0.5	0	1	0
NFIB	0.95	0.448	0	0	0
IGF2BP3	0.158	0.725	0	0	0
ZNFX1	0.185	0.774	0	0	0
THBS1	0.187	0.72	0	0	0
CCND1	0.168	0.5	0	1	0
BCL11A	0.179	0.5	0	1	0
MNT	0.5	0.5	0	0	0
ARID1A	0.146	0.5	1	0	0
VIM	0.156	0.5	0	0	1
UBC	?	?	0	0	0
CHD2	0.152	0.5	1	0	0
HNRNPA1	0.863	0.228	0	0	0
HOXB2	0.848	0.144	0	0	0
SIN3A	?	?	0	0	0
LDB1	0.134	0.72	0	0	0
ITGB1	0.172	0.732	0	0	0
CDK6	0.846	0.256	0	1	0
QKI	0.828	0.051	1	1	0
GNB2L1	?	?	0	0	0
RTN4	0.163	0.815	0	0	0
TBX2	0.874	0.298	0	0	0
OSR2	0.868	0.28	0	0	0
C5ORF39	0.076	0.62	0	0	0
GATA6	0.869	0.152	0	0	0
INHBA	0.144	0.758	0	0	0
GSK3B	0.5	0.5	0	0	0
HDGF	?	?	0	0	0
HMGA2	0.196	0.5	0	1	0
SRSF3	0.179	0.5	0	1	0
EXT1	0.186	0.5	1	0	0
UBE2D3	0.844	0.257	0	0	0
SETD1B	0.157	0.5	1	0	0
COL1A2	0.1635	0.775	0	0	0
ARRDC3	?	?	0	0	0
TNFRSF1A	0.172	0.863	0	0	0
TFAP2A	0.86	0.186	0	0	0
HSPA1B	?	?	0	0	0
NR4A3	0.898	0.373	0	1	0
FRMD6	0.8474999999999999	0.266	0	0	0
ARHGAP21	?	?	0	0	0
ARID1B	0.871	0.346	1	0	0
ZC3H12A	0.139	0.665	0	0	0
TWIST1	0.852	0.228	0	0	0
SKI	0.841	0.153	0	1	0
PPP1R15B	?	?	0	0	0
MCL1	?	?	0	0	0
TWIST2	?	?	0	0	0
NFE2L1	0.12	0.5	0	0	0
DUSP1	0.886	0.369	0	0	0
DUSP5	0.055	0.568	0	0	0
EEF1A1	0.143	0.709	0	0	0
RAP2B	0.1565	0.5	0	0	0
SOX4	?	?	0	0	0
ZYX	?	?	0	0	0
SATB2	0.866	0.288	0	0	0
IRF2BPL	0.852	0.254	0	0	0
DCBLD2	0.169	0.919	0	0	0
CPEB2	0.862	0.211	0	0	0
PTMA	?	?	0	0	0
ANP32A	0.855	0.125	0	0	0
KLF9	0.837	0.16	0	0	0
ARID5B	0.123	0.795	0	0	0
TCF7L2	0.831	0.292	0	1	0
ING1	?	?	0	0	0
ZBTB7B	0.82	0.308	0	0	0
COL1A1	0.1595	0.815	0	0	0
IGF2BP2	0.147	0.5	1	0	0
BBC3	0.837	0.048	0	0	0
PLK2	0.1495	0.5	0	0	0
MT-CYB	?	?	0	0	0
ALKBH5	0.847	0.303	0	0	0
IRS2	0.856	0.351	0	0	0
ZFHX4	0.166	0.726	0	0	0
PHLDA1	?	?	0	0	0
SPRY4	0.149	0.668	0	0	0
TSC22D1	0.887	0.35	0	0	0
RBMS3	0.15	0.795	0	0	0
SPN	0.801	0.304	0	0	0
CITED2	?	?	0	0	0
WNK1	0.108	0.619	0	0	0
DDX3X	?	?	1	0	0
BCOR	0.861	0.265	1	0	0
CTDSP1	?	?	0	0	0
RND3	0.122	0.665	0	0	0
JUN	?	?	0	1	0
MAT2B	0.844	0.051	0	0	0
TRIB2	0.844	0.317	0	0	0
MTCO1P12	?	?	0	0	0
BMI1	0.171	0.821	0	0	0
SPRED1	0.1485	0.5	0	0	0
CDK13	?	?	0	0	0
WEE1	?	?	0	0	0
HEXIM1	0.5	0.5	0	0	0
CDH11	0.146	0.5	1	0	0
ADAMTS1	0.1475	0.7685	0	0	0
CCDC80	0.1185	0.603	0	0	0
FZD7	0.8414999999999999	0.112	0	0	0
FOXC1	0.8334999999999999	0.06	0	0	0
BAZ2A	0.5	0.5	0	0	0
ARHGEF17	0.176	0.797	0	0	0
KLF7	0.153	0.784	0	0	0
PKM2	0.191	0.684	0	0	0
MSL2	?	?	0	0	0
TGFB2	0.8374999999999999	0.206	0	0	0
KLF16	0.8574999999999999	0.044	0	0	0
CRIM1	0.1445	0.765	0	0	0
JAG1	0.131	0.661	0	0	0
HNRNPH1	0.846	0.17	0	0	0
FAT1	0.152	0.5	1	0	0
BCL2L1	?	?	0	0	0
DLX2	0.83	0.2	0	0	0
JARID2	0.167	0.76	0	0	0
C10ORF140	0.8485	0.09	0	0	0
LASP1	0.505	0.6055	0	0	0
NIPBL	?	?	0	0	0
ALCAM	0.153	0.749	0	0	0
AKIRIN2	0.858	0.113	0	0	0
ZNF703	0.113	0.661	0	0	0
YWHAZ	0.131	0.649	0	0	0
TBX5	0.837	0.173	0	0	0
ZNF462	0.8625	0.222	0	0	0
SAMD4A	0.155	0.866	0	0	0
CDC42EP3	0.125	0.777	0	0	0
SPRED2	0.117	0.726	0	0	0
TLE3	0.839	0.324	0	0	0
BMPR2	0.5	0.5	0	0	0
IGF1R	0.155	0.784	0	0	0
MLLT6	?	?	0	0	0
TOB2	?	?	0	0	0
ZFAND5	?	?	0	0	0
ZSWIM6	0.836	0.285	0	0	0
PAWR	0.877	0.373	0	0	0
ZMIZ1	0.862	0.347	0	0	0
HSPA8	0.137	0.642	0	0	0
FOXP1	0.858	0.271	0	1	0
HNRNPD	?	?	0	0	0
NRP2	0.171	0.688	0	0	0
TLE4	0.138	0.851	0	0	0
SMAD6	0.9005000000000001	0.367	0	0	0
TRA2B	0.144	0.776	0	0	0
OSR1	0.862	0.242	0	0	0
VEGFA	?	?	0	0	0
PBX1	0.912	0.395	0	1	0
JUNB	?	?	0	0	0
STIM2	0.829	0.26	0	0	0
C6ORF62	0.8665	0.306	0	0	0
DUSP4	0.1295	0.724	0	0	0
LZTS2	0.84	0.358	0	0	0
CCNL1	0.126	0.679	0	0	0
FDFT1	0.5	0.5	0	0	0
C3ORF58	?	?	0	0	1
C17ORF59	?	?	0	0	0
PURB	?	?	0	0	0
ACTB	0.1605	0.711	0	0	0
LRP1	0.903	0.402	0	0	0
EFNA5	0.1245	0.746	0	0	0
NAB2	0.5055000000000001	0.405	1	0	0
KLF3	0.884	0.326	0	0	0
SOS1	0.1735	0.784	0	0	0
CDKN1B	0.114	0.5	1	0	0
MICA	0.106	0.573	0	0	0
APOLD1	0.817	0.297	0	0	0
NNMT	0.172	0.731	0	0	0
NUDT4	0.10600000000000001	0.66	0	0	0
HIVEP1	?	?	0	0	0
ARF6	0.069	0.632	0	0	0
NFIA	0.801	0.374	0	0	0
VCPIP1	0.1735	0.791	0	0	0
PCDH10	0.8325	0.258	0	0	0
MAT2A	0.5	0.5	0	0	0
SPARC	0.149	0.677	0	0	0
PTGER4	0.855	0.228	0	0	0
SIX1	0.848	0.057	0	1	0
SMARCA2	0.167	0.648	0	0	0
BCL2L11	0.5	0.5	0	0	0
CAV1	0.49850000000000005	0.413	0	0	0
LAMC1	0.5	0.5	0	0	0
MLL2	?	?	0	0	0
NRIP1	0.151	0.706	0	0	0
MAMLD1	0.1545	0.671	0	0	0
CSDA	?	?	0	0	0
SPRY1	0.141	0.819	0	0	0
TENC1	0.846	0.281	0	0	0
ID3	?	?	1	0	0
KDM5B	0.193	0.868	0	0	0
DR1	?	?	0	0	0
DHRS3	0.866	0.165	0	0	0
PCF11	0.851	0.153	0	0	0
CNN3	0.9105000000000001	0.41	0	0	0
TRIO	0.1725	0.791	0	0	0
CFLAR	0.822	0.129	0	0	0
BMP4	0.929	0.389	0	0	1
ZC3H4	0.119	0.757	0	0	0
CXXC5	0.853	0.274	0	0	0
GLS	0.126	0.68	0	0	0
SEPT11	0.167	0.756	0	0	0
PTPRG	0.832	0.252	0	0	0
FUBP1	0.15	0.5	0	1	0
MIDN	0.156	0.8285	0	0	0
SOX9	0.122	0.879	0	0	0
CD44	0.166	0.713	0	0	0
UGCG	0.5	0.5	0	0	0
NFE2L2	0.151	0.5	1	1	0
ZBTB7A	0.8585	0.237	0	0	0
ATP2A2	0.5	0.5	0	0	0
FOXC2	0.85	0.175	0	0	0
PCDH18	0.147	0.779	0	0	0
ZCCHC2	?	?	0	0	0
MID1IP1	0.1405	0.5	0	0	1
UBTF	0.8454999999999999	0.046	0	0	0
MLLT3	0.139	0.854	0	0	0
KIAA1539	?	?	0	0	0
SNX33	0.848	0.323	0	0	0
FST	0.19	0.877	0	0	0
HOXB4	0.865	0.313	0	0	0
RPL3	0.125	0.643	0	0	0
RNASE4	0.1705	0.771	0	0	0
SALL1	0.1725	0.792	0	0	0
ATXN1	0.153	0.752	0	0	0
BCL3	0.828	0.274	0	1	0
MAML3	0.1475	0.729	0	0	0
SNX18	0.871	0.293	0	0	0
CAMK2D	0.173	0.81	0	0	0
ACTN1	0.819	0.282	0	0	0
SLC2A1	0.111	0.638	0	0	0
KLF10	?	?	0	0	0
EIF4A2	0.119	0.653	0	0	0
KIAA1949	0.818	0.315	0	0	0
KLF12	0.145	0.769	0	0	0
TCF4	0.188	0.747	0	0	0
EFNB2	0.148	0.741	0	0	0
USP9X	0.8614999999999999	0.214	0	0	0
FZD8	0.137	0.916	0	0	0
ARHGEF12	0.181	0.5	1	0	0
ST3GAL1	0.839	0.289	0	0	0
ATP1A1	0.5	0.5	1	1	0
GAPDH	0.16749999999999998	0.674	0	0	0
HNRNPU	?	?	0	0	0
HSPA5	?	?	0	0	0
VCAN	0.804	0.292	0	0	0
FOXF1	0.858	0.268	0	0	0
GABPB1	0.149	0.778	0	0	0
ETV1	0.862	0.02	0	1	0
ARF4	0.085	0.587	0	0	0
PNRC1	0.8494999999999999	0.229	0	0	0
CDC42BPA	0.162	0.903	0	0	0
FTH1	0.17149999999999999	0.832	0	0	0
TXNIP	?	?	0	0	0
ERRFI1	0.166	0.798	0	0	0
TIPARP	0.1565	0.5	0	0	0
PRRX1	0.829	0.33	0	0	0
FEM1B	0.145	0.81	0	0	0
TEAD1	0.851	0.217	0	0	0
CPEB4	0.892	0.388	0	0	0
TRERF1	0.135	0.747	0	0	0
TRIB1	0.1845	0.826	0	0	0
NFIL3	0.844	0.279	0	0	0
FSCN1	0.801	0.144	0	0	0
CALM2	?	?	0	0	0
STAG2	0.1335	0.5	1	0	0
TUBB3	0.186	0.875	0	0	0
IGF2BP1	0.839	0.106	0	0	0
VGLL4	0.833	0.287	0	0	0
GIT2	?	?	0	0	0
TRPS1	0.139	0.752	0	0	0
SMAD3	0.8205	0.2	1	0	0
HNRNPUL1	?	?	0	0	0
ELL2	0.16	0.886	0	0	0
MGEA5	0.5	0.5	0	0	0
CLTC	0.094	0.5	1	0	0
STXBP5	0.152	0.68	0	0	0
ATF4	0.8554999999999999	0.334	0	0	0
JUB	0.178	0.797	0	0	0
