Gene	cancer	HR	pvalue
PALB2	READ	0.399	1.7E-4
VHL	READ	0.469	0.0012
KCTD16	READ	0.426	0.0017
PKD1L1	READ	0.537	0.002
KCNJ8	READ	1.875	0.0023
AXDND1	READ	0.475	0.0029
DMD	READ	1.971	0.0031
ITPR3	READ	0.504	0.0034
RBMS1	READ	1.951	0.0034
ARL8A	READ	1.829	0.0035
MARCO	READ	2.027	0.0037
HACL1	READ	0.532	0.0045
BEND6	READ	1.95	0.0046
XPO6	READ	0.534	0.0046
ZNF337	READ	0.507	0.0054
ZNF717	READ	0.517	0.0054
CLDN20	READ	0.466	0.0056
KCNE4	READ	1.859	0.0062
GNAI2	READ	1.717	0.0071
TRPA1	READ	0.521	0.0072
FAM167B	READ	1.762	0.0076
BCL6	READ	1.784	0.0086
LPPR2	READ	1.855	0.0086
TCEAL5	READ	1.874	0.0089
BTG1	READ	1.733	0.0092
IZUMO2	READ	0.506	0.0093
TNS1	READ	1.74	0.0099
SCN1B	READ	1.801	0.011
ABCC9	READ	1.691	0.012
FLT1	READ	1.878	0.012
GYPE	READ	1.808	0.012
IYD	READ	0.597	0.012
ARL4D	READ	1.819	0.013
RSPO2	READ	1.748	0.013
ZNF552	READ	0.601	0.014
C9ORF24	READ	0.573	0.015
CNOT10	READ	0.562	0.015
CXORF36	READ	1.688	0.015
NANOS3	READ	0.571	0.015
NUCKS1	READ	1.673	0.015
TCF20	READ	0.532	0.015
BRCA1	READ	0.565	0.016
ERGIC1	READ	0.597	0.016
KATNAL1	READ	1.707	0.016
SCUBE1	READ	0.54	0.017
GJA4	READ	1.58	0.018
HIRA	READ	0.574	0.018
IWS1	READ	1.833	0.018
ORC1	READ	0.582	0.018
WWTR1	READ	1.759	0.018
COQ7	READ	0.564	0.019
FANCD2	READ	0.567	0.019
KCNV2	READ	0.544	0.019
MN1	READ	1.685	0.019
FRMD1	READ	0.565	0.02
HIST1H2AL	READ	0.531	0.02
KIAA1751	READ	0.591	0.02
XRN2	READ	0.6	0.02
FAM198A	READ	1.675	0.021
EPHX4	READ	0.626	0.022
MAX	READ	1.738	0.022
MYH15	READ	0.647	0.022
PDGFB	READ	1.709	0.022
ANKRD37	READ	1.669	0.023
ENHO	READ	0.545	0.023
LRCH2	READ	1.66	0.023
SAMD11	READ	1.764	0.023
SLC13A4	READ	0.579	0.023
BOC	READ	1.608	0.024
USP1	READ	0.575	0.024
NKAPL	READ	1.572	0.025
PNMAL2	READ	1.596	0.025
SH3RF2	READ	0.639	0.025
TCEAL6	READ	1.659	0.025
ADAMTS4	READ	1.561	0.026
FLNB	READ	0.594	0.026
ITPKB	READ	1.589	0.026
KLHL30	READ	1.652	0.026
RCAN2	READ	1.667	0.026
WDR26	READ	1.733	0.026
AXIN1	READ	0.631	0.027
RMI2	READ	0.613	0.027
CCNI2	READ	0.635	0.027
FUBP1	READ	0.641	0.027
HSPB6	READ	1.544	0.027
LGALS9C	READ	0.591	0.027
ZKSCAN4	READ	0.642	0.027
ADAMTS5	READ	1.652	0.028
BMPER	READ	0.566	0.028
ZDBF2	READ	1.732	0.028
C5ORF13	READ	1.612	0.029
GNAL	READ	1.661	0.029
GSPT1	READ	0.645	0.029
KCTD10	READ	1.512	0.029
AKT3	READ	1.687	0.03
TEX29	READ	1.536	0.03
CNPY4	READ	1.637	0.03
SRRM2	READ	0.613	0.03
TXNDC11	READ	0.624	0.03
RHD	READ	0.633	0.031
TKT	READ	0.63	0.031
