Gene	ATAC_seq_peak_signal	TSG	OG	NG
NR2F2	49.12936292	0	0	0
TNRC18	55.03494012	0	0	0
MEIS1	34.35607636	0	0	0
ZEB2	28.18442783	0	0	0
BCL6	75.16143698	0	1	0
IRF2BP2	51.37382765	0	0	0
ZNF503	82.9087855	0	0	1
WNT5A	16.8649857	0	0	0
KDM6B	52.91298846	0	0	0
IRS1	25.05066297	0	0	0
BRD2	111.4951961	0	0	0
NR2F1	29.2744414	0	0	0
PLEC	128.030336	0	0	0
RGMB	81.85014789	0	0	0
MLL5	8.157875325	0	0	0
MEIS2	49.47541961	0	0	0
ZFP36L2	99.04821366	0	0	0
ZFP36L1	49.98320267	0	0	0
BTG1	107.8968145	1	0	0
TGIF1	76.1778586	0	0	0
ACTG1	76.09996256	0	0	0
FOSL2	87.54681429	0	0	0
TSC22D2	85.81979966	0	0	0
NR3C1	66.05175336	0	0	0
PTCH1	39.02599043	1	0	0
LMNA	101.5976666	0	0	0
TBX3	82.40277027	1	1	0
BAHCC1	67.07946428	0	0	0
HIF1A	108.926664	0	1	0
ANXA2	47.77390249	0	0	0
FLRT2	13.4738855	0	0	0
LMO4	33.72458504	0	0	0
PTEN	61.13331952	1	0	0
SLC38A2	111.0098056	0	0	0
SMAD7	40.9044705	0	0	0
SSSCA1	73.75704781	0	0	1
ARHGEF2	30.35307819	0	0	0
HS3ST3B1	77.58636313	0	0	0
PDGFRA	486.5901567	0	1	0
ZNF608	44.98488982	0	0	0
ID2	87.24972664	0	0	0
IRX5	42.6763151	0	0	0
DUSP6	66.62596912	0	0	0
ARID2	72.46577162	1	0	0
NRP1	35.5598245	0	0	0
TRIM8	36.42744779	0	0	0
AHNAK	58.7443776	0	0	0
ADM	51.94211651	0	0	0
SPRY2	53.63511833	0	0	0
FOXO3	61.84827479	1	1	0
FN1	48.2561117	0	0	0
KLF6	122.3926072	1	0	0
PCDH7	26.88875419	0	0	0
MARCKS	44.25506945	0	0	0
BHLHE40	132.0514478	0	0	0
CYR61	36.083186	0	0	0
MYC	238.1613666	0	1	0
NFIB	89.23339855	0	0	0
IGF2BP3	45.57286434	0	0	0
ZNFX1	101.4764673	0	0	0
THBS1	31.81514638	0	0	0
CCND1	135.164766	0	1	0
BCL11A	103.4236537	0	1	0
MNT	101.4764673	0	0	0
ARID1A	65.53471127	1	0	0
VIM	56.13719556	0	0	1
UBC	84.71032414	0	0	0
CHD2	83.25691031	1	0	0
HNRNPA1	172.1971044	0	0	0
HOXB2	21.44560662	0	0	0
SIN3A	128.8976927	0	0	0
LDB1	33.83181865	0	0	0
ITGB1	65.65297096	0	0	0
CDK6	143.9394372	0	1	0
QKI	69.48659421	1	1	0
GNB2L1	45.52507515	0	0	0
RTN4	99.69143889	0	0	0
TBX2	50.52912028	0	0	0
OSR2	49.63757507	0	0	0
C5ORF39	42.85664239	0	0	0
GATA6	128.115914	0	0	0
INHBA	41.75651432	0	0	0
GSK3B	169.9774064	0	0	0
HDGF	160.2712074	0	0	0
HMGA2	20.73098941	0	1	0
SRSF3	99.04821366	0	1	0
EXT1	52.88419407	1	0	0
UBE2D3	103.1441119	0	0	0
SETD1B	45.38560402	1	0	0
COL1A2	71.23394154	0	0	0
ARRDC3	100.3745274	0	0	0
TNFRSF1A	36.19063669	0	0	0
TFAP2A	68.00864751	0	0	0
HSPA1B	128.9986933	0	0	0
NR4A3	78.62579888	0	1	0
FRMD6	50.26986286	0	0	0
ARHGAP21	66.69275516	0	0	0
ARID1B	61.26802883	1	0	0
ZC3H12A	71.55661543	0	0	0
TWIST1	97.64077042	0	0	0
SKI	1079.746171	0	1	0
PPP1R15B	441.1406395	0	0	0
MCL1	111.7152336	0	0	0
TWIST2	14.08237608	0	0	0
NFE2L1	138.6527468	0	0	0
DUSP1	94.21802418	0	0	0
DUSP5	58.60873545	0	0	0
EEF1A1	99.89775148	0	0	0
RAP2B	123.6031932	0	0	0
SOX4	6.739996655	0	0	0
ZYX	91.05748623	0	0	0
SATB2	45.6467402	0	0	0
IRF2BPL	69.33362105	0	0	0
DCBLD2	93.69121837	0	0	0
