Gene	Gene_betweenness_centrality	Gene_closeness_centrality	Gene_Degree	TSG.All.Set	OG.All.Set	Neutral.Genes
NR2F2	7.354E-5	0.37298104	61	0	0	0
TNRC18	9.51E-6	0.38561821	20	0	0	0
MEIS1	5.103E-5	0.32588469	25	0	0	0
ZEB2	6.52E-6	0.38583149	31	0	0	0
BCL6	5.3972E-4	0.38332265	164	0	1	0
IRF2BP2	3.945E-5	0.39447704	56	0	0	0
ZNF503	3.63E-6	0.33338644	14	0	0	1
WNT5A	1.719E-5	0.32266271	21	0	0	0
KDM6B	1.6414E-4	0.37856416	92	0	0	0
IRS1	1.0688E-4	0.41449828	129	0	0	0
BRD2	2.556E-5	0.37518768	65	0	0	0
NR2F1	1.611E-5	0.37182135	39	0	0	0
PLEC	1.8608E-4	0.42227659	157	0	0	0
RGMB	1.9E-7	0.30250795	7	0	0	0
MLL5	0	0	0	0	0	0
MEIS2	1.836E-4	0.36758442	32	0	0	0
ZFP36L2	9.182E-4	0.40327592	194	0	0	0
ZFP36L1	3.08E-6	0.36004301	18	0	0	0
BTG1	3.03E-6	0.34252629	21	1	0	0
TGIF1	1.306E-5	0.37837594	29	0	0	0
ACTG1	2.7209E-4	0.4180901	185	0	0	0
FOSL2	5.799E-5	0.38119308	66	0	0	0
TSC22D2	1.6709E-4	0.36696403	52	0	0	0
NR3C1	0.00218197	0.4299435	463	0	0	0
PTCH1	7.3007E-4	0.39835348	194	1	0	0
LMNA	0.01428261	0.45989452	837	0	0	0
TBX3	1.361E-5	0.37800858	48	1	1	0
BAHCC1	4.17E-6	0.36193441	14	0	0	0
HIF1A	0.0017615	0.44026613	491	0	1	0
ANXA2	4.1176E-4	0.42814034	173	0	0	0
FLRT2	0.0	0.32226521	1	0	0	0
LMO4	9.595E-5	0.37187916	73	0	0	0
PTEN	0.00427605	0.43756207	575	1	0	0
SLC38A2	2.294E-5	0.39509145	32	0	0	0
SMAD7	9.433E-5	0.38283179	131	0	0	0
SSSCA1	3.3715E-4	0.38338409	174	0	0	1
ARHGEF2	7.707E-5	0.41049405	118	0	0	0
HS3ST3B1	0.0	0.25887556	1	0	0	0
PDGFRA	1.2694E-4	0.38615186	103	0	1	0
ZNF608	4.9E-7	0.35323656	7	0	0	0
ID2	1.0618E-4	0.36865284	91	0	0	0
IRX5	0.0	0.30203316	1	0	0	0
DUSP6	1.1568E-4	0.36194223	92	0	0	0
ARID2	2.392E-5	0.38075095	48	1	0	0
NRP1	1.2611E-4	0.37955973	61	0	0	0
TRIM8	3.25E-5	0.37625008	61	0	0	0
AHNAK	2.4405E-4	0.42061099	138	0	0	0
ADM	0.0	0.25332123	1	0	0	0
SPRY2	5.439E-4	0.39139684	143	0	0	0
FOXO3	3.559E-5	0.40888997	93	1	1	0
FN1	0.00441211	0.45510642	759	0	0	0
KLF6	2.986E-5	0.36397235	26	1	0	0
PCDH7	6.833E-5	0.36972749	41	0	0	0
MARCKS	5.085E-5	0.39209349	49	0	0	0
BHLHE40	2.019E-4	0.38723257	62	0	0	0
CYR61	8.1E-7	0.34523859	11	0	0	0
MYC	0.0168717	0.49122704	2062	0	1	0
NFIB	2.77E-6	0.37269874	16	0	0	0
IGF2BP3	1.4198E-4	0.4218191	136	0	0	0
ZNFX1	3.086E-5	0.37037365	28	0	0	0
THBS1	1.2574E-4	0.38588485	47	0	0	0
CCND1	3.5524E-4	0.42033643	247	0	1	0
BCL11A	2.118E-5	0.36612141	50	0	1	0
MNT	6.09E-6	0.36699621	25	0	0	0
ARID1A	6.289E-5	0.41371982	105	1	0	0
VIM	0.00119314	0.44206802	352	0	0	1
UBC	0.0170594	0.47886277	1429	0	0	0
CHD2	3.333E-5	0.3917907	29	1	0	0
HNRNPA1	0.00187546	0.45619772	633	0	0	0
HOXB2	0.0	0.30269938	1	0	0	0
SIN3A	6.2331E-4	0.42048423	289	0	0	0
LDB1	8.33E-5	0.36708472	52	0	0	0
ITGB1	4.4942E-4	0.41763121	155	0	0	0
CDK6	5.4247E-4	0.41208034	181	0	1	0
QKI	1.5247E-4	0.39911319	103	1	1	0
GNB2L1	6.8331E-4	0.43185101	325	0	0	0
RTN4	4.5432E-4	0.40553241	142	0	0	0
TBX2	2.6E-7	0.31923576	8	0	0	0
OSR2	2.9E-7	0.34424477	4	0	0	0
C5ORF39	0	0	0	0	0	0
GATA6	3.88E-6	0.3677136	12	0	0	0
INHBA	1.2116E-4	0.30774038	16	0	0	0
GSK3B	0.00293835	0.44905185	591	0	0	0
HDGF	1.9391E-4	0.40369406	227	0	0	0
HMGA2	1.356E-5	0.37396413	45	0	1	0
SRSF3	2.2514E-4	0.42982208	184	0	1	0
EXT1	1.873E-5	0.3401601	27	1	0	0
UBE2D3	6.7188E-4	0.41805878	298	0	0	0
SETD1B	4.92E-6	0.36403566	34	1	0	0
COL1A2	2.62E-5	0.35684294	29	0	0	0
ARRDC3	1.2165E-4	0.35665289	55	0	0	0
TNFRSF1A	7.1539E-4	0.40563066	209	0	0	0
TFAP2A	7.623E-5	0.39126878	84	0	0	0
HSPA1B	9.363E-5	0.41447776	101	0	0	0
NR4A3	7.75E-6	0.35508706	7	0	1	0
FRMD6	5.238E-5	0.37367199	33	0	0	0
ARHGAP21	8.391E-5	0.38100223	39	0	0	0
ARID1B	2.372E-5	0.39339255	65	1	0	0
ZC3H12A	1.2959E-4	0.36657835	33	0	0	0
TWIST1	5.48E-5	0.37169753	65	0	0	0
SKI	9.22E-5	0.40647761	150	0	1	0
PPP1R15B	8.48E-6	0.34685506	22	0	0	0
MCL1	1.4541E-4	0.39766276	111	0	0	0
TWIST2	1.13E-6	0.31978454	13	0	0	0
NFE2L1	1.035E-5	0.355185	30	0	0	0
DUSP1	1.138E-5	0.34620952	51	0	0	0
DUSP5	1.182E-5	0.35629615	47	0	0	0
EEF1A1	0.00162648	0.45408191	498	0	0	0
RAP2B	3.52E-6	0.35001673	17	0	0	0
SOX4	3.4728E-4	0.37928457	52	0	0	0
ZYX	2.3923E-4	0.40024863	121	0	0	0
SATB2	4.362E-5	0.37214368	49	0	0	0
IRF2BPL	7.66E-6	0.3759797	24	0	0	0
DCBLD2	5.293E-5	0.36202833	16	0	0	0
CPEB2	7.719E-5	0.36305677	27	0	0	0
PTMA	6.191E-5	0.3990466	103	0	0	0
ANP32A	4.51E-5	0.39420768	70	0	0	0
KLF9	2.5E-7	0.34353134	7	0	0	0
ARID5B	1.496E-5	0.3935405	26	0	0	0
TCF7L2	1.3462E-4	0.39961809	155	0	1	0
