Gene	GeneID	Gene_type	DORGE-OG_score	Drug_Name	Cell_Line	Time	Dose	p-value	q-value	Fold_Change	Specificity
PRKCB	5579	Novel DORGE-OG	0.926006685491888	trichostatinA	HL60	6h	0.1μM	1.58952E-13	1.36569E-12	-0.909412	3.424657534246575E-4
PRKCB	5579	Novel DORGE-OG	0.926006685491888	tretinoin	HL60	6h	1.0μM	2.5447E-5	4.40928E-4	-1.55082	8.237232289950577E-4
PRKCB	5579	Novel DORGE-OG	0.926006685491888	alvespimycin	MCF7	6h	0.1μM	0.00272695	0.0131242	-0.371526	6.574621959237344E-4
PRKCB	5579	Novel DORGE-OG	0.926006685491888	trichostatinA	HL60	6h	1.0μM	0.00360691	0.0101478	-1.05805	3.90777647518562E-4
PRKCB	5579	Novel DORGE-OG	0.926006685491888	tanespimycin	PC3	6h	1.0μM	0.00483099	0.0312131	-0.317321	9.9601593625498E-4
PRKCB	5579	Novel DORGE-OG	0.926006685491888	trichostatinA	PC3	6h	1.0μM	0.00544514	0.0116377	-0.257268	3.663003663003663E-4
PRKCB	5579	Novel DORGE-OG	0.926006685491888	tanespimycin	MCF7	6h	1.0μM	0.00550192	0.0137808	-0.164966	5.461496450027307E-4
PRKCB	5579	Novel DORGE-OG	0.926006685491888	bromopride	MCF7	6h	11.6μM	0.0075905	0.797057	-0.531914	0.0
TGIF1	7050	Novel DORGE-OG	0.917169494222286	LY-294002	MCF7	6h	10.0μM	8.80125E-17	1.78043E-15	-0.561946	4.627487274409995E-4
TGIF1	7050	Novel DORGE-OG	0.917169494222286	LY-294002	PC3	6h	10.0μM	1.42982E-9	1.04026E-7	-0.99398	0.001324503311258278
TGIF1	7050	Novel DORGE-OG	0.917169494222286	thioridazine	MCF7	6h	10.0μM	5.72901E-9	1.55621E-7	-0.658207	0.00104602510460251
TGIF1	7050	Novel DORGE-OG	0.917169494222286	cephaeline	MCF7	6h	6.0μM	4.19091E-8	2.4513E-7	-1.07439	3.554923569143263E-4
TGIF1	7050	Novel DORGE-OG	0.917169494222286	tretinoin	MCF7	6h	1.0μM	1.91461E-7	3.98322E-6	-0.460451	0.001196172248803828
TGIF1	7050	Novel DORGE-OG	0.917169494222286	sirolimus	MCF7	6h	0.1μM	1.24125E-6	1.22754E-5	-0.345471	7.855459544383347E-4
TGIF1	7050	Novel DORGE-OG	0.917169494222286	phenoxybenzamine	MCF7	6h	11.8μM	1.54268E-6	1.74478E-5	-1.00843	6.389776357827476E-4
TGIF1	7050	Novel DORGE-OG	0.917169494222286	wortmannin	MCF7	6h	0.01μM	4.27037E-6	9.17576E-5	-0.470952	0.001040582726326743
TGIF1	7050	Novel DORGE-OG	0.917169494222286	gossypol	MCF7	6h	7.8μM	1.30637E-5	4.4773E-4	-1.32432	0.0017825311942959
TGIF1	7050	Novel DORGE-OG	0.917169494222286	loperamide	MCF7	6h	7.8μM	1.33432E-5	0.00107794	-0.766339	0.002469135802469136
TGIF1	7050	Novel DORGE-OG	0.917169494222286	15-deltaprostaglandinJ2	MCF7	6h	10.0μM	2.12804E-5	1.76264E-4	-0.401632	7.874015748031496E-4
TGIF1	7050	Novel DORGE-OG	0.917169494222286	fluphenazine	MCF7	6h	10.0μM	2.9781E-5	7.3513E-4	-0.381075	0.002049180327868853
TGIF1	7050	Novel DORGE-OG	0.917169494222286	thioridazine	HL60	6h	10.0μM	3.46796E-5	8.3489E-4	-0.679877	0.001626016260162602
TGIF1	7050	Novel DORGE-OG	0.917169494222286	thioridazine	PC3	6h	10.0μM	3.85606E-5	0.00141933	-0.979405	0.001677852348993289
TGIF1	7050	Novel DORGE-OG	0.917169494222286	trifluoperazine	MCF7	6h	10.0μM	8.57874E-5	0.00123958	-0.446455	0.001683501683501683
TGIF1	7050	Novel DORGE-OG	0.917169494222286	sirolimus	PC3	6h	0.1μM	1.26381E-4	0.00273921	-0.694655	0.004219409282700422
TGIF1	7050	Novel DORGE-OG	0.917169494222286	prochlorperazine	MCF7	6h	10.0μM	3.20901E-4	0.00425621	-0.349076	0.0015600624024961
TGIF1	7050	Novel DORGE-OG	0.917169494222286	methylbenzethoniumchloride	MCF7	6h	8.6μM	4.40929E-4	0.0129683	-0.821914	0.003731343283582089
TGIF1	7050	Novel DORGE-OG	0.917169494222286	PF-00562151-00	MCF7	6h	10.0μM	6.52249E-4	0.0943562	-0.723957	0.02631578947368421
TGIF1	7050	Novel DORGE-OG	0.917169494222286	chlorcyclizine	MCF7	6h	11.8μM	0.00113376	0.100037	-0.741177	0.01612903225806452
TGIF1	7050	Novel DORGE-OG	0.917169494222286	clofazimine	MCF7	6h	8.4μM	0.00207256	0.0678545	-0.494197	0.006289308176100629
TGIF1	7050	Novel DORGE-OG	0.917169494222286	aciclovir	MCF7	6h	17.8μM	0.0024896	0.442567	-0.462524	0.0
TGIF1	7050	Novel DORGE-OG	0.917169494222286	prochlorperazine	HL60	6h	10.0μM	0.00350797	0.0865927	-0.400659	0.004761904761904762
TGIF1	7050	Novel DORGE-OG	0.917169494222286	rottlerin	MCF7	6h	10.0μM	0.0065435	0.0652829	-0.604847	0.008849557522123894
TGIF1	7050	Novel DORGE-OG	0.917169494222286	AG-013608	PC3	6h	10.0μM	0.00678614	0.16818	-0.453611	0.03448275862068965
TGIF1	7050	Novel DORGE-OG	0.917169494222286	lycorine	MCF7	6h	12.4μM	0.00830339	0.039041	-0.578263	8.230452674897119E-4
BTG2	7832	Novel DORGE-OG	0.739314167470498	tretinoin	MCF7	6h	1.0μM	4.86593E-34	1.16224E-30	-1.62046	0.001196172248803828
BTG2	7832	Novel DORGE-OG	0.739314167470498	tanespimycin	MCF7	6h	1.0μM	1.50054E-24	3.66763E-23	-0.568854	5.461496450027307E-4
BTG2	7832	Novel DORGE-OG	0.739314167470498	fulvestrant	MCF7	6h	1.0μM	5.44039E-19	8.56758E-17	-0.747118	7.178750897343862E-4
BTG2	7832	Novel DORGE-OG	0.739314167470498	LY-294002	MCF7	6h	10.0μM	1.44077E-18	3.83005E-17	-0.525842	4.627487274409995E-4
BTG2	7832	Novel DORGE-OG	0.739314167470498	phenoxybenzamine	MCF7	6h	11.8μM	1.24048E-15	3.14956E-13	-1.92874	6.389776357827476E-4
BTG2	7832	Novel DORGE-OG	0.739314167470498	trichostatinA	PC3	6h	0.1μM	3.80559E-14	1.13811E-13	-0.433043	2.745744096650192E-4
BTG2	7832	Novel DORGE-OG	0.739314167470498	fulvestrant	MCF7	6h	0.01μM	6.05683E-12	8.86506E-10	-0.666694	0.002358490566037736
BTG2	7832	Novel DORGE-OG	0.739314167470498	geldanamycin	MCF7	6h	1.0μM	5.51567E-10	7.84233E-9	-0.526509	7.468259895444362E-4
BTG2	7832	Novel DORGE-OG	0.739314167470498	methotrexate	MCF7	6h	8.8μM	3.94667E-9	4.95964E-7	-1.17122	0.001213592233009709
BTG2	7832	Novel DORGE-OG	0.739314167470498	tretinoin	HL60	6h	1.0μM	1.67182E-8	1.31978E-6	-1.0892	8.237232289950577E-4
BTG2	7832	Novel DORGE-OG	0.739314167470498	alvespimycin	MCF7	6h	0.1μM	8.67445E-8	1.49679E-6	-0.473061	6.574621959237344E-4
BTG2	7832	Novel DORGE-OG	0.739314167470498	wortmannin	MCF7	6h	0.01μM	6.29991E-6	1.25806E-4	-0.371712	0.001040582726326743
BTG2	7832	Novel DORGE-OG	0.739314167470498	thioridazine	HL60	6h	10.0μM	8.69086E-6	2.97859E-4	-0.818601	0.001626016260162602
BTG2	7832	Novel DORGE-OG	0.739314167470498	thioridazine	MCF7	6h	10.0μM	9.02322E-6	1.00052E-4	-0.375005	0.00104602510460251
BTG2	7832	Novel DORGE-OG	0.739314167470498	LY-294002	HL60	6h	10.0μM	9.3907E-6	1.44056E-4	-0.520014	7.627765064836003E-4
BTG2	7832	Novel DORGE-OG	0.739314167470498	trichostatinA	MCF7	6h	0.1μM	9.83535E-6	1.75984E-5	-0.151567	2.495632642874969E-4
BTG2	7832	Novel DORGE-OG	0.739314167470498	lanatosideC	MCF7	6h	4.0μM	1.91936E-5	9.91233E-5	-0.792516	6.071645415907711E-4
BTG2	7832	Novel DORGE-OG	0.739314167470498	sirolimus	MCF7	6h	0.1μM	4.51224E-5	3.01002E-4	-0.237467	7.855459544383347E-4
BTG2	7832	Novel DORGE-OG	0.739314167470498	cloperastine	MCF7	6h	11.0μM	1.5894E-4	0.0133606	-0.636361	0.005780346820809248
BTG2	7832	Novel DORGE-OG	0.739314167470498	Prestwick-674	MCF7	6h	14.4μM	2.41956E-4	0.177069	-0.50182	0.1111111111111111
BTG2	7832	Novel DORGE-OG	0.739314167470498	helveticoside	MCF7	6h	7.4μM	2.66531E-4	0.00114976	-0.643434	5.701254275940707E-4
BTG2	7832	Novel DORGE-OG	0.739314167470498	meclozine	MCF7	6h	8.6μM	5.52866E-4	0.0429888	-0.358666	0.00980392156862745
BTG2	7832	Novel DORGE-OG	0.739314167470498	fluphenazine	MCF7	6h	10.0μM	9.09044E-4	0.0103608	-0.256518	0.002049180327868853
