Gene	Compound	Cellline	Qvalue	Fold_change	Gene_type
PRKCB	trichostatinA	HL60	1.36569E-12	-0.909412	Novel DORGE-OG
PRKCB	tretinoin	HL60	4.40928E-4	-1.55082	Novel DORGE-OG
PRKCB	alvespimycin	MCF7	0.0131242	-0.371526	Novel DORGE-OG
PRKCB	tanespimycin	PC3	0.0312131	-0.317321	Novel DORGE-OG
TGIF1	LY-294002	MCF7	1.78043E-15	-0.561946	Novel DORGE-OG
TGIF1	thioridazine	MCF7	1.55621E-7	-0.658207	Novel DORGE-OG
TGIF1	cephaeline	MCF7	2.4513E-7	-1.07439	Novel DORGE-OG
TGIF1	tretinoin	MCF7	3.98322E-6	-0.460451	Novel DORGE-OG
TGIF1	sirolimus	MCF7	1.22754E-5	-0.345471	Novel DORGE-OG
TGIF1	phenoxybenzamine	MCF7	1.74478E-5	-1.00843	Novel DORGE-OG
TGIF1	wortmannin	MCF7	9.17576E-5	-0.470952	Novel DORGE-OG
TGIF1	gossypol	MCF7	4.4773E-4	-1.32432	Novel DORGE-OG
TGIF1	loperamide	MCF7	0.00107794	-0.766339	Novel DORGE-OG
TGIF1	15-deltaprostaglandinJ2	MCF7	1.76264E-4	-0.401632	Novel DORGE-OG
TGIF1	fluphenazine	MCF7	7.3513E-4	-0.381075	Novel DORGE-OG
TGIF1	trifluoperazine	MCF7	0.00123958	-0.446455	Novel DORGE-OG
TGIF1	prochlorperazine	MCF7	0.00425621	-0.349076	Novel DORGE-OG
TGIF1	methylbenzethoniumchloride	MCF7	0.0129683	-0.821914	Novel DORGE-OG
TGIF1	lycorine	MCF7	0.039041	-0.578263	Novel DORGE-OG
BTG2	tretinoin	MCF7	1.16224E-30	-1.62046	Novel DORGE-OG
BTG2	tanespimycin	MCF7	3.66763E-23	-0.568854	Novel DORGE-OG
BTG2	fulvestrant	MCF7	8.56758E-17	-0.747118	Novel DORGE-OG
BTG2	LY-294002	MCF7	3.83005E-17	-0.525842	Novel DORGE-OG
BTG2	phenoxybenzamine	MCF7	3.14956E-13	-1.92874	Novel DORGE-OG
BTG2	trichostatinA	PC3	1.13811E-13	-0.433043	Novel DORGE-OG
BTG2	geldanamycin	MCF7	7.84233E-9	-0.526509	Novel DORGE-OG
BTG2	methotrexate	MCF7	4.95964E-7	-1.17122	Novel DORGE-OG
BTG2	alvespimycin	MCF7	1.49679E-6	-0.473061	Novel DORGE-OG
BTG2	wortmannin	MCF7	1.25806E-4	-0.371712	Novel DORGE-OG
BTG2	thioridazine	HL60	2.97859E-4	-0.818601	Novel DORGE-OG
BTG2	lanatosideC	MCF7	9.91233E-5	-0.792516	Novel DORGE-OG
BTG2	sirolimus	MCF7	3.01002E-4	-0.237467	Novel DORGE-OG
BTG2	cloperastine	MCF7	0.0133606	-0.636361	Novel DORGE-OG
BTG2	helveticoside	MCF7	0.00114976	-0.643434	Novel DORGE-OG
BTG2	meclozine	MCF7	0.0429888	-0.358666	Novel DORGE-OG
BTG2	fluphenazine	MCF7	0.0103608	-0.256518	Novel DORGE-OG
BTG2	loperamide	MCF7	0.0311093	-0.3995	Novel DORGE-OG
BTG2	prochlorperazine	MCF7	0.0260653	-0.263422	Novel DORGE-OG
LMNA	trichostatinA	PC3	0.0	-0.794883	Novel DORGE-OG
LMNA	thioridazine	HL60	3.0894E-4	-0.610187	Novel DORGE-OG
LMNA	prochlorperazine	HL60	0.0189395	-0.486083	Novel DORGE-OG
LMNA	LY-294002	HL60	0.00312061	-0.278338	Novel DORGE-OG
LMNA	fluphenazine	MCF7	0.00617421	-0.237102	Novel DORGE-OG
LMNA	fulvestrant	MCF7	0.00393607	-0.174958	Novel DORGE-OG
LMNA	lanatosideC	MCF7	0.0065372	-0.390968	Novel DORGE-OG
LMNA	helveticoside	MCF7	0.0108493	-0.358558	Novel DORGE-OG
LMNA	digoxigenin	MCF7	0.0256954	-0.324795	Novel DORGE-OG
ZFR	tanespimycin	MCF7	5.765E-21	-0.453279	Novel DORGE-OG
ZFR	alvespimycin	MCF7	3.44481E-9	-0.571178	Novel DORGE-OG
ZFR	geldanamycin	MCF7	1.49611E-8	-0.440933	Novel DORGE-OG
ZFR	cephaeline	MCF7	2.26105E-7	-0.775817	Novel DORGE-OG
ZFR	15-deltaprostaglandinJ2	MCF7	4.09873E-6	-0.384609	Novel DORGE-OG
ZFR	lycorine	MCF7	0.00162436	-0.781316	Novel DORGE-OG
ZFR	acacetin	MCF7	0.0479171	-0.70583	Novel DORGE-OG
ZFR	digoxigenin	MCF7	0.0179114	-0.395764	Novel DORGE-OG
SMAD7	digoxigenin	MCF7	7.64313E-11	-2.0382	Novel DORGE-OG
SMAD7	helveticoside	MCF7	2.10055E-10	-1.72952	Novel DORGE-OG
SMAD7	lanatosideC	MCF7	1.41315E-9	-1.5486	Novel DORGE-OG
SMAD7	trichostatinA	PC3	9.45486E-6	-0.395855	Novel DORGE-OG
SMAD7	estradiol	MCF7	0.016204	-0.297536	Novel DORGE-OG
SGK1	trichostatinA	MCF7	0.0	-1.52039	CGC-OG
SGK1	tanespimycin	MCF7	7.56568E-23	-0.778627	CGC-OG
SGK1	alvespimycin	MCF7	9.27557E-14	-1.17653	CGC-OG
SGK1	geldanamycin	MCF7	3.27799E-10	-0.743661	CGC-OG
SGK1	alpha-estradiol	MCF7	2.20354E-7	-0.671441	CGC-OG
SGK1	thioridazine	HL60	6.36053E-7	-2.03035	CGC-OG
SGK1	equilin	MCF7	3.8935E-6	-1.02616	CGC-OG
SGK1	estradiol	MCF7	1.77935E-6	-0.707375	CGC-OG
SGK1	genistein	MCF7	1.65202E-6	-0.592918	CGC-OG
SGK1	butylhydroxybenzoate	MCF7	2.82858E-5	-1.17693	CGC-OG
SGK1	diethylstilbestrol	MCF7	1.47792E-4	-2.12509	CGC-OG
SGK1	lorglumide	MCF7	7.25845E-4	-0.858138	CGC-OG
SGK1	thioperamide	MCF7	0.0112238	-0.732831	CGC-OG
SGK1	prochlorperazine	HL60	0.0030824	-1.22311	CGC-OG
SGK1	testosterone	MCF7	0.0214008	-0.777901	CGC-OG
SGK1	trifluoperazine	HL60	0.0160231	-1.07354	CGC-OG
SGK1	monorden	MCF7	0.0210278	-0.595087	CGC-OG
SGK1	valproicacid	MCF7	0.0183939	-0.314093	CGC-OG
SGK1	phenoxybenzamine	MCF7	0.018605	-0.565766	CGC-OG
HSP90AA1	tanespimycin	MCF7	0.0	-0.772791	Novel DORGE-OG
HSP90AA1	geldanamycin	MCF7	4.64946E-25	-0.766429	Novel DORGE-OG
HSP90AA1	trichostatinA	MCF7	1.60258E-23	-0.238559	Novel DORGE-OG
HSP90AA1	alvespimycin	MCF7	3.53604E-20	-0.83436	Novel DORGE-OG
HSP90AA1	15-deltaprostaglandinJ2	MCF7	1.25413E-13	-0.520322	Novel DORGE-OG
HSP90AA1	monorden	MCF7	6.86109E-7	-0.876688	Novel DORGE-OG
HSP90AA1	phenoxybenzamine	MCF7	2.72235E-7	-0.779228	Novel DORGE-OG
MARK2	helveticoside	MCF7	1.31745E-5	-0.83499	Novel DORGE-OG
MARK2	lanatosideC	MCF7	7.03855E-5	-0.741271	Novel DORGE-OG
MARK2	digoxigenin	MCF7	0.00109701	-0.624031	Novel DORGE-OG
MARK2	cephaeline	MCF7	0.00126788	-0.420649	Novel DORGE-OG
MARK2	lycorine	MCF7	0.0235408	-0.523509	Novel DORGE-OG
SIX2	trichostatinA	MCF7	5.00591E-4	-0.119248	CGC-OG
SIX2	phenoxybenzamine	MCF7	0.0294099	-0.379061	CGC-OG
CELF1	trichostatinA	MCF7	4.0428E-16	-0.222135	Novel DORGE-OG
CELF1	helveticoside	MCF7	1.79849E-7	-0.97853	Novel DORGE-OG
CELF1	digoxigenin	MCF7	1.32593E-6	-0.90734	Novel DORGE-OG
CELF1	lanatosideC	MCF7	8.77121E-7	-0.89808	Novel DORGE-OG
CELF1	LY-294002	MCF7	0.00899175	-0.117229	Novel DORGE-OG
CELF1	lycorine	MCF7	0.0384127	-0.417581	Novel DORGE-OG
YAP1	helveticoside	MCF7	3.34447E-10	-1.94711	Novel DORGE-OG
YAP1	lanatosideC	MCF7	1.04922E-9	-1.795	Novel DORGE-OG
YAP1	digoxigenin	MCF7	1.52163E-8	-1.68413	Novel DORGE-OG
YAP1	lycorine	MCF7	0.00944324	-0.969964	Novel DORGE-OG
YAP1	trichostatinA	HL60	0.00446992	-0.397572	Novel DORGE-OG
BRD2	cephaeline	MCF7	3.32803E-11	-1.69424	Novel DORGE-OG
BRD2	tanespimycin	MCF7	8.00962E-10	-0.28294	Novel DORGE-OG
BRD2	LY-294002	MCF7	6.213E-8	-0.295745	Novel DORGE-OG
BRD2	lanatosideC	MCF7	9.542E-7	-1.10812	Novel DORGE-OG
BRD2	helveticoside	MCF7	2.47566E-6	-0.996899	Novel DORGE-OG
BRD2	thioridazine	MCF7	9.72616E-6	-0.428599	Novel DORGE-OG
BRD2	phenoxybenzamine	MCF7	9.25485E-6	-0.783266	Novel DORGE-OG
BRD2	15-deltaprostaglandinJ2	MCF7	6.20222E-5	-0.326934	Novel DORGE-OG
BRD2	geldanamycin	MCF7	5.36043E-5	-0.31373	Novel DORGE-OG
BRD2	digoxigenin	MCF7	0.00127469	-0.542705	Novel DORGE-OG
BRD2	alvespimycin	MCF7	0.00877608	-0.234422	Novel DORGE-OG
RRAS2	trichostatinA	PC3	0.0	-1.84043	Novel DORGE-OG
RRAS2	digoxigenin	MCF7	9.91782E-9	-1.77364	Novel DORGE-OG
RRAS2	helveticoside	MCF7	2.49851E-7	-1.29887	Novel DORGE-OG
RRAS2	lanatosideC	MCF7	2.42319E-7	-1.35461	Novel DORGE-OG
RRAS2	thioridazine	PC3	0.00369516	-0.797707	Novel DORGE-OG
RRAS2	valproicacid	HL60	0.0167519	-0.942182	Novel DORGE-OG
RRAS2	15-deltaprostaglandinJ2	HL60	0.0203593	-0.838083	Novel DORGE-OG
RRAS2	lycorine	MCF7	0.0229266	-0.604419	Novel DORGE-OG
YLPM1	trichostatinA	HL60	0.00947745	-0.453897	Novel DORGE-OG
GSK3B	lanatosideC	MCF7	7.87262E-8	-1.14981	Novel DORGE-OG
GSK3B	helveticoside	MCF7	1.20664E-7	-1.08256	Novel DORGE-OG
GSK3B	digoxigenin	MCF7	1.55831E-5	-0.847232	Novel DORGE-OG
GSK3B	trichostatinA	MCF7	6.906E-6	-0.177076	Novel DORGE-OG
GSK3B	thioridazine	HL60	6.13624E-4	-0.83187	Novel DORGE-OG
GSK3B	LY-294002	HL60	4.33564E-4	-0.466273	Novel DORGE-OG
GSK3B	tanespimycin	HL60	0.0029784	-0.335507	Novel DORGE-OG
GSK3B	prochlorperazine	HL60	0.0351198	-0.542164	Novel DORGE-OG
GSK3B	15-deltaprostaglandinJ2	HL60	0.00731804	-0.541985	Novel DORGE-OG
GSK3B	tretinoin	HL60	0.0339643	-0.418981	Novel DORGE-OG
IL7R	tanespimycin	PC3	1.76092E-9	-1.02615	CGC-OG
IL7R	15-deltaprostaglandinJ2	HL60	1.31875E-4	-1.07942	CGC-OG
IL7R	geldanamycin	HL60	3.31487E-4	-0.970496	CGC-OG
IL7R	trichostatinA	HL60	0.00596158	-0.218208	CGC-OG
IL7R	helveticoside	MCF7	0.0227073	-0.788579	CGC-OG
USP8	trichostatinA	MCF7	0.0	-0.836906	CGC-OG
USP8	cephaeline	MCF7	5.6636E-7	-1.14142	CGC-OG
USP8	15-deltaprostaglandinJ2	MCF7	0.00212585	-0.521342	CGC-OG
USP8	LY-294002	MCF7	0.00147871	-0.310554	CGC-OG
USP8	tanespimycin	MCF7	0.00354536	-0.252576	CGC-OG
USP8	monastrol	MCF7	0.0431247	-0.491902	CGC-OG
USP8	lanatosideC	MCF7	0.00488173	-0.791433	CGC-OG
USP8	gossypol	MCF7	0.022758	-0.788266	CGC-OG
USP8	wortmannin	MCF7	0.0294403	-0.387699	CGC-OG
USP8	alvespimycin	MCF7	0.0221361	-0.444827	CGC-OG
USP8	tretinoin	HL60	0.0386389	-0.464458	CGC-OG
USP8	lycorine	MCF7	0.0429591	-0.645686	CGC-OG
CACNA1D	tretinoin	MCF7	1.68924E-7	-0.425064	CGC-OG
