Gene	Compound	Cellline	Qvalue	Fold_change	Gene_type
COPS3	trichostatinA	PC3	0.0	0.998269	Novel DORGE-TSG
COPS3	LY-294002	MCF7	1.8622E-17	0.541587	Novel DORGE-TSG
COPS3	sirolimus	MCF7	2.13865E-10	0.392722	Novel DORGE-TSG
COPS3	wortmannin	MCF7	1.14733E-6	0.386955	Novel DORGE-TSG
COPS3	trifluoperazine	MCF7	4.17242E-6	0.404748	Novel DORGE-TSG
COPS3	prochlorperazine	MCF7	0.0095946	0.233161	Novel DORGE-TSG
COPS3	acacetin	MCF7	0.0467343	0.3909	Novel DORGE-TSG
COPS3	tretinoin	MCF7	0.00860736	0.197249	Novel DORGE-TSG
COPS3	valproicacid	MCF7	0.0255354	0.218557	Novel DORGE-TSG
COPS3	thioridazine	MCF7	0.0166774	0.168067	Novel DORGE-TSG
ARL8B	tretinoin	MCF7	8.65663E-5	0.271677	Novel DORGE-TSG
ARL8B	methotrexate	MCF7	8.29841E-4	0.598538	Novel DORGE-TSG
ARHGEF10	tanespimycin	MCF7	1.02851E-9	0.301193	CGC-TSG
ARHGEF10	geldanamycin	MCF7	4.26017E-5	0.35214	CGC-TSG
ARHGEF10	lanatosideC	MCF7	5.47913E-4	0.499859	CGC-TSG
ARHGEF10	LY-294002	MCF7	0.0012559	0.162764	CGC-TSG
ARHGEF10	helveticoside	MCF7	0.00336955	0.417532	CGC-TSG
ARHGEF10	15-deltaprostaglandinJ2	MCF7	0.0096728	0.243815	CGC-TSG
ARHGEF10	alvespimycin	MCF7	0.0128723	0.257414	CGC-TSG
KAT8	trichostatinA	MCF7	0.0	1.00703	Novel DORGE-TSG
KAT8	valproicacid	MCF7	0.0138833	0.257394	Novel DORGE-TSG
MYOF	trichostatinA	MCF7	0.0	1.01356	Novel DORGE-TSG
MYOF	fulvestrant	MCF7	8.21273E-14	0.606192	Novel DORGE-TSG
MYOF	15-deltaprostaglandinJ2	MCF7	4.38462E-4	0.268899	Novel DORGE-TSG
MYOF	troglitazone	PC3	0.00539068	0.584201	Novel DORGE-TSG
MYOF	lanatosideC	MCF7	5.91339E-4	0.541021	Novel DORGE-TSG
MYOF	rosiglitazone	PC3	0.0233451	0.594953	Novel DORGE-TSG
MYOF	valproicacid	MCF7	0.0123056	0.263437	Novel DORGE-TSG
MYOF	phenoxybenzamine	MCF7	0.0119049	0.346577	Novel DORGE-TSG
