Gene	Compound	Cellline	Qvalue	Fold_change	Gene_type
COPS3	Doxorubicin	NA	2.65546E-39	0.241958	Novel DORGE-TSG
COPS3	Estradiol	NA	8.7001E-6	0.599091	Novel DORGE-TSG
COPS3	Nickel	NA	4.77281E-6	0.789262	Novel DORGE-TSG
COPS3	Mercury	NA	1.16707E-5	1.10818	Novel DORGE-TSG
COPS3	Cycloheximide	NA	4.07002E-6	0.52586	Novel DORGE-TSG
COPS3	Dmnq(2,3-dimethoxy-1,4-naphthoquinone)	NA	8.86986E-6	0.890767	Novel DORGE-TSG
COPS3	Puromycin,ec50,1d	NA	5.55727E-6	0.306257	Novel DORGE-TSG
COPS3	Chromium	NA	9.66456E-5	1.01664	Novel DORGE-TSG
COPS3	Arachidonicacid	NA	0.00139193	1.70458	Novel DORGE-TSG
COPS3	Chlorpyrifos	NA	4.57822E-4	0.0992074	Novel DORGE-TSG
COPS3	Antimony	NA	9.97077E-5	0.0484015	Novel DORGE-TSG
COPS3	Nitricoxide	NA	3.33602E-4	0.251732	Novel DORGE-TSG
COPS3	Puromycin,ec50,5d	NA	6.2425E-4	0.237242	Novel DORGE-TSG
COPS3	Naturalalphainterferon	NA	8.81444E-4	0.0184031	Novel DORGE-TSG
COPS3	Vanadiumpentoxide	NA	0.00321277	0.284051	Novel DORGE-TSG
COPS3	Bisphenola	NA	0.00149092	0.497126	Novel DORGE-TSG
COPS3	Vx	NA	0.00955763	0.226192	Novel DORGE-TSG
COPS3	Carboplatin	NA	0.0095955	0.233216	Novel DORGE-TSG
COPS3	Sirolimus	NA	0.0288554	0.389157	Novel DORGE-TSG
COPS3	Etanercept	NA	0.0129365	0.632466	Novel DORGE-TSG
COPS3	Bortezomib	NA	0.0183646	0.409897	Novel DORGE-TSG
COPS3	R1881	NA	0.00841061	0.26643	Novel DORGE-TSG
COPS3	Trovafloxacin	NA	0.00785172	1.12172	Novel DORGE-TSG
COPS3	Mesalazine	NA	0.0383018	0.50807	Novel DORGE-TSG
COPS3	Lipopolysaccharide	NA	0.0257711	0.49	Novel DORGE-TSG
COPS3	Insulin	NA	0.0312677	0.237895	Novel DORGE-TSG
COPS3	Celecoxib	NA	0.0250567	0.165836	Novel DORGE-TSG
COPS3	Neocarzinostatin	NA	0.0237255	0.302406	Novel DORGE-TSG
COPS3	Clinafloxacin	NA	0.0399233	0.278364	Novel DORGE-TSG
COPS3	Cadmium	NA	0.0220199	0.257368	Novel DORGE-TSG
ARL8B	Doxorubicin	NA	1.46004E-9	0.050373	Novel DORGE-TSG
ARL8B	Lmp-420	NA	2.57431E-6	0.109733	Novel DORGE-TSG
ARL8B	Aplidin	NA	1.84618E-5	0.337005	Novel DORGE-TSG
ARL8B	Imatinib	NA	3.84638E-5	0.783072	Novel DORGE-TSG
ARL8B	Bisphenola	NA	2.38261E-5	0.616145	Novel DORGE-TSG
ARL8B	Cycloheximide	NA	2.72121E-5	0.421382	Novel DORGE-TSG
ARL8B	Promegestone	NA	8.70721E-5	0.348284	Novel DORGE-TSG
ARL8B	Thapsigargin	NA	5.96788E-5	0.234643	Novel DORGE-TSG
ARL8B	Nitricoxide	NA	5.72294E-5	0.103532	Novel DORGE-TSG
ARL8B	Cytarabine	NA	2.06738E-4	0.480445	Novel DORGE-TSG
ARL8B	R1881	NA	6.97621E-4	0.555983	Novel DORGE-TSG
ARL8B	Celecoxib	NA	0.00229521	0.305707	Novel DORGE-TSG
ARL8B	Vanadiumpentoxide	NA	3.54215E-4	0.438519	Novel DORGE-TSG
ARL8B	Chlorpyrifos	NA	9.82789E-4	0.547136	Novel DORGE-TSG
ARL8B	Cisplatin	NA	8.51671E-4	0.21026	Novel DORGE-TSG
ARL8B	Lipopolysaccharide	NA	0.00416503	0.560226	Novel DORGE-TSG
ARL8B	Dasatinib	NA	7.27512E-4	0.261472	Novel DORGE-TSG
