Gene	Degree
NR2F2	36
TNRC18	25
MEIS1	78
ZEB2	119
BCL6	105
IRF2BP2	202
ZNF503	11
WNT5A	43
KDM6B	144
IRS1	37
BRD2	202
NR2F1	70
PLEC	238
RGMB	112
MLL5	0
MEIS2	17
ZFP36L2	164
ZFP36L1	126
BTG1	58
TGIF1	92
ACTG1	37
FOSL2	139
TSC22D2	63
NR3C1	120
PTCH1	56
LMNA	270
TBX3	90
BAHCC1	240
HIF1A	118
ANXA2	242
FLRT2	16
LMO4	26
PTEN	57
SLC38A2	69
SMAD7	87
SSSCA1	37
ARHGEF2	56
HS3ST3B1	40
PDGFRA	48
ZNF608	131
ID2	159
IRX5	34
DUSP6	86
ARID2	312
NRP1	201
TRIM8	130
AHNAK	232
ADM	103
SPRY2	60
FOXO3	65
FN1	96
KLF6	97
PCDH7	32
MARCKS	91
BHLHE40	87
CYR61	190
MYC	163
NFIB	82
IGF2BP3	59
ZNFX1	143
THBS1	151
CCND1	87
BCL11A	217
MNT	28
ARID1A	312
VIM	143
UBC	54
CHD2	33
HNRNPA1	214
HOXB2	26
SIN3A	122
LDB1	101
ITGB1	242
CDK6	29
QKI	71
GNB2L1	86
RTN4	98
TBX2	39
OSR2	21
C5ORF39	0
GATA6	42
INHBA	24
GSK3B	78
HDGF	25
HMGA2	52
SRSF3	207
EXT1	177
UBE2D3	66
SETD1B	198
COL1A2	91
ARRDC3	36
TNFRSF1A	275
TFAP2A	29
HSPA1B	59
NR4A3	38
FRMD6	204
ARHGAP21	73
ARID1B	150
ZC3H12A	51
TWIST1	33
SKI	76
PPP1R15B	54
MCL1	80
TWIST2	94
NFE2L1	63
DUSP1	98
DUSP5	123
EEF1A1	94
RAP2B	52
SOX4	277
ZYX	118
SATB2	57
IRF2BPL	46
DCBLD2	127
CPEB2	103
PTMA	136
ANP32A	179
KLF9	36
ARID5B	50
TCF7L2	63
ING1	79
ZBTB7B	77
COL1A1	102
IGF2BP2	202
BBC3	66
PLK2	147
MT-CYB	12
ALKBH5	58
IRS2	72
ZFHX4	39
PHLDA1	224
SPRY4	78
TSC22D1	45
RBMS3	60
SPN	172
CITED2	59
WNK1	37
DDX3X	19
BCOR	300
CTDSP1	71
RND3	189
JUN	69
MAT2B	77
TRIB2	43
MTCO1P12	0
BMI1	21
SPRED1	113
CDK13	208
WEE1	126
HEXIM1	48
CDH11	38
ADAMTS1	68
CCDC80	107
FZD7	37
FOXC1	46
BAZ2A	80
ARHGEF17	90
KLF7	22
PKM2	0
MSL2	306
TGFB2	63
KLF16	128
CRIM1	184
JAG1	24
HNRNPH1	249
FAT1	66
BCL2L1	176
DLX2	132
JARID2	188
C10ORF140	0
LASP1	147
NIPBL	91
ALCAM	60
AKIRIN2	85
ZNF703	38
YWHAZ	19
TBX5	45
ZNF462	16
SAMD4A	156
CDC42EP3	170
SPRED2	43
TLE3	108
BMPR2	21
IGF1R	58
MLLT6	76
TOB2	47
ZFAND5	25
ZSWIM6	30
PAWR	96
ZMIZ1	73
HSPA8	29
FOXP1	41
HNRNPD	238
NRP2	115
TLE4	37
SMAD6	24
TRA2B	211
OSR1	68
VEGFA	28
PBX1	64
JUNB	84
STIM2	83
C6ORF62	51
DUSP4	143
LZTS2	38
CCNL1	19
FDFT1	90
C3ORF58	54
C17ORF59	26
PURB	58
ACTB	48
LRP1	148
EFNA5	15
NAB2	41
KLF3	89
SOS1	73
CDKN1B	110
MICA	67
APOLD1	23
NNMT	185
NUDT4	43
HIVEP1	63
ARF6	59
NFIA	37
VCPIP1	38
PCDH10	14
MAT2A	36
SPARC	103
PTGER4	49
SIX1	81
SMARCA2	23
BCL2L11	61
CAV1	138
LAMC1	151
MLL2	0
NRIP1	46
MAMLD1	48
CSDA	0
SPRY1	57
TENC1	124
ID3	42
KDM5B	134
DR1	39
DHRS3	56
PCF11	86
CNN3	76
TRIO	103
CFLAR	109
BMP4	51
ZC3H4	216
CXXC5	47
GLS	96
SEPT11	33
PTPRG	50
FUBP1	186
MIDN	23
SOX9	32
CD44	138
UGCG	75
NFE2L2	49
ZBTB7A	72
ATP2A2	18
FOXC2	6
PCDH18	57
ZCCHC2	112
MID1IP1	49
UBTF	263
MLLT3	47
KIAA1539	0
SNX33	156
FST	10
HOXB4	15
RPL3	161
RNASE4	16
SALL1	10
ATXN1	102
BCL3	65
MAML3	155
SNX18	37
CAMK2D	84
ACTN1	205
SLC2A1	84
KLF10	35
EIF4A2	23
KIAA1949	0
KLF12	140
TCF4	222
EFNB2	27
USP9X	27
FZD8	16
ARHGEF12	45
ST3GAL1	65
ATP1A1	58
GAPDH	116
HNRNPU	260
HSPA5	79
VCAN	30
FOXF1	17
GABPB1	113
ETV1	32
ARF4	198
PNRC1	27
CDC42BPA	64
FTH1	171
TXNIP	38
ERRFI1	156
TIPARP	36
PRRX1	52
FEM1B	51
TEAD1	46
CPEB4	130
