Gene	Gene ID	Gene type	Drug Name	Cell_Line	Time	Dose	P-value	Q-value	Log2(fold Change)
PRKCB	5579	Novel DORGE-OG	trichostatinA	HL60	6h	0.1μM	1.58952e-13	1.36569e-12	-0.909412
PRKCB	5579	Novel DORGE-OG	tretinoin	HL60	6h	1.0μM	2.5447e-05	0.000440928	-1.55082
PRKCB	5579	Novel DORGE-OG	alvespimycin	MCF7	6h	0.1μM	0.00272695	0.0131242	-0.371526
PRKCB	5579	Novel DORGE-OG	trichostatinA	HL60	6h	1.0μM	0.00360691	0.0101478	-1.05805
PRKCB	5579	Novel DORGE-OG	tanespimycin	PC3	6h	1.0μM	0.00483099	0.0312131	-0.317321
PRKCB	5579	Novel DORGE-OG	trichostatinA	PC3	6h	1.0μM	0.00544514	0.0116377	-0.257268
PRKCB	5579	Novel DORGE-OG	tanespimycin	MCF7	6h	1.0μM	0.00550192	0.0137808	-0.164966
PRKCB	5579	Novel DORGE-OG	bromopride	MCF7	6h	11.6μM	0.0075905	0.797057	-0.531914
TGIF1	7050	Novel DORGE-OG	LY-294002	MCF7	6h	10.0μM	8.80125e-17	1.78043e-15	-0.561946
TGIF1	7050	Novel DORGE-OG	LY-294002	PC3	6h	10.0μM	1.42982e-09	1.04026e-07	-0.99398
TGIF1	7050	Novel DORGE-OG	thioridazine	MCF7	6h	10.0μM	5.72901e-09	1.55621e-07	-0.658207
TGIF1	7050	Novel DORGE-OG	cephaeline	MCF7	6h	6.0μM	4.19091e-08	2.4513e-07	-1.07439
TGIF1	7050	Novel DORGE-OG	tretinoin	MCF7	6h	1.0μM	1.91461e-07	3.98322e-06	-0.460451
TGIF1	7050	Novel DORGE-OG	sirolimus	MCF7	6h	0.1μM	1.24125e-06	1.22754e-05	-0.345471
TGIF1	7050	Novel DORGE-OG	phenoxybenzamine	MCF7	6h	11.8μM	1.54268e-06	1.74478e-05	-1.00843
TGIF1	7050	Novel DORGE-OG	wortmannin	MCF7	6h	0.01μM	4.27037e-06	9.17576e-05	-0.470952
TGIF1	7050	Novel DORGE-OG	gossypol	MCF7	6h	7.8μM	1.30637e-05	0.00044773	-1.32432
TGIF1	7050	Novel DORGE-OG	loperamide	MCF7	6h	7.8μM	1.33432e-05	0.00107794	-0.766339
TGIF1	7050	Novel DORGE-OG	15-deltaprostaglandinJ2	MCF7	6h	10.0μM	2.12804e-05	0.000176264	-0.401632
TGIF1	7050	Novel DORGE-OG	fluphenazine	MCF7	6h	10.0μM	2.9781e-05	0.00073513	-0.381075
TGIF1	7050	Novel DORGE-OG	thioridazine	HL60	6h	10.0μM	3.46796e-05	0.00083489	-0.679877
TGIF1	7050	Novel DORGE-OG	thioridazine	PC3	6h	10.0μM	3.85606e-05	0.00141933	-0.979405
TGIF1	7050	Novel DORGE-OG	trifluoperazine	MCF7	6h	10.0μM	8.57874e-05	0.00123958	-0.446455
TGIF1	7050	Novel DORGE-OG	sirolimus	PC3	6h	0.1μM	0.000126381	0.00273921	-0.694655
TGIF1	7050	Novel DORGE-OG	prochlorperazine	MCF7	6h	10.0μM	0.000320901	0.00425621	-0.349076
TGIF1	7050	Novel DORGE-OG	methylbenzethoniumchloride	MCF7	6h	8.6μM	0.000440929	0.0129683	-0.821914
TGIF1	7050	Novel DORGE-OG	PF-00562151-00	MCF7	6h	10.0μM	0.000652249	0.0943562	-0.723957
TGIF1	7050	Novel DORGE-OG	chlorcyclizine	MCF7	6h	11.8μM	0.00113376	0.100037	-0.741177
TGIF1	7050	Novel DORGE-OG	clofazimine	MCF7	6h	8.4μM	0.00207256	0.0678545	-0.494197
TGIF1	7050	Novel DORGE-OG	aciclovir	MCF7	6h	17.8μM	0.0024896	0.442567	-0.462524
TGIF1	7050	Novel DORGE-OG	prochlorperazine	HL60	6h	10.0μM	0.00350797	0.0865927	-0.400659
TGIF1	7050	Novel DORGE-OG	rottlerin	MCF7	6h	10.0μM	0.0065435	0.0652829	-0.604847
TGIF1	7050	Novel DORGE-OG	AG-013608	PC3	6h	10.0μM	0.00678614	0.16818	-0.453611
TGIF1	7050	Novel DORGE-OG	lycorine	MCF7	6h	12.4μM	0.00830339	0.039041	-0.578263
BTG2	7832	Novel DORGE-OG	tretinoin	MCF7	6h	1.0μM	4.86593e-34	1.16224e-30	-1.62046
BTG2	7832	Novel DORGE-OG	tanespimycin	MCF7	6h	1.0μM	1.50054e-24	3.66763e-23	-0.568854
BTG2	7832	Novel DORGE-OG	fulvestrant	MCF7	6h	1.0μM	5.44039e-19	8.56758e-17	-0.747118
BTG2	7832	Novel DORGE-OG	LY-294002	MCF7	6h	10.0μM	1.44077e-18	3.83005e-17	-0.525842
BTG2	7832	Novel DORGE-OG	phenoxybenzamine	MCF7	6h	11.8μM	1.24048e-15	3.14956e-13	-1.92874
BTG2	7832	Novel DORGE-OG	trichostatinA	PC3	6h	0.1μM	3.80559e-14	1.13811e-13	-0.433043
BTG2	7832	Novel DORGE-OG	fulvestrant	MCF7	6h	0.01μM	6.05683e-12	8.86506e-10	-0.666694
BTG2	7832	Novel DORGE-OG	geldanamycin	MCF7	6h	1.0μM	5.51567e-10	7.84233e-09	-0.526509
BTG2	7832	Novel DORGE-OG	methotrexate	MCF7	6h	8.8μM	3.94667e-09	4.95964e-07	-1.17122
BTG2	7832	Novel DORGE-OG	tretinoin	HL60	6h	1.0μM	1.67182e-08	1.31978e-06	-1.0892
BTG2	7832	Novel DORGE-OG	alvespimycin	MCF7	6h	0.1μM	8.67445e-08	1.49679e-06	-0.473061
BTG2	7832	Novel DORGE-OG	wortmannin	MCF7	6h	0.01μM	6.29991e-06	0.000125806	-0.371712
BTG2	7832	Novel DORGE-OG	thioridazine	HL60	6h	10.0μM	8.69086e-06	0.000297859	-0.818601
BTG2	7832	Novel DORGE-OG	thioridazine	MCF7	6h	10.0μM	9.02322e-06	0.000100052	-0.375005
BTG2	7832	Novel DORGE-OG	LY-294002	HL60	6h	10.0μM	9.3907e-06	0.000144056	-0.520014
BTG2	7832	Novel DORGE-OG	trichostatinA	MCF7	6h	0.1μM	9.83535e-06	1.75984e-05	-0.151567
BTG2	7832	Novel DORGE-OG	lanatosideC	MCF7	6h	4.0μM	1.91936e-05	9.91233e-05	-0.792516
BTG2	7832	Novel DORGE-OG	sirolimus	MCF7	6h	0.1μM	4.51224e-05	0.000301002	-0.237467
BTG2	7832	Novel DORGE-OG	cloperastine	MCF7	6h	11.0μM	0.00015894	0.0133606	-0.636361
BTG2	7832	Novel DORGE-OG	Prestwick-674	MCF7	6h	14.4μM	0.000241956	0.177069	-0.50182
BTG2	7832	Novel DORGE-OG	helveticoside	MCF7	6h	7.4μM	0.000266531	0.00114976	-0.643434
BTG2	7832	Novel DORGE-OG	meclozine	MCF7	6h	8.6μM	0.000552866	0.0429888	-0.358666
BTG2	7832	Novel DORGE-OG	fluphenazine	MCF7	6h	10.0μM	0.000909044	0.0103608	-0.256518
BTG2	7832	Novel DORGE-OG	loperamide	MCF7	6h	7.8μM	0.0013603	0.0311093	-0.3995
BTG2	7832	Novel DORGE-OG	prochlorperazine	HL60	6h	10.0μM	0.00184875	0.0601669	-0.596212
BTG2	7832	Novel DORGE-OG	trichostatinA	MCF7	6h	1.0μM	0.00224185	0.0042942	-0.156547
BTG2	7832	Novel DORGE-OG	prochlorperazine	MCF7	6h	10.0μM	0.00323485	0.0260653	-0.263422
BTG2	7832	Novel DORGE-OG	amiodarone	MCF7	6h	5.8μM	0.0037949	0.13927	-0.297187
LMNA	4000	Novel DORGE-OG	trichostatinA	PC3	6h	0.1μM	0	0	-0.794883
LMNA	4000	Novel DORGE-OG	trichostatinA	MCF7	6h	0.1μM	0	0	-0.818601
LMNA	4000	Novel DORGE-OG	trichostatinA	MCF7	6h	1.0μM	8.94532e-26	6.74886e-25	-0.601153
LMNA	4000	Novel DORGE-OG	trichostatinA	PC3	6h	1.0μM	5.04105e-14	4.37958e-13	-0.677384
LMNA	4000	Novel DORGE-OG	trichostatinA	HL60	6h	0.1μM	3.88206e-10	2.37097e-09	-0.254197
LMNA	4000	Novel DORGE-OG	trichostatinA	HL60	6h	1.0μM	2.49636e-06	1.3468e-05	-0.685178
LMNA	4000	Novel DORGE-OG	thioridazine	HL60	6h	10.0μM	9.14453e-06	0.00030894	-0.610187
LMNA	4000	Novel DORGE-OG	prochlorperazine	HL60	6h	10.0μM	0.000263365	0.0189395	-0.486083
LMNA	4000	Novel DORGE-OG	LY-294002	HL60	6h	10.0μM	0.000416634	0.00312061	-0.278338
LMNA	4000	Novel DORGE-OG	fluphenazine	MCF7	6h	10.0μM	0.000447147	0.00617421	-0.237102
LMNA	4000	Novel DORGE-OG	fulvestrant	MCF7	6h	1.0μM	0.000556826	0.00393607	-0.174958
LMNA	4000	Novel DORGE-OG	lanatosideC	MCF7	6h	4.0μM	0.00197467	0.0065372	-0.390968
LMNA	4000	Novel DORGE-OG	trifluoperazine	HL60	6h	10.0μM	0.00260619	0.0866658	-0.394531
LMNA	4000	Novel DORGE-OG	helveticoside	MCF7	6h	7.4μM	0.00332602	0.0108493	-0.358558
LMNA	4000	Novel DORGE-OG	digoxigenin	MCF7	6h	10.2μM	0.00784431	0.0256954	-0.324795
ZFR	51663	Novel DORGE-OG	tanespimycin	MCF7	6h	1.0μM	2.97958e-22	5.765e-21	-0.453279
ZFR	51663	Novel DORGE-OG	alvespimycin	MCF7	6h	0.1μM	9.46968e-11	3.44481e-09	-0.571178
ZFR	51663	Novel DORGE-OG	geldanamycin	MCF7	6h	1.0μM	1.10756e-09	1.49611e-08	-0.440933
ZFR	51663	Novel DORGE-OG	cephaeline	MCF7	6h	6.0μM	3.8293e-08	2.26105e-07	-0.775817
ZFR	51663	Novel DORGE-OG	15-deltaprostaglandinJ2	MCF7	6h	10.0μM	3.22069e-07	4.09873e-06	-0.384609
ZFR	51663	Novel DORGE-OG	lycorine	MCF7	6h	12.4μM	6.38465e-05	0.00162436	-0.781316
ZFR	51663	Novel DORGE-OG	tanespimycin	PC3	6h	1.0μM	0.000508312	0.00524422	-0.319842
ZFR	51663	Novel DORGE-OG	tanespimycin	HL60	6h	1.0μM	0.000687318	0.00330797	-0.336976
ZFR	51663	Novel DORGE-OG	acacetin	MCF7	6h	14.0μM	0.00108447	0.0479171	-0.70583
ZFR	51663	Novel DORGE-OG	digoxigenin	MCF7	6h	10.2μM	0.00518438	0.0179114	-0.395764
SMAD7	4092	Novel DORGE-OG	digoxigenin	MCF7	6h	10.2μM	4.85337e-13	7.64313e-11	-2.0382
SMAD7	4092	Novel DORGE-OG	helveticoside	MCF7	6h	7.4μM	5.43667e-12	2.10055e-10	-1.72952
SMAD7	4092	Novel DORGE-OG	lanatosideC	MCF7	6h	4.0μM	6.7812e-11	1.41315e-09	-1.5486
SMAD7	4092	Novel DORGE-OG	trichostatinA	PC3	6h	0.1μM	4.37822e-06	9.45486e-06	-0.395855
SMAD7	4092	Novel DORGE-OG	estradiol	MCF7	6h	0.01μM	0.000136823	0.016204	-0.297536
SMAD7	4092	Novel DORGE-OG	tacrolimus	MCF7	6h	1.0μM	0.00482726	0.133755	-0.697174
SMAD7	4092	Novel DORGE-OG	butylhydroxybenzoate	MCF7	6h	20.6μM	0.00598932	0.2217	-0.486617
SMAD7	4092	Novel DORGE-OG	lorglumide	MCF7	6h	8.4μM	0.00960135	0.202617	-0.367545
SGK1	6446	CGC-OG	trichostatinA	MCF7	6h	0.1μM	0	0	-1.52039
SGK1	6446	CGC-OG	trichostatinA	MCF7	6h	1.0μM	1.36216e-36	4.88376e-35	-1.3092
SGK1	6446	CGC-OG	tanespimycin	MCF7	6h	1.0μM	3.18657e-24	7.56568e-23	-0.778627
SGK1	6446	CGC-OG	trichostatinA	PC3	6h	0.1μM	3.00259e-23	1.19117e-22	-0.893445
SGK1	6446	CGC-OG	alvespimycin	MCF7	6h	0.1μM	8.72311e-16	9.27557e-14	-1.17653
SGK1	6446	CGC-OG	trichostatinA	PC3	6h	1.0μM	4.28068e-12	2.73809e-11	-0.934572
SGK1	6446	CGC-OG	geldanamycin	MCF7	6h	1.0μM	1.77851e-11	3.27799e-10	-0.743661
SGK1	6446	CGC-OG	alpha-estradiol	MCF7	6h	0.01μM	7.08477e-11	2.20354e-07	-0.671441
SGK1	6446	CGC-OG	trichostatinA	HL60	6h	0.1μM	7.01243e-10	4.18225e-09	-0.515337
SGK1	6446	CGC-OG	thioridazine	HL60	6h	10.0μM	8.69134e-10	6.36053e-07	-2.03035
SGK1	6446	CGC-OG	equilin	MCF7	6h	15.0μM	1.25183e-09	3.8935e-06	-1.02616
SGK1	6446	CGC-OG	estradiol	MCF7	6h	0.1μM	1.28721e-09	1.77935e-06	-0.707375
SGK1	6446	CGC-OG	genistein	MCF7	6h	10.0μM	3.66835e-09	1.65202e-06	-0.592918
SGK1	6446	CGC-OG	butylhydroxybenzoate	MCF7	6h	20.6μM	6.82078e-09	2.82858e-05	-1.17693
SGK1	6446	CGC-OG	diethylstilbestrol	MCF7	6h	15.0μM	2.1383e-07	0.000147792	-2.12509
SGK1	6446	CGC-OG	estradiol	MCF7	6h	0.01μM	2.82977e-07	0.00018529	-0.558496
SGK1	6446	CGC-OG	lorglumide	MCF7	6h	8.4μM	4.65047e-07	0.000725845	-0.858138
SGK1	6446	CGC-OG	thioperamide	MCF7	6h	9.8μM	9.02163e-07	0.0112238	-0.732831
SGK1	6446	CGC-OG	prochlorperazine	HL60	6h	10.0μM	1.26358e-05	0.0030824	-1.22311
SGK1	6446	CGC-OG	testosterone	MCF7	6h	11.6μM	2.28687e-05	0.0214008	-0.777901
SGK1	6446	CGC-OG	trichostatinA	HL60	6h	1.0μM	2.6274e-05	0.000112328	-1.1794
