Gene	Gene ID	Gene type	Drug Name	Cell_Line	Time	Dose	P-value	Q-value	Log2(fold Change)
COPS3	8533	Novel DORGE-TSG	trichostatinA	PC3	6h	0.1μM	0	0	0.998269
COPS3	8533	Novel DORGE-TSG	trichostatinA	MCF7	6h	0.1μM	0	0	1.29022
COPS3	8533	Novel DORGE-TSG	trichostatinA	MCF7	6h	1.0μM	1.2439e-39	9.67209e-38	0.974732
COPS3	8533	Novel DORGE-TSG	LY-294002	MCF7	6h	10.0μM	6.48125e-19	1.8622e-17	0.541587
COPS3	8533	Novel DORGE-TSG	trichostatinA	PC3	6h	1.0μM	4.44323e-17	7.39013e-16	0.704799
COPS3	8533	Novel DORGE-TSG	trichostatinA	HL60	6h	0.1μM	8.25551e-16	8.88468e-15	0.53482
COPS3	8533	Novel DORGE-TSG	sirolimus	MCF7	6h	0.1μM	6.65267e-12	2.13865e-10	0.392722
COPS3	8533	Novel DORGE-TSG	trichostatinA	HL60	6h	1.0μM	7.81228e-12	2.17915e-10	1.40196
COPS3	8533	Novel DORGE-TSG	wortmannin	MCF7	6h	0.01μM	2.7021e-08	1.14733e-06	0.386955
COPS3	8533	Novel DORGE-TSG	trifluoperazine	MCF7	6h	10.0μM	7.75215e-08	4.17242e-06	0.404748
COPS3	8533	Novel DORGE-TSG	LY-294002	PC3	6h	10.0μM	2.0606e-06	3.82056e-05	0.57316
COPS3	8533	Novel DORGE-TSG	sirolimus	PC3	6h	0.1μM	8.28214e-06	0.000387361	0.576454
COPS3	8533	Novel DORGE-TSG	prochlorperazine	MCF7	6h	10.0μM	0.000896144	0.0095946	0.233161
COPS3	8533	Novel DORGE-TSG	acacetin	MCF7	6h	14.0μM	0.00101425	0.0467343	0.3909
COPS3	8533	Novel DORGE-TSG	tretinoin	MCF7	6h	1.0μM	0.00103083	0.00860736	0.197249
COPS3	8533	Novel DORGE-TSG	valproicacid	MCF7	6h	1000.0μM	0.00139366	0.0255354	0.218557
COPS3	8533	Novel DORGE-TSG	valproicacid	HL60	6h	500.0μM	0.00156546	0.0140014	0.397094
COPS3	8533	Novel DORGE-TSG	valproicacid	HL60	6h	200.0μM	0.00301991	0.0494352	0.380823
COPS3	8533	Novel DORGE-TSG	clozapine	MCF7	6h	12.2μM	0.00365735	0.395147	0.383709
COPS3	8533	Novel DORGE-TSG	thioridazine	MCF7	6h	10.0μM	0.00368427	0.0166774	0.168067
COPS3	8533	Novel DORGE-TSG	genistein	HL60	6h	10.0μM	0.00492118	0.0613471	0.350362
COPS3	8533	Novel DORGE-TSG	valproicacid	PC3	6h	1000.0μM	0.0076257	0.163047	0.358514
COPS3	8533	Novel DORGE-TSG	valproicacid	MCF7	6h	500.0μM	0.00877563	0.0832133	0.179163
COPS3	8533	Novel DORGE-TSG	fluphenazine	MCF7	6h	10.0μM	0.00946192	0.060059	0.17865
ARL8B	55207	Novel DORGE-TSG	tretinoin	MCF7	6h	1.0μM	5.54564e-06	8.65663e-05	0.271677
ARL8B	55207	Novel DORGE-TSG	methotrexate	MCF7	6h	8.8μM	3.88207e-05	0.000829841	0.598538
ARL8B	55207	Novel DORGE-TSG	tretinoin	HL60	6h	1.0μM	0.00285588	0.0200961	0.381161
ARHGEF10	9639	CGC-TSG	tanespimycin	MCF7	6h	1.0μM	1.65425e-10	1.02851e-09	0.301193
ARHGEF10	9639	CGC-TSG	geldanamycin	MCF7	6h	1.0μM	6.24592e-06	4.26017e-05	0.35214
ARHGEF10	9639	CGC-TSG	lanatosideC	MCF7	6h	4.0μM	0.000127014	0.000547913	0.499859
ARHGEF10	9639	CGC-TSG	LY-294002	MCF7	6h	10.0μM	0.000384815	0.0012559	0.162764
