Gene	Gene ID	Gene type	Drug Name	CREEDS ID	GEO ID	DrugBank ID	P-value	Q-value	Log2(fold Change)
PRKCB	5579	Novel DORGE-OG	Doxorubicin	drug:2720	GSE12972	DB00997	0	0	-0.661269
PRKCB	5579	Novel DORGE-OG	Imatinib	drug:2516	GSE1922	DB00619	1.26582e-11	9.83918e-09	-2.0877
PRKCB	5579	Novel DORGE-OG	Imatinib	drug:2519	GSE1922	DB00619	1.6579e-11	3.22168e-09	-1.96999
PRKCB	5579	Novel DORGE-OG	Imatinib	drug:2517	GSE1922	DB00619	2.94662e-11	2.0493e-08	-2.34978
PRKCB	5579	Novel DORGE-OG	Imatinib	drug:2527	GSE19567	DB00619	3.73095e-11	3.79208e-08	-2.08227
PRKCB	5579	Novel DORGE-OG	Imatinib	drug:2515	GSE1922	DB00619	1.34407e-10	5.55019e-08	-2.17513
PRKCB	5579	Novel DORGE-OG	Cytarabine	drug:3375	GSE6930	DB00987	1.74721e-10	9.37189e-09	-2.14801
PRKCB	5579	Novel DORGE-OG	Imatinib	drug:2512	GSE1922	DB00619	2.31598e-10	7.28651e-08	-1.75678
PRKCB	5579	Novel DORGE-OG	Imatinib	drug:2520	GSE1922	DB00619	1.17302e-09	1.20157e-07	-1.74938
PRKCB	5579	Novel DORGE-OG	Imatinib	drug:2513	GSE1922	DB00619	1.2612e-09	8.59043e-08	-1.69478
PRKCB	5579	Novel DORGE-OG	Doxorubicin	drug:3262	GSE6930	DB00997	8.70163e-09	1.79753e-06	-1.8273
PRKCB	5579	Novel DORGE-OG	Puromycin,ec50,5d	drug:3270	GSE6930		9.19102e-09	2.24492e-07	-1.48531
PRKCB	5579	Novel DORGE-OG	Interferongamma-1b	drug:2476	GSE5542	DB00033	1.09317e-08	3.32839e-07	-0.252558
PRKCB	5579	Novel DORGE-OG	Fgfr-specificpd173074inhibitor	drug:3244	GSE52452		3.01704e-08	8.37042e-06	-0.972407
PRKCB	5579	Novel DORGE-OG	Nilotinib	drug:2528	GSE19567	DB04868	8.82199e-08	3.56158e-05	-2.03245
PRKCB	5579	Novel DORGE-OG	Doxorubicin	drug:3265	GSE6930	DB00997	8.98933e-08	7.50162e-06	-3.26682
PRKCB	5579	Novel DORGE-OG	Imatinib	drug:2457	GSE1922	DB00619	9.7298e-08	1.13778e-05	-1.94221
PRKCB	5579	Novel DORGE-OG	Cisplatin	drug:3152	GSE47856	DB00515	1.41532e-07	1.26264e-05	-2.85953
PRKCB	5579	Novel DORGE-OG	Diclofenac	drug:3053	GSE54255	DB00586	4.04995e-07	4.05258e-06	-0.552888
PRKCB	5579	Novel DORGE-OG	Cytarabine	drug:3424	GSE6930	DB00987	9.48453e-07	1.49207e-05	-0.809741
PRKCB	5579	Novel DORGE-OG	Lmp-420	drug:3222	GSE20211		1.53422e-06	2.55759e-05	-0.398807
PRKCB	5579	Novel DORGE-OG	Interferonbeta-1b	drug:3343	GSE26104	DB00068	1.38138e-05	8.85426e-05	-0.287778
PRKCB	5579	Novel DORGE-OG	Cisplatin	drug:3151	GSE47856	DB00515	0.00017217	0.0189509	-0.62349
PRKCB	5579	Novel DORGE-OG	Calcitriol	drug:3126	GSE52819		0.000302306	0.00272843	-0.384257
PRKCB	5579	Novel DORGE-OG	Vx	drug:3376	GSE33606		0.00062744	0.00319613	-0.356405
PRKCB	5579	Novel DORGE-OG	Lipopolysaccharide	drug:3484	GSE5504		0.000635847	0.0166461	-0.499167
PRKCB	5579	Novel DORGE-OG	Arachidonicacid	drug:3119	GSE3737		0.0011501	0.0228877	-0.753102
PRKCB	5579	Novel DORGE-OG	Naturalalphainterferon	drug:2473	GSE5542	DB05258	0.0013267	0.00397438	-0.362796
PRKCB	5579	Novel DORGE-OG	Insulin	drug:3368	GSE22309		0.00164325	0.0153471	-0.107097
PRKCB	5579	Novel DORGE-OG	Imatinib	drug:2764	GSE24493	DB00619	0.00311219	0.00692496	-0.507138
PRKCB	5579	Novel DORGE-OG	Lipopolysaccharide	drug:3486	GSE5504		0.00315283	0.0222927	-1.29
PRKCB	5579	Novel DORGE-OG	Pioglitazone	drug:2796	GSE8157	DB01132	0.00340238	0.0120609	-0.215552
PRKCB	5579	Novel DORGE-OG	Interferonbeta-1a	drug:3186	GSE26104	DB00060	0.00381719	0.0179304	-0.14625
PRKCB	5579	Novel DORGE-OG	Mk-886	drug:3192	GSE3202		0.00489183	0.0154574	-0.316801
PRKCB	5579	Novel DORGE-OG	Doxorubicin	drug:3264	GSE6930	DB00997	0.00511599	0.0268935	-0.363931
PRKCB	5579	Novel DORGE-OG	Chlorpyrifos	drug:3571	GSE5023		0.00733949	0.0197415	-0.0904088
PRKCB	5579	Novel DORGE-OG	Puromycin,ec50,3d	drug:3269	GSE6930		0.0073395	0.041436	-0.192493
PRKCB	5579	Novel DORGE-OG	Adenosinetriphosphate	drug:3220	GSE30903		0.0102377	0.0307345	-0.296006
PRKCB	5579	Novel DORGE-OG	Puromycin,ec50,1d	drug:3268	GSE6930		0.0224062	0.0390135	-0.074228
PRKCB	5579	Novel DORGE-OG	Chromium	drug:3534	GSE6907		0.0251431	0.0447998	-1.41655
PRKCB	5579	Novel DORGE-OG	Bicalutamide	drug:3088	GSE7708	DB01128	0.0256061	0.0456168	-0.0298137
PRKCB	5579	Novel DORGE-OG	Arachidonicacid	drug:3171	GSE3737	DB04557	0.0300684	0.0488472	-0.978893
TGIF1	7050	Novel DORGE-OG	Imatinib	drug:2519	GSE1922	DB00619	2.86413e-09	1.32795e-07	-1.38509
TGIF1	7050	Novel DORGE-OG	Imatinib	drug:2516	GSE1922	DB00619	4.90575e-09	4.29302e-07	-1.49583
TGIF1	7050	Novel DORGE-OG	Doxorubicin	drug:3263	GSE6930	DB00997	6.13946e-09	1.68474e-08	-0.019521
TGIF1	7050	Novel DORGE-OG	Imatinib	drug:2513	GSE1922	DB00619	1.37667e-08	4.17785e-07	-1.16129
TGIF1	7050	Novel DORGE-OG	Imatinib	drug:2517	GSE1922	DB00619	2.54461e-08	9.41592e-07	-1.53594
TGIF1	7050	Novel DORGE-OG	Cytarabine	drug:3375	GSE6930	DB00987	3.65974e-08	2.52969e-07	-1.1224
TGIF1	7050	Novel DORGE-OG	Actinomycind	drug:3098	GSE6400		4.98453e-08	1.5092e-06	-1.27941
TGIF1	7050	Novel DORGE-OG	Bexarotene	drug:2680	GSE6914	DB00307	2.08308e-07	2.91393e-06	-0.538705
TGIF1	7050	Novel DORGE-OG	Puromycin,ec50,5d	drug:3270	GSE6930		2.67047e-07	2.64549e-06	-1.32959
TGIF1	7050	Novel DORGE-OG	Imatinib	drug:2515	GSE1922	DB00619	5.42412e-07	1.26766e-05	-1.34631
TGIF1	7050	Novel DORGE-OG	Cycloheximide	drug:3059	GSE8597		7.18649e-07	7.62369e-06	-0.859174
TGIF1	7050	Novel DORGE-OG	Vanadiumpentoxide	drug:3558	GSE5339		8.57069e-07	1.09099e-05	-2.08681
TGIF1	7050	Novel DORGE-OG	Imatinib	drug:2527	GSE19567	DB00619	8.91521e-07	1.22843e-05	-0.663752
TGIF1	7050	Novel DORGE-OG	Chlorpyrifos	drug:3571	GSE5023		1.16895e-06	5.1335e-05	-0.187524
TGIF1	7050	Novel DORGE-OG	Puromycin,ec50,1d	drug:3268	GSE6930		1.83517e-06	1.27762e-05	-0.459677
TGIF1	7050	Novel DORGE-OG	Imatinib	drug:2520	GSE1922	DB00619	2.26818e-06	3.48508e-05	-1.06162
TGIF1	7050	Novel DORGE-OG	Tretinoin	drug:3233	GSE23702	DB00755	2.36309e-06	7.89496e-06	-1.17133
TGIF1	7050	Novel DORGE-OG	Tretinoin	drug:2828	GSE23702	DB00755	2.43161e-06	8.76913e-06	-1.21067
TGIF1	7050	Novel DORGE-OG	Tretinoin	drug:3231	GSE23702	DB00755	3.97423e-06	4.08786e-05	-1.10067
TGIF1	7050	Novel DORGE-OG	Imatinib	drug:2512	GSE1922	DB00619	6.57857e-06	0.000106924	-1.03535
TGIF1	7050	Novel DORGE-OG	Doxorubicin	drug:3265	GSE6930	DB00997	2.48272e-05	0.000156097	-1.35757
TGIF1	7050	Novel DORGE-OG	Plx4032	drug:2567	GSE24862	DB05238	2.9238e-05	0.00536411	-1.057
TGIF1	7050	Novel DORGE-OG	Imatinib	drug:2457	GSE1922	DB00619	6.27248e-05	0.00101511	-0.985199
TGIF1	7050	Novel DORGE-OG	Estradiol	drug:2733	GSE26834	DB00783	0.000117715	0.00138255	-0.568363
TGIF1	7050	Novel DORGE-OG	Vemurafenib	drug:2495	GSE42872		0.000126641	0.000501636	-0.375843
TGIF1	7050	Novel DORGE-OG	Vanadiumpentoxide	drug:3557	GSE5339		0.000178487	0.00139382	-0.564699
TGIF1	7050	Novel DORGE-OG	Cytarabine	drug:3373	GSE6930	DB00987	0.000227314	0.00283566	-0.599263
