Gene	Gene ID	Gene type	Drug Name	CREEDS ID	GEO ID	DrugBank ID	P-value	Q-value	Log2(fold Change)
COPS3	8533	Novel DORGE-TSG	Doxorubicin	drug:2720	GSE12972	DB00997	2.9561e-40	2.65546e-39	0.241958
COPS3	8533	Novel DORGE-TSG	Doxorubicin	drug:3263	GSE6930	DB00997	3.63007e-10	1.41661e-09	0.330749
COPS3	8533	Novel DORGE-TSG	Estradiol	drug:2731	GSE8597	DB00783	1.3944e-07	8.7001e-06	0.599091
COPS3	8533	Novel DORGE-TSG	Nickel	drug:3531	GSE6907		1.51259e-07	4.77281e-06	0.789262
COPS3	8533	Novel DORGE-TSG	Mercury	drug:3533	GSE6907		2.61233e-07	1.16707e-05	1.10818
COPS3	8533	Novel DORGE-TSG	Cycloheximide	drug:3059	GSE8597		3.20106e-07	4.07002e-06	0.52586
COPS3	8533	Novel DORGE-TSG	Dmnq(2,3-dimethoxy-1,4-naphthoquinone)	drug:3527	GSE6907		3.52383e-07	8.86986e-06	0.890767
COPS3	8533	Novel DORGE-TSG	Puromycin,ec50,1d	drug:3268	GSE6930		6.40799e-07	5.55727e-06	0.306257
COPS3	8533	Novel DORGE-TSG	Chromium	drug:3534	GSE6907		9.95564e-06	9.66456e-05	1.01664
COPS3	8533	Novel DORGE-TSG	Arachidonicacid	drug:3171	GSE3737	DB04557	3.8949e-05	0.00139193	1.70458
COPS3	8533	Novel DORGE-TSG	Chlorpyrifos	drug:3571	GSE5023		4.06967e-05	0.000457822	0.0992074
COPS3	8533	Novel DORGE-TSG	Antimony	drug:3532	GSE6907		4.84926e-05	9.97077e-05	0.0484015
COPS3	8533	Novel DORGE-TSG	Nitricoxide	drug:3181	GSE13887	DB00435	7.88727e-05	0.000333602	0.251732
COPS3	8533	Novel DORGE-TSG	Doxorubicin	drug:3260	GSE6930	DB00997	0.000205966	0.00447444	0.349702
COPS3	8533	Novel DORGE-TSG	Puromycin,ec50,5d	drug:3270	GSE6930		0.000212178	0.00062425	0.237242
COPS3	8533	Novel DORGE-TSG	Naturalalphainterferon	drug:2474	GSE5542	DB05258	0.000240673	0.000881444	0.0184031
COPS3	8533	Novel DORGE-TSG	Vanadiumpentoxide	drug:3556	GSE5339		0.000307363	0.00321277	0.284051
COPS3	8533	Novel DORGE-TSG	Estradiol	drug:2487	GSE46924	DB00783	0.000379516	0.00563615	0.436198
COPS3	8533	Novel DORGE-TSG	Bisphenola	drug:2663	GSE17624		0.000431019	0.00149092	0.497126
COPS3	8533	Novel DORGE-TSG	Vanadiumpentoxide	drug:3558	GSE5339		0.000643287	0.00138636	0.32455
COPS3	8533	Novel DORGE-TSG	Vx	drug:3345	GSE33606		0.000778896	0.00955763	0.226192
COPS3	8533	Novel DORGE-TSG	Vanadiumpentoxide	drug:3557	GSE5339		0.000795351	0.00413251	0.327484
COPS3	8533	Novel DORGE-TSG	Carboplatin	drug:3089	GSE13525	DB00958	0.000827627	0.0095955	0.233216
COPS3	8533	Novel DORGE-TSG	Sirolimus	drug:2459	GSE5824	DB00877	0.000873481	0.0288554	0.389157
COPS3	8533	Novel DORGE-TSG	Etanercept	drug:2597	GSE36177	DB00005	0.00118822	0.0129365	0.632466
COPS3	8533	Novel DORGE-TSG	Bortezomib	drug:2686	GSE30931	DB00188	0.00123306	0.0183646	0.409897
COPS3	8533	Novel DORGE-TSG	Estradiol	drug:3203	GSE12446	DB00783	0.00150912	0.0109215	0.366201
COPS3	8533	Novel DORGE-TSG	R1881	drug:3048	GSE22606		0.00170955	0.00841061	0.26643
COPS3	8533	Novel DORGE-TSG	Trovafloxacin	drug:2623	GSE9166	DB00685	0.0021392	0.00785172	1.12172
COPS3	8533	Novel DORGE-TSG	Mesalazine	drug:3289	GSE38713	DB00244	0.00249455	0.0383018	0.50807
COPS3	8533	Novel DORGE-TSG	Lipopolysaccharide	drug:3486	GSE5504		0.00413918	0.0257711	0.49
COPS3	8533	Novel DORGE-TSG	Insulin	drug:3368	GSE22309		0.00483358	0.0312677	0.237895
COPS3	8533	Novel DORGE-TSG	Estradiol	drug:3061	GSE4668	DB00783	0.00493401	0.0154051	0.17912
COPS3	8533	Novel DORGE-TSG	Celecoxib	drug:2501	GSE54657	DB00482	0.00601519	0.0250567	0.165836
COPS3	8533	Novel DORGE-TSG	Neocarzinostatin	drug:3113	GSE1676		0.008885	0.0237255	0.302406
COPS3	8533	Novel DORGE-TSG	Clinafloxacin	drug:2625	GSE9166		0.0109013	0.0399233	0.278364
COPS3	8533	Novel DORGE-TSG	Cadmium	drug:3402	GSE9951		0.0183142	0.0220199	0.257368
COPS3	8533	Novel DORGE-TSG	Bisphenola	drug:2661	GSE17624		0.023273	0.0465242	0.0511695
ARL8B	55207	Novel DORGE-TSG	Doxorubicin	drug:3263	GSE6930	DB00997	3.76453e-10	1.46004e-09	0.050373
ARL8B	55207	Novel DORGE-TSG	Lmp-420	drug:3222	GSE20211		8.15653e-08	2.57431e-06	0.109733
ARL8B	55207	Novel DORGE-TSG	Aplidin	drug:2598	GSE5681		1.13128e-06	1.84618e-05	0.337005
ARL8B	55207	Novel DORGE-TSG	Imatinib	drug:2526	GSE22433	DB00619	1.97572e-06	3.84638e-05	0.783072
ARL8B	55207	Novel DORGE-TSG	Bisphenola	drug:2663	GSE17624		2.00317e-06	2.38261e-05	0.616145
ARL8B	55207	Novel DORGE-TSG	Cycloheximide	drug:3059	GSE8597		3.48029e-06	2.72121e-05	0.421382
ARL8B	55207	Novel DORGE-TSG	Promegestone	drug:3694	GSE67561		4.16973e-06	8.70721e-05	0.348284
ARL8B	55207	Novel DORGE-TSG	Thapsigargin	drug:3236	GSE19519		4.35676e-06	5.96788e-05	0.234643
ARL8B	55207	Novel DORGE-TSG	Nitricoxide	drug:3181	GSE13887	DB00435	9.22542e-06	5.72294e-05	0.103532
ARL8B	55207	Novel DORGE-TSG	Cytarabine	drug:3424	GSE6930	DB00987	3.2452e-05	0.000206738	0.480445
ARL8B	55207	Novel DORGE-TSG	R1881	drug:3048	GSE22606		6.56968e-05	0.000697621	0.555983
ARL8B	55207	Novel DORGE-TSG	Celecoxib	drug:2501	GSE54657	DB00482	9.87079e-05	0.00229521	0.305707
ARL8B	55207	Novel DORGE-TSG	Vanadiumpentoxide	drug:3558	GSE5339		0.000116427	0.000354215	0.438519
ARL8B	55207	Novel DORGE-TSG	Chlorpyrifos	drug:3571	GSE5023		0.000123523	0.000982789	0.547136
ARL8B	55207	Novel DORGE-TSG	Cisplatin	drug:3153	GSE47856	DB00515	0.000150923	0.000851671	0.21026
ARL8B	55207	Novel DORGE-TSG	Lipopolysaccharide	drug:2475	GSE40885		0.000156278	0.00416503	0.560226
ARL8B	55207	Novel DORGE-TSG	Dasatinib	drug:3306	GSE59357	DB01254	0.000240664	0.000727512	0.261472
ARL8B	55207	Novel DORGE-TSG	R1881	drug:3049	GSE22606		0.000331862	0.00349192	0.31728
ARL8B	55207	Novel DORGE-TSG	Vx	drug:3345	GSE33606		0.000332637	0.00531098	0.275254
ARL8B	55207	Novel DORGE-TSG	Vemurafenib	drug:2564	GSE37441	DB08881	0.000428969	0.0020606	0.346767
ARL8B	55207	Novel DORGE-TSG	Cisplatin	drug:3155	GSE47856	DB00515	0.00050039	0.00594741	0.24167
ARL8B	55207	Novel DORGE-TSG	Interferonbeta-1a	drug:3186	GSE26104	DB00060	0.000507911	0.00444278	0.26125
