Gene	BLCA_HR	BRCA_HR	CESC_HR	COAD_HR	ESCA_HR	GBM_HR	HNSC_HR	KIRC_HR	KIRP_HR	LAML_HR	LGG_HR	LIHC_HR	LUAD_HR	LUSC_HR	OV_HR	PAAD_HR	READ_HR	SARC_HR	SKCM_HR	STAD_HR	UCEC_HR	BLCA_HR_Pvalue	BRCA_HR_Pvalue	CESC_HR_Pvalue	COAD_HR_Pvalue	ESCA_HR_Pvalue	GBM_HR_Pvalue	HNSC_HR_Pvalue	KIRC_HR_Pvalue	KIRP_HR_Pvalue	LAML_HR_Pvalue	LGG_HR_Pvalue	LIHC_HR_Pvalue	LUAD_HR_Pvalue	LUSC_HR_Pvalue	OV_HR_Pvalue	PAAD_HR_Pvalue	READ_HR_Pvalue	SARC_HR_Pvalue	SKCM_HR_Pvalue	STAD_HR_Pvalue	UCEC_HR_Pvalue
IRF2BP2	1.042	1.028	1.02	1.001	0.89	0.915	0.927	0.922	1.426	0.879	1.075	1.134	0.88	1.001	1.026	0.897	1.161	0.963	1.015	1.067	0.991	0.6	0.75	0.88	0.99	0.39	0.35	0.27	0.32	0.021	0.22	0.45	0.17	0.093	0.99	0.76	0.3	0.5	0.71	0.83	0.44	0.94
PLEC	1.126	1.02	1.325	1.301	0.985	1.206	1.041	1.327	1.405	1.208	1.117	1.072	1.341	1.139	1.055	1.202	1.145	0.966	0.939	1.005	1.059	0.13	0.83	0.031	0.0098	0.92	0.052	0.59	3.8E-4	0.026	0.091	0.25	0.46	2.4E-4	0.056	0.47	0.076	0.56	0.75	0.37	0.96	0.58
MLL5	1.003	0.962	1.16	1.184	0.736	0.969	0.956	0.933	1.392	0.724	0.966	0.997	0.825	0.95	1.212	1.056	1.094	0.963	0.823	1.029	1.03	0.97	0.67	0.25	0.1	0.036	0.74	0.51	0.38	0.029	0.0036	0.71	0.98	0.0092	0.45	0.02	0.62	0.67	0.71	0.005	0.73	0.78
MEIS2	1.114	1.025	0.806	1.19	0.747	1.073	0.997	0.939	1.605	0.92	1.0	0.946	1.105	0.907	0.991	0.92	1.521	1.003	1.089	1.077	1.059	0.14	0.79	0.093	0.07	0.015	0.5	0.96	0.43	0.0029	0.46	1.0	0.52	0.18	0.17	0.91	0.44	0.051	0.98	0.2	0.38	0.59
ZFP36L1	1.13	0.979	1.011	1.213	1.077	1.132	0.96	1.137	1.668	0.868	1.591	1.052	0.991	1.044	1.29	1.468	0.999	1.087	1.02	1.075	1.145	0.1	0.81	0.93	0.066	0.6	0.22	0.58	0.11	0.002	0.23	3.9E-7	0.57	0.91	0.53	0.0016	9.4E-4	1.0	0.4	0.78	0.42	0.19
BTG1	0.958	0.79	0.925	0.955	1.201	1.063	0.862	1.049	2.207	0.812	0.966	0.968	1.055	0.911	0.942	1.05	1.733	0.855	0.859	1.079	1.008	0.57	0.0085	0.52	0.66	0.2	0.47	0.034	0.54	1.4E-5	0.071	0.71	0.71	0.48	0.17	0.4	0.65	0.0092	0.11	0.026	0.36	0.94
FOSL2	0.943	1.043	1.197	1.108	0.913	1.146	0.911	1.029	1.128	0.942	1.366	1.039	1.192	1.062	1.181	1.31	0.959	0.871	1.148	0.98	1.133	0.44	0.63	0.22	0.28	0.47	0.17	0.2	0.72	0.44	0.56	0.0019	0.67	0.016	0.41	0.036	0.021	0.83	0.22	0.045	0.82	0.21
TSC22D2	1.053	1.251	1.162	1.152	1.207	1.028	1.144	1.153	1.605	1.006	1.278	0.966	1.204	1.043	0.983	1.341	0.919	1.353	0.975	1.151	1.096	0.52	0.014	0.27	0.16	0.21	0.75	0.068	0.069	0.0034	0.96	0.0081	0.68	0.019	0.54	0.82	0.018	0.71	0.0055	0.73	0.085	0.38
AHNAK	1.43	0.976	1.242	1.089	0.903	1.144	1.061	0.883	0.987	1.01	1.202	0.872	1.098	1.05	1.109	1.429	1.037	0.768	0.96	1.145	0.943	8.0E-6	0.79	0.14	0.41	0.46	0.13	0.43	0.12	0.93	0.92	0.049	0.15	0.21	0.51	0.13	0.0015	0.87	0.016	0.56	0.12	0.57
CHD2	0.984	0.896	1.161	1.232	1.057	0.935	0.979	1.111	0.913	0.944	1.001	0.869	0.936	1.045	1.125	1.079	1.015	1.005	0.883	1.014	0.928	0.83	0.23	0.24	0.046	0.7	0.46	0.76	0.17	0.55	0.58	0.99	0.11	0.37	0.53	0.11	0.54	0.95	0.96	0.082	0.86	0.49
