Gene	TSG_probability	OG_probability	H3K4me3_peak_length	NonSilent_silent_ratio	VEST_score	Exon_conservation_phastCons_score	TSG_all	OG_all	NG	Rank_TSG
TNRC18	0.994142771048565	0.498203964820559	6344.69	2.39	0.44	0.65	0	0	0	127
PLEC	0.999914357429902	0.997110199383629	6002.45	2.09	0.53	0.65	0	0	0	38
FOSL2	0.91240539614227	0.73998328460919	3721.59	2.83	0.44	0.66	0	0	0	333
TSC22D2	0.916091093560554	0.912217815203231	7260.63	1.76	0.37	0.64	0	0	0	325
LMO4	0.900723225365665	0.0400718106184498	8322.82	3.58	0.72	0.74	0	0	0	367
PDGFRA	0.991961010182293	0.999683860091288	4453	6.08	0.58	0.73	0	1	0	137
IGF2BP3	0.701086879090699	0.246087980172406	3330.82	2.84	0.55	0.72	0	0	0	776
UBC	0.903429605804164	0.625768642936608	5330.64	0.81	0.62	0.66	0	0	0	354
HDGF	0.933105831136831	0.996958100762473	5602.85	2.85	0.43	0.62	0	0	0	288
UBE2D3	0.980582394676481	0.994934409310115	6114.17	3.94	0.66	0.69	0	0	0	182
PPP1R15B	0.887340210981733	0.954473741025102	5884.4	3.05	0.32	0.6	0	0	0	398
MCL1	0.970889898625701	0.941034774414735	5662.37	3.32	0.44	0.65	0	0	0	210
IRF2BPL	0.680206501415677	0.870248045827881	4829.55	1.48	0.49	0.58	0	0	0	818
CPEB2	0.963771579181365	0.901165164203345	4903.59	4.68	0.6	0.58	0	0	0	225
ARID5B	0.996745863528335	0.985352902939774	4338.18	5.01	0.5	0.75	0	0	0	110
IRS2	0.788993530211503	0.476385395530772	6892.37	4.93	0.34	0.55	0	0	0	592
JUN	0.893906805617492	0.807862271544318	4069.67	3.79	0.53	0.58	0	1	0	377
BAZ2A	0.956151583800833	0.992352480619447	7169.08	4.14	0.45	0.71	0	0	0	237
KLF7	0.934363173500434	0.838795412061637	4302.89	2.21	0.62	0.72	0	0	0	283
MSL2	0.697356287296807	0.747651594143616	5242.15	1.2	0.46	0.67	0	0	0	781
CRIM1	0.965283425519076	0.254758174739443	4182.99	3.51	0.58	0.72	0	0	0	222
BCL2L1	0.995752059690871	0.997497099446224	5762.11	2.86	0.56	0.68	0	0	0	120
AKIRIN2	0.925309715614946	0.973171305170644	5195.27	5.67	0.51	0.7	0	0	0	304
ZNF462	0.726455607907934	0.607486723322543	1919.91	3.13	0.56	0.75	0	0	0	720
ZMIZ1	0.891570926556989	0.805050821573279	1182.11	2.19	0.68	0.73	0	0	0	386
HNRNPD	0.945267372211011	0.623950756605231	4740.28	3	0.63	0.78	0	0	0	259
TRA2B	0.924303729148763	0.731243209661204	7517.41	6.07	0.63	0.69	0	0	0	306
STIM2	0.770765528416765	0.919209519107935	6199.2	3.16	0.55	0.71	0	0	0	630
C6ORF62	0.903114025936661	0.831367987220192	4914.22	4.21	0.73	0.58	0	0	0	359
ACTB	0.984739222397819	0.857445174518771	4851.45	3.24	0.83	0.64	0	0	0	162
KLF3	0.97947104429498	0.999939703369773	5722.27	6.05	0.53	0.7	0	0	0	184
SOS1	0.932690284398799	0.865535522444166	6254.59	4.67	0.66	0.74	0	0	0	290
VCPIP1	0.766787342400447	0.176944095798438	5056.74	4.28	0.51	0.69	0	0	0	635
TENC1	0.77336124004167	0.81998043699865	5498.56	2.9	0.53	0.67	0	0	0	627
MIDN	0.73174239583266	0.428292143021006	5244.25	2.68	0.49	0.59	0	0	0	714
UGCG	0.831911367353423	0.441109096119308	4285.39	4.64	0.66	0.73	0	0	0	501
ATP2A2	0.894778800371507	0.824330988894379	930.72	2.76	0.7	0.74	0	0	0	375
ZCCHC2	0.677234876062014	0.800057610752529	4871.07	2.79	0.45	0.58	0	0	0	826
ATXN1	0.844580343596892	0.95573402549521	3296.29	3.68	0.44	0.61	0	0	0	476
BCL3	0.634997584440515	0.87535195901176	6213.06	3.43	0.39	0.66	0	1	0	951
MAML3	0.679890286275572	0.117554635735208	4481.57	0.98	0.42	0.63	0	0	0	819
KIAA1949	0.847165018776107	0.783492329378758	8013.07	3.88	0.3	0.58	0	0	0	472
HNRNPU	0.981289647013194	0.874440569955875	3718.18	2.9	0.56	0.72	0	0	0	179
GABPB1	0.71967026298915	0.233237711233739	3835.89	8.67	0.58	0.75	0	0	0	735
TEAD1	0.933143339383615	0.859284387216609	4833.95	3.27	0.69	0.8	0	0	0	287
TRERF1	0.90561769565408	0.845343166412088	1661.11	4.02	0.53	0.7	0	0	0	349
CALM2	0.884512517119136	0.83631657498491	4862.64	5.4	0.73	0.78	0	0	0	403
SDC4	0.706169090173956	0.479739016987466	5242.84	2.29	0.39	0.64	0	0	0	769
ERBB2IP	0.902796203792907	0.668756782108869	3527.3	3.68	0.58	0.72	0	0	0	361
WDR26	0.826065186441274	0.598583569279244	3837.67	2.69	0.69	0.77	0	0	0	513
B4GALT1	0.79590328205004	0.270440253622783	5661.74	1.81	0.54	0.7	0	0	0	575
AMD1	0.917629184022381	0.571692535937637	5337.97	2.09	0.65	0.66	0	0	0	321
SP3	0.903515497773383	0.737941000427605	3791.52	1.61	0.54	0.66	0	0	0	353
MYCBP2	0.716424602624753	0.482717573146185	2415.48	4.2	0.68	0.75	0	0	0	742
PICALM	0.817431275702479	0.977934518001644	5334.87	2.82	0.68	0.74	0	0	0	527
ENC1	0.683489059753187	0.0122722688239858	4022.67	4.09	0.68	0.78	0	0	0	809
PHF12	0.777494015609326	0.888092947559883	4529.61	2.11	0.56	0.75	0	0	0	617
EEF2	0.654347864168151	0.173048953617743	1910.54	2.32	0.76	0.72	0	0	0	894
SLC20A1	0.733223262510242	0.0242650431506407	3218.34	3.21	0.52	0.7	0	0	0	711
SHB	0.774772916017611	0.931574544168941	4441.57	3.07	0.58	0.67	0	0	0	623
PHF15	0.975301386930662	0.987944972246596	4559.79	2.93	0.55	0.61	0	0	0	200
TRAM2	0.669750594878923	0.278687570497636	3830.61	2.05	0.55	0.69	0	0	0	849
PTGES3	0.668503957404451	0.528395942788123	4422.07	4.4	0.49	0.71	0	0	0	854
RBM15	0.908319063399922	0.494464726085875	5234.18	2.77	0.46	0.69	0	0	0	338
SYNCRIP	0.74595190862445	0.92304721834147	4121.47	2.46	0.65	0.75	0	0	0	682
YBX1	0.81066769066461	0.881290608102375	4462.77	4.41	0.67	0.74	0	0	0	539
CRKL	0.912938907610028	0.436317117187256	4328.4	2.88	0.51	0.64	0	0	0	331
TSHZ3	0.688103785831705	0.419489416351068	1675.01	2.41	0.58	0.61	0	0	0	803
LPHN2	0.955870688957833	0.630701056840456	4304.99	3.53	0.7	0.74	0	0	0	239
RPRD2	0.738980236141356	0.386572377039062	3003.29	3.61	0.44	0.69	0	0	0	700
CTNNB1	1	1	312.62	68.3	0.69	0.76	0	1	0	1
ARHGAP5	0.905351006133149	0.553160095274599	2922.05	4.26	0.61	0.7	0	1	0	350
PANK2	0.877529522792068	0.0910130138108951	4191.22	2.3	0.54	0.75	0	0	0	421
MAN1A1	0.805279544521212	0.0149842116624573	4175.1	5.09	0.6	0.69	0	0	0	553
PPM1D	0.645414169234178	0.998339581482534	499.35	11.19	0.41	0.69	0	1	0	923
PVRL3	0.672854564572431	0.211207662094509	3956.86	5.32	0.51	0.68	0	0	0	840
CTDSP2	0.972132880585467	0.972407913650483	5442.67	3.38	0.58	0.7	0	0	0	207
WTAP	0.957361210929495	0.822832464150768	4237.31	4.32	0.62	0.72	0	0	0	232
TMEM30A	0.755292696312435	0.148406799637155	3600.29	4.47	0.59	0.71	0	0	0	662
OSBPL3	0.714138072576991	0.17486319450186	3754.12	3.22	0.59	0.72	0	0	0	744
PHF17	0.87184303945111	0.385185167658224	4137.66	3.18	0.5	0.73	0	0	0	427
PAPD7	0.909012079971374	0.558850678069772	4484.62	2.9	0.6	0.7	0	0	0	336
KCMF1	0.679379710218715	0.770527769592761	1329.52	2.03	0.57	0.77	0	0	0	820
U2AF2	0.742410756581464	0.607534250772203	3305.09	4.39	0.57	0.69	0	0	0	692
MLXIP	0.884869745586618	0.832269595706417	4039.44	2.69	0.47	0.67	0	0	0	402
CORO1C	0.838698447076718	0.621363748196878	3482.95	4.1	0.64	0.73	0	0	0	483
NFYA	0.689445503351439	0.130903271827197	2877.68	3.29	0.61	0.71	0	0	0	797
FBN1	0.64733466396463	0.533723597896501	3094.9	3.58	0.62	0.75	0	0	1	915
TPP2	0.647287908351093	0.156736593381447	2169.9	3.58	0.62	0.74	0	0	0	916
NUFIP2	0.931531206013191	0.665513013755668	4004.3	1.9	0.54	0.7	0	0	0	294
RNF145	0.774682448706453	0.562442805347954	4019.97	2.79	0.63	0.73	0	0	0	624
RCC2	0.673736310239924	0.784490221518121	2646.58	2.65	0.71	0.71	0	0	0	838
DDX17	0.964554238092761	0.960622111792155	3912.26	5.51	0	0.74	0	0	0	223
SCAF11	0.643155279971051	0.426071617125188	3267.99	4.53	0.41	0.7	0	0	0	929
RAB10	0.808997102187501	0.447343408400366	3500.57	2.77	0.63	0.77	0	0	0	542
MYO10	0.87774000181655	0.0252642355804442	3234.17	2.53	0.65	0.7	0	0	0	420
ATN1	0.915370097883982	0.894274031995739	4777.32	3.22	0.44	0.64	0	0	0	328
SMEK2	0.79470884084715	0.0265149450675024	3532.26	3.13	0.67	0.7	0	0	0	579
NDUFV2	0.878360823601206	0.936445817610884	4567.85	5.14	0.59	0.71	0	0	0	415
