Silent_mutations_kb	log_Total_N_missense_mutations	log_Total_N_LoF_mutations	log_Total_N_of_splicing_mutations	Missense_mutations_kb	LoF_mutations_kb	Missense_entropy	LOF_silent_ratio	Splice_silent_ratio	Missense_silent_ratio	HiFI_missense_LoFI_missense_ratio	LOF_benign_ratio	Splice_benign_ratio	Missense_benign_ratio	Missense_damaging_benign_ratio	PolyPhen_2_score	LOF_total_ratio	Missense_total_ratio	Splice_total_ratio	LOF_missense_ratio	Silent_fraction	Nonsense_fraction	Recurrent_missense_fraction	Frameshift_indel_fraction	Inframe_indel_fraction	Lost_start_and_stop_fraction	Inactivating_fraction	NonSilent_silent_ratio	log_gene_length	log_CDS_length	CNA_deletion_percentage	Exon_conservation_phastCons_score	Missense_MGAentropy	Early_replication_timing	VEST_score	Gene_expression_Z_score	Increase_of_cell_proliferation_by_CRISPR_Knock_down	Super_enhancer_percentage	Promoter_hypermethylation_in_cancer	Gene_body_hypermethylation_in_cancer	Gene_body_canyon_hypermethylation_in_cancer	pLI_score	pNull_score	Synonymous_o_e_constraint	Missense_o_e_constraint	LoF_o_e_constraint	Primate_dN_dS_ratio	Gene_damage_index	RVIS_percentile	ncRVIS_score	ncGERP_score	Gene_age	Family_member_count	H3K4me3_peak_length	Height_of_H3K4me3_peaks	H3K4me2_peak_length	Height_of_H3K4me2_peaks	H3K4me1_peak_length	Height_of_H3K4me1_peaks	H3K36me3_peak_length	Height_of_H3K36me3_peaks	H3K27ac_peak_length	Height_of_H3K27ac_peaks	H3K27me3_peak_length	Height_of_H3K27me3_peaks	H3K9me3_peak_length	Height_of_H3K9me3_peaks	H3K9ac_peak_length	Height_of_H3K9ac_peaks	H3K9me2_peak_length	Height_of_H3K9me2_peaks	H3K79me2_peak_length	Height_of_H3K79me2_peaks	H4K20me1_peak_length	Height_of_H4K20me1_peaks
Silent_mutations_kb	0	0.456123924247308	0.305990155036195	0.129505053456401	0.203311315032316	0.274099589096249	0.29428078472546	-0.0169756698947083	-0.165757850489703	0.0054412485022895	0.0673397651654442	-0.0175129547872488	-0.150390496002045	-0.0274162472333356	0.0469456389397916	0.109971452051617	-0.101825014176617	-0.00714980341896513	-0.113310950114925	-0.0115949020229312	0.380738236331682	-0.0920602235495655	0.0479401298879627	-0.0611751708574862	0.00397149211084679	-0.0372192938507217	-0.131224150678967	0.0046788335914922	0.0237041036263872	0.151405684900208	0.00471087448917552	-0.0663259831514498	0.123982175831755	0.238865738714226	0.0621188157322944	0.371121045950785	0.131939663956343	-0.000569547557814804	0.0111113533729947	-0.0369008410189139	0.0658828534903403	0.0264760734653477	-0.0168505164609919	-0.193523322057832	-0.0722534259650865	-0.010114651782328	0.00368659110127505	0.0896304602671032	0.0196889421770526	0.0978927955286157	-0.0197315638761162	0.136023649079237	0.21848511786807	-0.05240616649689	-0.138027731244892	-0.0764793787545216	-0.106545150455977	-0.0466852930206793	-0.00659233412829764	-0.13133663164163	-0.0580931843399354	-0.0286220808179845	-0.0697490304335152	0.197957054845252	0.139496008697651	0.100853549782439	0.090031035144296	-0.0732570291325043	-0.133652594714671	0.083998225982716	0.0637680581762751	-0.1130262985506	-0.115063924879392	-0.0815264548180129	-0.0276231789863401
log_Total_N_missense_mutations	0.456123924247308	0	0.817325365649754	0.512586085829951	0.11845822470839	0.0923984004355502	0.317380423132275	0.0603360498045823	-0.0105321538310537	0.162445711970592	0.117177418840854	0.0461643088508128	-0.0207014982947501	0.183927487704269	0.164964529302079	0.347819523297859	0.129358784418587	0.477472422511712	-0.00202211736335327	0.0316013794137651	0.0622541282797527	0.113074720374645	0.0426582809323175	0.0585180098686389	0.00409357413720433	-0.149513734367052	0.0732121645314663	0.190881967200028	0.461513507724883	0.818566487389041	0.123402031510082	0.302697047826319	0.0571078064357853	0.153779062467423	0.297021760216137	0.121174336889928	0.0887136774480146	0.041752781251675	0.0402042015486449	-0.082848760917308	0.0163339693739669	0.182651435518476	-0.199695057780402	-0.111898956477675	0.166565786503632	0.46836983870889	-0.0427060744068008	0.242282264422788	-0.168036242980063	0.00740764840303431	0.165600083279514	-0.0646531743221734	0.0895005925272336	0.0463141605614002	-0.043201364533338	0.0555449092706002	0.0170059205256682	0.0985520915862883	0.108514533243636	0.0930537603057521	0.0900524126230408	0.101044705099809	0.0767255233951965	0.164202858057696	0.130226647095293	0.172502124726596	0.150976692440977	0.0428880030123241	-0.00608984381527528	0.156010583825346	0.226172245023187	0.0630743490978298	0.0361562866740294	0.0700442728190638	0.129109769324207
log_Total_N_LoF_mutations	0.305990155036195	0.817325365649754	0	0.51147432354918	0.0692953443999658	0.176978446631982	0.194242387985265	0.227661028042763	0.036208581432583	0.0989246589059248	0.0683335106162808	0.206472084847921	0.0192920521219423	0.11289139177423	0.120131846093023	0.271507350860611	0.558999807007774	0.151665353039297	0.00722430528420173	0.201239302917513	-0.121717322438745	0.433198116407724	0.0341620203638911	0.381258694486261	0.0080408454881357	-0.142878036289422	0.488212364136549	0.177387432093189	0.449892682263059	0.638365335606354	0.0793561593070365	0.330413519651823	0.0207116363494913	0.157912086258331	0.236226147249929	0.00207201022976636	0.0734664034310164	0.0426775953811492	0.0365769771384157	-0.0769227427246791	-0.000282052164804284	0.199844172490308	-0.17592619171497	-0.0753328817472626	0.183751291794091	0.494580322430618	-0.0332662579402812	0.226712669423658	-0.179400876466547	-0.0255604811581987	0.228743025333154	-0.0995787262411664	0.0325322878437966	0.0663411217270758	0.00222255750020467	0.0895785732087837	0.0416273992933174	0.111622834108449	0.0927292916396787	0.13088859298234	0.104879270333287	0.108544967958276	0.112332955423544	0.0938839707580052	0.0836051629516353	0.147546792694377	0.136364864947089	0.058561061356655	0.0350139090105417	0.158251890513107	0.246750118573223	0.114864921028681	0.0829460273973486	0.10411535030743	0.142760095641108
log_Total_N_of_splicing_mutations	0.129505053456401	0.512586085829951	0.51147432354918	0	0.0342158985120351	0.0891914710363844	0.0834586759591424	0.0663373717239773	0.598034911914858	0.0477038086830674	0.0481354367754095	0.0535050542524693	0.607474003894982	0.0675845966546056	0.0791158751255588	0.215132185768785	0.112155451299631	0.0903402816831168	0.647811480643575	0.0370639109083278	-0.0792496328368186	0.128122307669127	-0.00546559889551266	0.0252846395351637	-0.0386578996813104	-0.0772002140014537	0.227428632197496	0.0810894706735895	0.44709385304048	0.412060667844713	0.039291919511011	0.412916627995936	-0.0866537045480719	0.081644428043906	0.313242903487507	0.00193985542839207	0.00876914526316128	0.0276934869089576	-0.0023332273428778	-0.0994411903466234	-0.0152450898222594	0.133946649781942	-0.103809080405214	-0.0253749500650511	0.192752396948578	0.427659998972068	-0.0450914769384532	0.164511200841092	-0.20272754041617	-0.0104919984700704	0.15204360736027	-0.148314726446811	-0.144945006534038	-0.0085298929121292	-0.0250703526035255	0.0266130806034318	0.0151055553077898	0.0661156009235674	0.0810814303383032	0.0867569375682486	0.0515691206900909	0.0651853457437066	0.069050842996224	0.0660861721375207	0.0459990597627504	0.0509923648330287	0.0698241373846407	0.0120240326273785	0.000437637863146537	0.104766014204662	0.171601644066764	0.0483600395119254	0.0334478247560829	0.0472983434000579	0.0876745045334545
Missense_mutations_kb	0.203311315032316	0.11845822470839	0.0692953443999658	0.0342158985120351	0	0.272061192524387	0.357318152876363	0.0351327778058732	0.00501604358610837	0.826270207951807	0.28104476875315	0.017685386636601	-0.00609366964126036	0.470620617957193	0.492078309447349	0.0143874634594683	-0.0027634685550241	0.0588703512281275	-0.0155068828645286	5.28186113341072e-05	-0.0448422770813896	-0.00595186553064645	0.00467414195292078	0.000840575377042677	0.00346340987175948	-0.00651153474541073	-0.008151146132261	0.766870668806594	0.0145192288632136	0.0129356070260723	-0.0036822503235441	0.0146817138236307	-0.00449311824302826	0.0258286899389234	0.0309839667785223	0.0225886679350547	0.00704722328488482	-0.00502786495271391	0.00407302037612082	0.00337373193060418	0.0023793749818278	0.00789101000740941	-0.00859328378782711	-0.0130490805883208	0.00944245149751955	0.00741884397794743	0.00355632603815513	0.00504161302174317	-0.00415514185661751	0.00101885856051636	0.0299758673796086	0.00502910118546891	0.0280571533319867	0.00155693003670874	0.00667565239079744	-0.000492737956030105	-7.15277389300545e-05	0.000629934144737456	-0.000130559060804302	0.00460136952138552	0.00353633938423874	-0.000204408978958083	0.000607517143243699	0.00947221893428492	0.00598978863846302	0.00648074525404046	0.009954916695618	-0.00343538672731256	-0.00111830086156716	0.0102931732750331	0.0205035998142285	0.00947763748105294	0.004715301023945	0.0100109849375942	0.00582696664966031
LoF_mutations_kb	0.274099589096249	0.0923984004355502	0.176978446631982	0.0891914710363844	0.272061192524387	0	0.0969485545172925	0.595010054455979	0.0665544392339526	0.0904478791949204	0.101644185410602	0.559856083237813	0.0368682092433802	0.0811105386973725	0.159345342553043	0.0246132973885546	0.278872525101158	-0.0497384861115523	-0.00815839452899867	0.511376521915719	-0.0732994106722913	0.0994843937710706	0.00230196467005607	0.260624065662604	0.0279663293447924	-0.00588304105989404	0.233581536545309	0.252735784506226	0.0174768317314953	0.0173363703766852	0.01989546241971	0.0107059026055917	0.00176852869691885	0.0139169498070101	0.0257565164303623	-0.00730223214289818	0.0035266093202892	0.0127554935965123	0.00569323082705363	0.0100979370379762	0.0135604175261735	0.0314448669103281	-0.021490097774201	-0.0142740754814195	0.00948188916034405	0.0269143095490284	0.00371413666401533	0.00811812460374498	-0.0101005086155419	-0.00528808482036155	0.0376375165662054	-0.000459318880863488	0.000434698259845002	0.0215754087529356	0.00346670825261887	0.0222796689499018	0.0030337001429611	0.017865874090852	0.0112268454324485	0.0289620220117792	0.0206237897088762	0.0157706643120177	0.0150432167045816	0.0119647596658148	0.00556709158794997	0.0114836107041819	0.0231461538822999	0.0123333863935428	0.00712702876708811	0.00826048376649874	0.0194234345172385	0.0174913581528521	0.01914445667211	0.0279170044845934	0.0207448817204103
Missense_entropy	0.29428078472546	0.317380423132275	0.194242387985265	0.0834586759591424	0.357318152876363	0.0969485545172925	0	0.0497418595802642	-0.0273999502743787	0.558051145659374	0.418251962252692	0.0275339893516609	-0.0461586974816762	0.533562117355766	0.518405775808159	0.0183964413731296	-0.0223417195707704	0.195832493357842	-0.0686102881252501	-0.0054891216393064	-0.115783852418475	-0.0426974039645507	0.0417657461026761	0.00406129151835249	0.0847212361580957	-0.0305744814238051	-0.0442096708794941	0.543294372324438	0.0460209955883977	0.105628943674503	0.00644134411041372	0.017510372121085	0.0433174169652722	0.0568461040827361	0.0494399069225164	0.0767428056192374	0.0102155820095668	0.00682904101279081	0.0164140037592014	0.0110811782949071	0.00617973445272839	0.0494849203415323	-0.0262093450767611	-0.0555223461908465	0.0247686751047766	0.0481249480488569	0.00184471127031265	0.0492419217672883	-0.001828448369649	0.0243390295503204	0.0377742440645574	0.0441500191889529	0.0488122947251619	0.0119129485588199	-0.0101751738322472	0.00898965906849384	-0.0131748379435959	0.0130297819335897	-0.00217655103363654	0.00147610952919104	0.0046529668483909	0.0177670520904141	0.00385393542338722	0.0304002922137823	0.0214612562487145	0.0230459116225673	0.0276611897684264	0.00340009964010827	-0.00973176309604648	0.0302525587151007	0.0316416503626324	0.00585850909676255	0.00768803241629037	0.0187597183786233	0.0295513105100645
LOF_silent_ratio	-0.0169756698947083	0.0603360498045823	0.227661028042763	0.0663373717239773	0.0351327778058732	0.595010054455979	0.0497418595802642	0	0.110544720629041	0.079641439727117	0.133552562677968	0.981762749505735	0.0790663432584221	0.0837887081487956	0.192567979788007	0.0258011802126761	0.515321040272676	-0.0662924228383466	0.00565893021548173	0.943322436962343	-0.168862444903086	0.200793040213876	0.000345643480656955	0.486155823786736	0.0335090931082411	-0.00410228367575483	0.452283114059325	0.361900261658412	0.0397519654694375	0.0408113129869134	0.0242444933245906	0.0516700452660147	-0.0343739550582766	0.00665205288626762	0.0400169265700316	-0.0570798992049576	-0.0150896128069411	0.0113175943553644	-0.00378389458658767	-0.00053407517893776	-0.00353134061219776	0.0538513107713376	-0.0346803227433808	0.00285618342696983	0.0365872491977927	0.0560448607853169	0.00078544868457425	-0.00213635366089337	-0.0167106353694739	-0.0229371151277917	0.060673060884653	-0.0186248418303231	-0.0196299263412629	0.0485825342944217	0.0391819287162899	0.052548628459163	0.0282536982815384	0.0400267550476692	0.00700824219553818	0.0539867587364398	0.0317616753582116	0.0339309045739105	0.0465571641791996	-0.0221629974460619	-0.0119664634369854	-0.000214694445676749	0.00842424951340341	0.0399496089446015	0.0429008633055055	0.00991479000239851	0.0289373320155551	0.0644566399925856	0.0592216263645373	0.0623461537171705	0.0480624497900653
Splice_silent_ratio	-0.165757850489703	-0.0105321538310537	0.036208581432583	0.598034911914858	0.00501604358610837	0.0665544392339526	-0.0273999502743787	0.110544720629041	0	0.0833531992791147	0.0109990409944111	0.0848370285329288	0.960163931364044	0.104387897938678	0.0445999894609402	0.0607652385547742	0.149970426464364	0.0932519414350456	0.903339396010481	0.0466317866253886	-0.231296992050592	0.166329156919394	-0.0258239820735976	0.0497187306915446	-0.0258296760132319	0.0409672820910658	0.372017932034674	0.126996113824651	0.173758714062401	0.0511568270135565	0.0353599788313759	0.241022934239548	-0.163992088870987	0.00857987088490636	0.194016043322792	-0.0765511782189293	-0.0634527239198492	-0.0167492956513945	-0.0224522533267459	-0.0319201256665617	-0.0273201576515443	0.0265756842131637	-0.0299109233497435	0.052990122108537	0.0735915546656978	0.0842191531085492	-0.0125665166749073	-0.0379570530124879	-0.0271200354340929	-0.0249153600698743	0.060736785679185	-0.0774274504949886	-0.124719553054155	0.00821025302376847	0.0505422947736095	0.0406325191202772	0.0411104056849942	0.0306962623824106	0.00885975547780991	0.0816064374231879	0.0340102721692095	0.0164315673352154	0.0509307431873657	-0.0637646130877549	-0.0496358958857329	-0.034605506450118	0.00130257473945694	0.0173365488001473	0.0526153700653042	0.021542870679993	0.0711078580563745	0.0714487700918165	0.0681487098473225	0.0477449265040685	0.0459045545044
Missense_silent_ratio	0.0054412485022895	0.162445711970592	0.0989246589059248	0.0477038086830674	0.826270207951807	0.0904478791949204	0.558051145659374	0.079641439727117	0.0833531992791147	0	0.475517353891157	0.0506557478784596	0.0503013983199541	0.722136380292219	0.687124646107703	0.0269652134357628	0.0683871306289564	0.248191584833964	0.00789543926101548	0.0141681990144471	-0.243893131757838	0.0534281810703379	0.00642935422712669	0.0435737284929276	0.0134278668556384	-0.00209874951803984	0.0628735665357525	0.952671974766523	0.0587514409789857	0.0753455447623616	0.017341150130316	0.069840507834226	-0.0408076794432395	0.0285637697066256	0.0676385850885545	-0.033498977847375	-0.014767125454059	-0.018405697732673	0.00437495922434296	0.00601008660011494	-0.0094213946922187	0.0316797133963408	-0.0334592713943239	0.0201765989757853	0.0431664525961863	0.0433537336137823	0.0066223387176885	-0.00732028098654763	-0.00240297705798778	-0.0254662486958259	0.0612656216571477	-0.0148149438442866	0.000195798337537039	0.0256250221186419	0.0531152696730795	0.0348664207796753	0.0285519355351073	0.0205726072533207	-0.00507215388033085	0.0458542762173651	0.0286847981680292	0.0152497499547609	0.0308722564301076	-0.0344421300310458	-0.0230655170626581	-0.000250354434355924	0.0052645134721683	0.0206196864196354	0.03911626755121	0.0219695775730233	0.0503632838311353	0.0547891768211283	0.048752121171651	0.0415923648581285	0.0333193596596357
