Gene	GeneID	Gene_type	DORGE-TSG_score	Drug_Name	CREEDS_ID	GEO_ID	DrugBank_ID	p-value	q-value	Fold_Change	Specificity
COPS3	8533	Novel DORGE-TSG	0.628993243317041	Doxorubicin	drug:2720	GSE12972	DB00997	2.9561E-40	2.65546E-39	0.241958	2.027986209693774E-4
COPS3	8533	Novel DORGE-TSG	0.628993243317041	Doxorubicin	drug:3263	GSE6930	DB00997	3.63007E-10	1.41661E-9	0.330749	1.692047377326565E-4
COPS3	8533	Novel DORGE-TSG	0.628993243317041	Estradiol	drug:2731	GSE8597	DB00783	1.3944E-7	8.7001E-6	0.599091	4.796163069544365E-4
COPS3	8533	Novel DORGE-TSG	0.628993243317041	Nickel	drug:3531	GSE6907		1.51259E-7	4.77281E-6	0.789262	4.428697962798937E-4
COPS3	8533	Novel DORGE-TSG	0.628993243317041	Mercury	drug:3533	GSE6907		2.61233E-7	1.16707E-5	1.10818	4.003202562049639E-4
COPS3	8533	Novel DORGE-TSG	0.628993243317041	Cycloheximide	drug:3059	GSE8597		3.20106E-7	4.07002E-6	0.52586	2.105706464518846E-4
COPS3	8533	Novel DORGE-TSG	0.628993243317041	Dmnq(2,3-dimethoxy-1,4-naphthoquinone)	drug:3527	GSE6907		3.52383E-7	8.86986E-6	0.890767	3.549875754348598E-4
COPS3	8533	Novel DORGE-TSG	0.628993243317041	Puromycin,ec50,1d	drug:3268	GSE6930		6.40799E-7	5.55727E-6	0.306257	4.541326067211626E-4
COPS3	8533	Novel DORGE-TSG	0.628993243317041	Chromium	drug:3534	GSE6907		9.95564E-6	9.66456E-5	1.01664	4.73260766682442E-4
COPS3	8533	Novel DORGE-TSG	0.628993243317041	Arachidonicacid	drug:3171	GSE3737	DB04557	3.8949E-5	0.00139193	1.70458	1.329080276448698E-4
COPS3	8533	Novel DORGE-TSG	0.628993243317041	Chlorpyrifos	drug:3571	GSE5023		4.06967E-5	4.57822E-4	0.0992074	2.67379679144385E-4
COPS3	8533	Novel DORGE-TSG	0.628993243317041	Antimony	drug:3532	GSE6907		4.84926E-5	9.97077E-5	0.0484015	2.347417840375587E-4
