Gene	exon_phyloP	TSG	OG	NG
NR2F2	2.34521	0	0	0
TNRC18	1.713509755102041	0	0	0
MEIS1	2.7168432291666664	0	0	0
ZEB2	2.2549422068965517	0	0	0
BCL6	2.4575084137931036	0	1	0
IRF2BP2	1.4513852	0	0	0
ZNF503	2.568896	0	0	1
WNT5A	1.87866575	0	0	0
KDM6B	1.7773046363636358	0	0	0
IRS1	0.9948954999999999	0	0	0
BRD2	1.5268377647058822	0	0	0
NR2F1	2.571880111111111	0	0	0
PLEC	2.052595345454545	0	0	0
RGMB	1.0920202222222224	0	0	0
MLL5	2.30586193442623	0	0	0
MEIS2	2.871929257142856	0	0	0
ZFP36L2	1.4969835	0	0	0
ZFP36L1	1.4500984000000003	0	0	0
BTG1	1.90651575	1	0	0
TGIF1	1.1601331136363637	0	0	0
ACTG1	1.3842793749999998	0	0	0
FOSL2	1.4909694166666665	0	0	0
TSC22D2	2.0683478749999997	0	0	0
NR3C1	1.426616275	0	0	0
PTCH1	2.199000569230769	1	0	0
LMNA	1.4435830714285711	0	0	0
TBX3	2.131634857142857	1	1	0
BAHCC1	1.4270040000000002	0	0	0
HIF1A	2.32718703125	0	1	0
ANXA2	1.1594389850746272	0	0	0
FLRT2	0.5897755555555555	0	0	0
LMO4	2.5295514545454547	0	0	0
PTEN	2.932312058823529	1	0	0
SLC38A2	1.7515512820512817	0	0	0
SMAD7	2.4268458421052626	0	0	0
SSSCA1	1.9514808235294117	0	0	1
ARHGEF2	1.3790968730158737	0	0	0
HS3ST3B1	1.608022	0	0	0
PDGFRA	1.6276073333333334	0	1	0
ZNF608	2.3885134814814815	0	0	0
ID2	1.8113983636363635	0	0	0
IRX5	1.9059460000000001	0	0	0
DUSP6	2.0824226363636367	0	0	0
ARID2	2.4037131351351353	1	0	0
NRP1	1.7715824999999998	0	0	0
TRIM8	2.754821461538462	0	0	0
AHNAK	1.2075636666666667	0	0	0
ADM	0.7084173157894736	0	0	0
SPRY2	1.3372526000000002	0	0	0
FOXO3	1.325706625	1	1	0
FN1	2.041919588888889	0	0	0
KLF6	2.117903666666667	1	0	0
PCDH7	2.7437794285714285	0	0	0
MARCKS	1.9209019999999999	0	0	0
BHLHE40	1.9653614000000001	0	0	0
CYR61	2.481509714285714	0	0	0
MYC	1.3940056153846154	0	1	0
NFIB	2.5597944242424244	0	0	0
IGF2BP3	1.8127334374999997	0	0	0
ZNFX1	1.45308036	0	0	0
THBS1	2.4986786000000007	0	0	0
CCND1	1.9243382666666666	0	1	0
BCL11A	2.4366311290322584	0	1	0
MNT	1.2335295	0	0	0
ARID1A	2.8399901315789475	1	0	0
VIM	1.6704106153846152	0	0	1
UBC	0.3443795806451615	0	0	0
CHD2	2.2846067564102572	1	0	0
HNRNPA1	1.5992645952380957	0	0	0
HOXB2	1.1082378750000001	0	0	0
SIN3A	2.076039903846155	0	0	0
LDB1	2.9133942941176474	0	0	0
ITGB1	1.7035073225806447	0	0	0
CDK6	2.0138391875	0	1	0
QKI	2.2060292499999994	1	1	0
GNB2L1	1.6883547599999993	0	0	0
RTN4	1.287271939393939	0	0	0
TBX2	2.1679998571428567	0	0	0
OSR2	1.5899803999999997	0	0	0
C5ORF39	-0.327139	0	0	0
GATA6	2.095057777777778	0	0	0
INHBA	1.7020351428571432	0	0	0
GSK3B	2.760770529411765	0	0	0
HDGF	1.0058511612903225	0	0	0
